,BO,C,CL,CT,GC,HG,KC,NG,S,SB,SI,SM,W,XBW
1992-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-01-02,-0.0063897967,-0.0039761662,0.019351363,0.0069292784,-0.0056306124,-0.019067168,0.016731024,-0.02829492,-0.012230694,-0.045555532,0.01610434,-0.012166917,-0.009882629,0.022123814
1992-01-03,0.0016077757,-0.006986022,-0.013340175,0.004196048,-0.0048131943,0.003762126,0.0037975311,-0.004597664,0.0014767647,-0.022118807,-0.000754714,-0.0052785277,-0.0031191707,-0.003066361
1992-01-06,0.0037453175,0.004020095,-0.0010400414,0.004512787,-0.0034139752,0.0,-0.010088325,-0.01616633,0.014519095,0.0107142925,-0.0012587905,0.013561249,-0.0025031567,-0.0016283989
1992-01-07,0.0058635473,0.0010010004,-0.027069151,0.005490899,0.0005710125,-0.0094742775,0.01592362,0.020344257,-0.0017889142,-0.015312135,-0.006301999,-0.0017451048,-0.005646169,-0.038238525
1992-01-08,0.007949114,0.011999965,-0.043873727,-0.016382635,0.002853036,-0.006201327,-0.006269574,-0.010736227,0.013216853,0.0083732605,0.0071029663,0.015151501,0.02082014,-0.03919345
1992-01-09,0.0036803484,-0.0009881258,-0.000559628,-0.02876848,0.017069697,-0.0021153092,0.0018928051,-0.024031043,0.0017687082,0.0035586357,0.04609573,-0.0051664114,-0.009270728,-0.012747645
1992-01-10,-0.009429038,0.0,0.020716667,0.0012124777,-0.0016783476,0.0074192286,-0.0006297827,-0.042096853,-0.004193306,0.0118204355,-0.011557877,0.0051932335,0.005614519,0.03615415
1992-01-13,-0.0015864968,0.013847709,0.030718684,-0.021280289,-0.0067245364,-0.0026301742,-0.010081887,0.023217201,0.0046542883,-0.014018774,-0.004384935,0.0063146353,0.021091819,0.018021464
1992-01-14,0.005296588,0.011707306,-0.017030418,0.0063637495,0.0019747019,-0.0011603236,-0.008275032,0.010534883,-0.011030197,-0.016587615,0.0031808615,-0.0182544,0.0036451817,-0.010734439
1992-01-15,0.025289774,0.009643197,0.020573974,-0.0017564893,-0.0014076829,0.012250423,0.0006418228,0.03769052,0.019295096,-0.0060241222,0.014634132,0.015107393,0.009079933,0.015419841
1992-01-16,-0.00051379204,-0.010506213,0.0031830072,-0.0089741945,0.00648427,0.012519598,0.012187362,0.043276668,0.0007659197,0.0072727203,0.042788506,0.0017172098,-0.008998215,0.02024746
1992-01-17,0.0015423298,0.0019304752,0.013220549,0.00071024895,-0.0070028305,0.0025759935,-0.015209198,-0.07703704,0.012901783,0.033694267,-0.011064947,0.010285735,0.016949177,0.012679219
1992-01-20,-0.0066734552,0.0067437887,-0.012960076,-0.0037260056,0.01043725,-0.0016444325,0.01158309,-0.015248835,-0.009283245,-0.022118807,-0.0030303001,-0.001696825,0.0059523582,-0.016875327
1992-01-21,0.015503883,-0.006698549,-0.016806781,-0.007836223,0.0005582571,-0.0020588636,-0.0038167238,0.0,0.007953763,0.0011905432,0.0018703938,0.0033994913,0.003550291,-0.02177924
