,BO,C,CL,CT,GC,HG,KC,NG,S,SB,SI,SM,W,XBW
1991-12-31,18.78,251.5,19.12,59.17,355.2,97.55,77.7,1.343,557.0,9.0,3.912,172.6,404.75,54.24
1992-01-01,18.78,251.5,19.12,59.17,355.2,97.55,77.7,1.343,557.0,9.0,3.912,172.6,404.75,54.24
1992-01-02,18.66,250.5,19.49,59.58,353.2,95.69,79.0,1.305,550.1875,8.59,3.975,170.5,400.75,55.44
1992-01-03,18.69,248.75,19.23,59.83,351.5,96.05,79.3,1.299,551.0,8.4,3.972,169.6,399.5,55.27
1992-01-06,18.76,249.75,19.21,60.1,350.3,96.05,78.5,1.278,559.0,8.49,3.967,171.9,398.5,55.18
1992-01-07,18.87,250.0,18.69,60.43,350.5,95.14,79.75,1.304,558.0,8.36,3.942,171.6,396.25,53.07
1992-01-08,19.02,253.0,17.87,59.44,351.5,94.55,79.25,1.29,565.375,8.43,3.97,174.2,404.5,50.99
1992-01-09,19.09,252.75,17.86,57.73,357.5,94.35,79.4,1.259,566.375,8.46,4.153,173.3,400.75,50.34
1992-01-10,18.91,252.75,18.23,57.8,356.9,95.05,79.35,1.206,564.0,8.56,4.105,174.2,403.0,52.16
1992-01-13,18.88,256.25,18.79,56.57,354.5,94.8,78.55,1.234,566.625,8.44,4.087,175.3,411.5,53.1
1992-01-14,18.98,259.25,18.47,56.93,355.2,94.69,77.9,1.247,560.375,8.3,4.1,172.1,413.0,52.53
1992-01-15,19.46,261.75,18.85,56.83,354.7,95.85,77.95,1.294,571.1875,8.25,4.16,174.7,416.75,53.34
1992-01-16,19.45,259.0,18.91,56.32,357.0,97.05,78.9,1.35,571.625,8.31,4.338,175.0,413.0,54.42
1992-01-17,19.48,259.5,19.16,56.36,354.5,97.3,77.7,1.246,579.0,8.59,4.29,176.8,420.0,55.11
1992-01-20,19.35,261.25,19.04,56.15,358.2,97.14,78.6,1.227,573.625,8.4,4.277,176.5,422.5,54.18
1992-01-21,19.65,259.5,18.72,55.71,358.4,96.94,78.3,1.19,578.1875,8.41,4.285,177.1,424.0,53.0
1992-01-22,19.5,260.75,18.94,56.42,358.3,97.59,78.3,1.155,576.375,8.62,4.293,176.6,427.25,53.69
1992-01-23,19.32,261.0,18.72,56.41,354.9,97.0,76.1,1.126,572.625,8.63,4.225,176.0,437.5,52.93
1992-01-24,19.54,263.75,19.0,55.5,354.7,98.89,75.7,1.168,581.375,8.63,4.163,178.4,437.25,53.69
1992-01-27,19.37,262.0,19.36,54.18,355.0,98.39,75.1,1.218,576.625,8.56,4.168,177.3,439.25,54.85
1992-01-28,19.46,264.25,19.17,53.38,357.9,99.0,74.05,1.181,581.375,8.35,4.188,179.1,437.5,55.41
1992-01-29,19.36,263.25,18.89,53.95,358.2,99.09,73.85,1.18,576.1875,8.34,4.248,176.8,441.5,56.02
1992-01-30,19.38,263.5,18.94,53.88,355.6,99.0,74.6,1.166,572.625,8.33,4.145,175.2,436.0,56.67
1992-01-31,19.2,264.25,18.9,53.06,358.9,98.59,72.15,1.18,572.0,8.18,4.18,175.8,440.25,57.11
1992-02-03,19.23,267.75,18.96,53.23,358.4,97.59,70.5,1.176,577.375,8.0,4.17,177.2,448.0,57.79
1992-02-04,19.0,268.25,19.27,54.65,357.9,97.55,70.75,1.198,577.625,8.05,4.173,178.6,449.25,59.07
1992-02-05,18.98,267.0,19.5,54.31,357.3,98.3,68.9,1.189,576.1875,8.16,4.198,177.6,446.5,59.61
1992-02-06,19.0,265.5,19.5,54.06,357.4,98.14,69.85,1.183,573.1875,8.17,4.218,176.6,449.75,59.15
1992-02-07,18.93,264.75,19.87,54.54,356.5,98.44,69.65,1.19,570.375,8.18,4.192,175.4,452.5,59.66
1992-02-10,18.97,270.5,19.78,54.45,357.4,98.25,69.5,1.196,578.625,8.11,4.198,177.3,459.5,58.78
1992-02-11,18.72,261.75,19.28,53.28,357.8,98.59,70.6,1.13,566.375,7.88,4.183,173.9,439.5,57.07
1992-02-12,19.01,264.25,19.27,54.69,359.6,101.64,70.55,1.136,570.0,7.94,4.213,172.7,424.5,58.01
1992-02-13,18.97,263.0,19.68,53.37,357.3,101.9,69.15,1.115,570.1875,8.02,4.203,172.8,422.25,58.63
1992-02-14,19.05,262.5,19.46,53.62,355.1,102.4,69.1,1.079,568.375,8.02,4.158,172.1,427.0,57.48
1992-02-17,19.05,262.5,19.46,53.62,355.1,102.4,69.1,1.079,568.375,8.02,4.158,172.1,427.0,57.48
1992-02-18,19.24,263.75,18.27,53.4,354.7,102.25,69.65,1.1,572.375,8.58,4.058,173.3,411.5,55.08
1992-02-19,19.46,264.5,18.71,53.98,354.5,100.94,70.3,1.12,577.1875,8.46,4.055,173.4,411.75,55.82
1992-02-20,19.53,264.25,18.74,53.62,354.7,101.55,71.9,1.135,577.625,8.46,4.123,174.1,417.5,55.5
1992-02-21,19.58,263.75,18.66,55.5,352.5,101.09,69.55,1.186,576.625,8.15,4.098,174.6,415.5,54.64
1992-02-24,19.86,263.5,18.43,55.58,351.1,102.14,66.8,1.175,580.0,8.12,4.093,175.2,408.25,53.7
1992-02-25,20.03,268.75,18.48,57.15,350.6,101.55,68.0,1.18,587.25,8.15,4.102,177.2,403.25,58.2
1992-02-26,19.78,268.0,18.46,56.96,350.8,102.9,69.1,1.18,580.75,7.95,4.095,175.8,410.5,58.69
1992-02-27,19.69,269.25,18.75,56.6,355.0,103.29,69.15,1.156,582.0,7.98,4.14,175.7,406.5,60.17
1992-02-28,20.01,273.5,18.68,56.7,354.1,103.19,70.9,1.171,589.25,8.02,4.135,176.9,400.0,59.83
1992-03-02,20.15,276.0,18.34,57.28,352.5,102.4,71.5,1.167,592.0,8.04,4.148,178.6,401.75,58.75
1992-03-03,20.02,275.0,18.64,57.07,351.4,102.14,72.95,1.167,589.5,8.27,4.135,178.1,390.5,59.06
1992-03-04,20.69,275.0,18.63,55.84,351.6,102.44,70.1,1.191,599.0,8.23,4.143,179.7,391.0,59.61
1992-03-05,20.7,275.25,18.55,55.1,352.3,101.74,68.4,1.18,597.0,8.12,4.165,178.1,394.0,59.32
1992-03-06,21.12,275.75,18.51,54.03,350.3,101.15,71.05,1.165,601.0,8.12,4.183,177.9,392.75,57.73
1992-03-09,21.13,278.75,18.67,54.86,349.7,100.89,70.55,1.18,600.25,8.24,4.188,177.4,403.25,57.47
1992-03-10,20.94,276.0,18.69,54.44,349.8,102.05,70.85,1.188,596.25,8.39,4.173,177.2,400.25,57.99
1992-03-11,21.18,275.5,18.5,53.81,351.4,101.2,72.5,1.184,598.5,8.37,4.175,176.7,394.0,57.97
1992-03-12,20.89,273.75,18.83,54.6,348.0,100.85,73.0,1.197,593.0,8.36,4.113,175.9,390.25,58.63
1992-03-13,21.08,271.5,19.18,54.29,347.3,101.09,73.9,1.212,596.0,8.31,4.125,176.6,385.0,59.35
1992-03-16,20.73,269.25,19.15,55.35,343.9,100.89,73.4,1.227,592.5,8.43,4.087,176.8,384.0,60.02
1992-03-17,20.56,270.0,19.35,54.94,340.6,101.9,72.85,1.245,595.25,8.33,4.07,177.2,387.25,60.16
1992-03-18,20.44,271.5,19.21,55.85,338.8,101.94,73.7,1.247,596.75,8.41,4.052,178.9,386.5,58.83
1992-03-19,20.27,271.0,19.47,56.64,339.1,101.94,74.6,1.253,599.0,8.43,4.142,181.6,388.75,59.32
1992-03-20,19.78,270.25,19.09,56.63,338.5,100.8,74.1,1.268,585.5,8.44,4.132,179.2,389.25,57.48
1992-03-23,19.86,271.25,19.13,56.4,338.5,101.24,74.25,1.276,587.25,8.29,4.107,178.5,392.0,57.76
1992-03-24,19.83,271.5,19.22,56.36,339.8,101.39,73.85,1.281,586.0,8.33,4.107,177.2,387.75,57.79
1992-03-25,19.87,270.25,19.19,56.97,341.3,101.04,70.85,1.379,588.5,8.32,4.102,178.8,384.0,57.68
1992-03-26,19.74,271.5,19.28,57.94,341.1,101.3,70.75,1.322,586.0,8.25,4.105,178.9,386.25,58.55
1992-03-27,19.75,270.0,19.16,58.78,342.5,101.2,70.2,1.326,584.25,8.38,4.155,177.8,384.5,58.48
1992-03-30,19.77,266.5,19.25,58.07,343.8,101.3,67.95,1.332,585.75,8.53,4.14,178.7,383.5,59.87
1992-03-31,19.83,264.25,19.44,59.1,345.5,101.64,68.5,1.357,588.25,8.68,4.143,178.7,379.0,60.56
1992-04-01,19.61,260.0,19.84,58.65,344.6,102.7,69.45,1.381,577.25,8.77,4.103,175.6,369.25,62.29
1992-04-02,19.57,259.25,19.8,59.4,342.4,103.49,69.9,1.352,575.5,9.13,4.087,174.4,362.75,61.72
1992-04-03,19.6,260.25,20.29,60.49,342.7,103.05,71.4,1.319,576.25,9.18,4.087,174.2,367.25,62.65
1992-04-06,19.61,262.0,20.45,60.33,341.8,102.7,71.8,1.315,578.0,9.0,4.11,174.3,369.75,63.47
1992-04-07,19.48,257.25,20.23,59.44,340.1,102.4,69.8,1.285,570.5,9.8,4.083,173.7,364.5,62.32
1992-04-08,19.35,253.0,20.62,58.25,339.3,100.34,71.25,1.305,566.75,9.82,4.088,172.3,366.5,62.71
1992-04-09,19.45,253.5,20.31,58.65,340.9,100.74,69.5,1.31,568.5,9.73,4.113,172.9,362.5,61.72
1992-04-10,19.39,253.5,20.44,58.35,342.5,99.89,68.9,1.294,571.0,9.56,4.108,173.8,361.0,61.39
1992-04-13,19.39,253.5,20.22,57.16,340.6,99.34,65.65,1.27,571.0,9.67,4.093,173.8,361.0,59.76
1992-04-14,19.39,253.5,19.86,57.16,340.8,99.39,66.1,1.276,571.0,9.43,4.108,173.8,361.0,58.23
1992-04-15,19.52,253.25,19.87,56.98,337.0,99.55,64.5,1.34,575.5,9.47,4.013,175.2,361.0,59.37
1992-04-16,19.49,253.5,20.21,57.15,338.3,98.94,63.25,1.361,575.25,9.59,3.973,174.9,362.75,61.15
1992-04-17,19.49,253.5,20.21,57.15,338.3,98.94,63.25,1.361,575.25,9.59,3.973,174.9,362.75,61.15
1992-04-20,19.45,255.25,20.43,57.3,337.7,98.55,66.05,1.371,579.5,9.48,3.968,176.7,369.0,61.78
1992-04-21,19.85,256.5,20.44,59.13,341.7,99.5,66.3,1.38,583.75,9.54,3.995,176.8,371.5,62.48
1992-04-22,19.67,251.25,20.11,59.2,339.8,99.55,65.5,1.435,577.0,9.72,4.018,175.2,374.0,61.65
1992-04-23,19.79,252.0,20.11,60.75,339.3,100.09,67.15,1.45,581.5,10.28,4.013,175.9,380.75,61.7
1992-04-24,19.6,249.5,20.22,61.02,337.5,100.15,66.45,1.386,575.0,9.99,3.965,174.3,386.75,62.17
1992-04-27,19.65,251.5,20.29,61.99,337.1,100.15,65.4,1.383,579.75,9.59,3.973,176.7,366.5,63.16
1992-04-28,19.54,251.25,20.41,61.75,337.2,100.69,64.85,1.409,580.25,9.64,3.971,176.6,360.0,63.55
1992-04-29,19.58,250.75,20.77,61.44,336.4,100.04,64.2,1.45,579.0,9.71,3.983,176.2,354.75,63.95
1992-04-30,19.58,249.5,20.85,62.4,337.9,100.45,62.9,1.422,580.25,9.36,4.015,176.2,353.5,64.3
1992-05-01,20.03,253.25,20.85,60.89,339.3,99.8,61.85,1.431,590.25,9.45,4.025,177.9,359.0,64.69
1992-05-04,20.46,259.75,21.12,61.81,337.6,100.5,61.4,1.458,592.25,9.49,4.028,177.8,374.75,66.45
1992-05-05,20.48,257.75,20.8,61.09,337.8,100.04,60.25,1.529,592.25,9.6,4.08,177.8,371.75,65.57
1992-05-06,20.4,260.0,20.77,59.85,337.5,100.45,59.25,1.496,594.0,9.54,4.09,179.8,371.75,65.25
1992-05-07,20.46,263.25,20.71,60.18,335.9,101.2,60.7,1.484,597.75,9.7,4.058,181.2,376.5,64.77
1992-05-08,20.42,261.25,20.86,59.22,336.3,101.24,60.8,1.475,594.25,9.67,4.098,179.8,369.75,64.87
1992-05-11,20.54,258.0,21.0,59.65,337.0,101.39,61.9,1.49,593.75,9.68,4.113,179.0,365.75,65.33
1992-05-12,20.81,259.5,20.96,60.62,335.8,101.09,62.95,1.543,605.0,9.67,4.108,182.6,363.5,64.82
1992-05-13,21.12,261.0,20.76,62.55,336.1,100.69,63.75,1.562,619.5,9.7,4.103,188.2,362.75,63.71
