tdate,SA,BR,ID,IN,MY,MX,KR,RU,TW,CN
1995-01-10,-0.008463144,-0.08633059,-0.020364523,-0.022132754,-0.014933705,-0.063645005,-0.005275011,-0.048909962,-0.014363468,-0.015056014
1995-01-11,-0.0072948933,0.05374539,-0.015283167,-0.0084849,-0.00036638975,0.024123788,0.010611892,-0.05511576,0.0049841404,-0.019283831
1995-01-12,0.012243748,0.087041736,-0.0267632,-0.0038545132,-0.010756731,0.026536226,0.0011000633,0.022889495,-0.02539599,-0.005138278
1995-01-13,-0.004394293,0.0612638,-0.032174766,0.0067989826,-0.015809119,0.04285574,-0.027939618,-0.03660637,-0.0047870874,-0.02133441
1995-01-16,-0.012148976,-0.007235706,0.021795511,0.012973905,0.016364574,0.011977792,-0.023741186,-0.0061089396,-0.0072277784,0.007410884
1995-01-17,-0.017169356,0.037584424,0.009702563,0.00048959255,0.016749978,-0.009866774,-0.0008549094,0.004226446,-0.0059355497,0.038549066
1995-01-18,-0.0004335642,-0.02083397,-0.0009972453,0.0030583143,-0.012479961,-0.021091402,0.015601158,-0.011822581,0.018823385,0.0049368143
1995-01-19,-0.015349448,-0.04208845,0.007167816,0.002690196,-0.019214869,-0.037047744,0.011603355,-0.08137846,-0.005817592,-0.018429816
1995-01-20,-0.0038152933,-0.0061867237,-0.0176453,-0.011247277,-0.02156365,0.0043855906,-0.0029768348,0.03793764,-0.034673035,-0.012822866
1995-01-23,-0.014035165,-0.02186042,-0.019833148,-0.0259704,-0.04651785,0.0047631264,-0.039815485,-0.025684118,-0.014412284,-0.031521082
1995-01-24,-0.00096964836,0.015700102,-0.0061523914,-0.019478858,-0.007030785,0.011426926,-0.01543653,-0.0016513467,-0.021976233,-0.012550652
1995-01-25,-0.008298099,0.0,-0.010492742,0.0073114634,0.035974026,-0.019005716,0.007024646,0.00069129467,0.021647573,0.010602713
1995-01-26,-0.021023035,0.017964363,0.0068001747,0.0,0.008918285,-0.02073425,0.021779418,0.023758888,0.0022746325,0.006907463
1995-01-27,0.00063729286,-0.029447734,0.01113832,0.013185501,0.009013891,-0.02403456,-0.019482017,-0.02888292,0.0,-0.008672118
1995-01-30,-0.016521692,-0.05049765,-0.0008493662,0.016844392,0.0,-0.02118522,0.024440527,0.0033129454,0.0,-0.0060223937
1995-01-31,-0.009523392,0.06639409,-0.009885192,0.011527896,0.0,0.08550727,0.0,-0.035209,0.0,-0.001855433
1995-02-01,0.023524523,0.021078587,0.0070637465,-0.004655242,0.0,-0.05197811,-5.4597855e-05,-0.010831535,0.0,-0.00031256676
1995-02-02,0.022138476,-0.019367456,0.018195987,0.006112814,0.0,-0.022148728,0.014436483,-0.0033951998,0.0,-0.001201272
1995-02-03,0.017786622,0.0043075085,0.017634153,0.011156917,0.05570793,-5.477667e-05,-0.009527206,-0.047343493,0.0,0.008204699
1995-02-06,-3.0100346e-05,-0.027184963,0.021499157,-0.013122201,0.052627444,0.0022661686,0.0068309307,-0.03603357,0.017996192,0.02457714
1995-02-07,-0.022900522,-0.042883873,0.010800242,-0.0062040687,0.0043982267,-0.002003014,-0.007012427,-0.09953982,0.017882824,0.00867641
1995-02-08,-0.0059640408,-0.021296144,-0.009033382,-0.010021985,-0.007034123,-0.00068354607,0.013972878,0.011195779,-0.00040215254,0.031544924
1995-02-09,0.015117288,-0.040711522,-0.0030009747,-0.00043314695,0.0076048374,-0.012457848,0.008315802,-0.049652457,0.0027872324,0.017704368
1995-02-10,-0.0039443374,-0.020540297,0.007958174,-0.0048105717,0.009276748,0.015972733,-0.00841254,0.0093922615,-0.0006529689,0.008223891
1995-02-13,-0.004419744,-0.0018207431,0.008798361,-0.0079702735,0.00055861473,-0.017739356,-3.5703182e-05,-0.009920895,-0.009668827,0.0242908
1995-02-14,-0.0057878494,-0.029900968,0.00015568733,0.0007811785,-0.006874144,0.00051522255,-0.017355382,-0.013720632,0.00065612793,0.0031502247
1995-02-15,-0.0003220439,-0.03035456,0.01076436,-0.007901669,0.009746194,-0.051280856,-0.017692327,-0.025996864,0.011329532,0.0042743683
1995-02-16,-0.008976698,-0.056791067,-0.0023258924,-0.019727945,0.009434104,0.026941419,-0.004416287,0.00664711,0.010674596,0.0041549206
1995-02-17,-0.0061323643,0.036780834,-0.005963087,-0.00986743,0.0061695576,-0.0076286197,-0.01574272,-0.011851966,-0.0006017685,-0.014229715
1995-02-20,-0.0005912781,-0.011600316,0.0011116266,-0.008221269,-0.0050581098,-0.02850169,0.023623466,0.013878942,-0.0030540824,-0.024043858
1995-02-21,-5.6684017e-05,-0.04145181,0.0038380623,-0.02108556,-0.016895115,-0.038696885,-0.01334399,0.0030757189,0.0024449825,0.016888738
1995-02-22,0.00062310696,0.020493507,-0.0027329326,-0.01677692,-0.031893194,0.018013358,0.009323835,-0.015163302,-0.004603684,-0.0159598
