,SA,BR,ID,IN,MY,MX,KR,RU,TW,CN
2001-01-01,300.691,90895450000.0,624.578,193.606,312.299,7884.334,150.672,161.497,250.153,26.5
2001-01-02,296.269,91336520000.0,611.89,196.564,305.598,7787.024,157.364,161.426,261.283,26.236
2001-01-03,289.923,97192020000.0,595.612,198.02,300.459,8197.806,157.562,144.586,257.303,25.49
2001-01-04,301.628,97374660000.0,613.147,201.811,303.718,8482.719,169.625,159.723,269.002,26.743
2001-01-05,302.469,96142344000.0,638.136,206.015,307.37,8290.003,178.288,164.243,277.644,27.003
2001-01-08,301.468,96335940000.0,638.079,201.679,309.734,8319.153,179.394,164.432,272.499,27.719
2001-01-09,301.031,98571930000.0,638.229,202.035,309.264,8289.41,179.38,168.082,282.64,27.886
2001-01-10,303.87,97889040000.0,646.165,198.776,312.452,8143.041,171.028,178.003,284.361,28.285
2001-01-11,307.563,98371820000.0,633.37,196.396,309.888,8334.945,171.121,183.783,280.609,27.36
2001-01-12,310.607,98140865000.0,628.209,196.762,310.936,8343.027,179.197,184.298,280.298,28.024
2001-01-15,314.722,98644115000.0,638.54,197.085,312.453,8388.152,181.338,189.685,283.699,28.734
2001-01-16,310.858,98187420000.0,645.048,197.732,311.259,8417.24,183.989,187.328,298.948,28.85
2001-01-17,313.861,100000000000.0,643.853,198.227,311.19,8481.478,183.031,196.985,305.413,28.349
2001-01-18,314.103,103000000000.0,651.473,200.439,314.395,8670.82,186.457,192.902,309.967,29.016
2001-01-19,315.32,103000000000.0,644.083,205.802,319.42,8767.34,191.995,195.625,309.967,29.996
2001-01-22,310.993,102000000000.0,657.915,208.469,328.346,8749.58,193.48,187.602,309.967,30.322
2001-01-23,312.23,104000000000.0,649.793,208.308,328.346,8914.479,193.48,191.927,309.967,30.273
2001-01-24,314.628,104000000000.0,653.587,210.117,328.346,8825.202,193.48,201.287,309.967,30.273
2001-01-25,318.78,104000000000.0,655.287,210.484,328.346,8775.232,193.48,202.644,309.967,30.273
2001-01-26,319.143,104000000000.0,652.779,210.484,330.873,8963.559,181.706,203.26,309.967,30.273
2001-01-29,323.617,104000000000.0,645.288,206.376,332.179,8984.457,182.069,193.608,300.467,30.316
2001-01-30,327.316,104000000000.0,648.709,212.503,333.005,9110.795,180.737,193.486,307.92,29.889
2001-01-31,327.122,104000000000.0,672.905,210.337,337.115,9142.815,190.922,192.849,317.483,30.339
2001-02-01,335.666,102000000000.0,682.922,207.652,337.115,9186.604,188.626,188.39,313.642,30.491
2001-02-02,334.573,101000000000.0,735.098,210.955,340.845,9126.117,187.247,190.248,319.315,30.41
2001-02-05,333.503,99677640000.0,753.169,212.297,339.461,9126.117,177.483,181.515,310.008,29.602
2001-02-06,335.173,101000000000.0,731.22,213.167,339.935,9055.162,180.14,186.982,305.007,29.708
2001-02-07,331.717,100000000000.0,716.816,209.504,337.591,8930.695,177.099,182.766,296.023,29.982
2001-02-08,333.927,102000000000.0,713.875,213.526,333.027,8959.191,182.168,187.794,298.264,29.689
2001-02-09,333.641,101000000000.0,688.706,214.193,335.661,8998.571,183.765,184.562,300.889,29.847
