,CAC,AEX,SPX,DAX,HSI,IBEX,NKY,TSX,OMX,SG,SMI,MIB,AS51,FTSE
1993-01-04,-0.0074282885,0.005232334,-0.0007573366,0.000105023384,-0.0141144395,0.006423354,-0.0008856654,0.000656724,0.020311356,0.0021346807,0.0068850517,0.012275219,0.009816647,0.0069839954
1993-01-05,0.009358525,0.009060144,-0.0020692348,0.010193348,0.024541259,0.027282715,-0.008544207,8.571148e-05,0.026371837,0.017534971,0.004140973,0.004068136,0.002293229,-0.008691609
1993-01-06,-0.0034186244,0.0048975945,0.0014936924,-0.004732251,-0.008847654,0.0,-0.007367909,-0.0007581115,0.0,-0.010036707,-0.00024414062,0.0,-0.019509554,-0.0031402707
1993-01-07,-0.0037421584,-0.0007311106,-0.011597455,-0.009505987,-0.006531656,-0.0010182858,0.0,-0.0122663975,-0.010948837,-0.0053820014,-0.017088711,0.0072073936,-0.009208083,-0.003337264
1993-01-08,0.0042779446,-0.010160923,-0.0011538863,-0.0035160184,0.003725648,0.0020810366,0.0,-0.0033217669,-0.0033669472,-0.0047561526,-0.0016052723,0.0034343004,-0.021202862,-0.004756689
1993-01-11,-0.02238959,-0.0028742552,0.0030212402,-0.009951472,0.031441092,-0.011018813,-0.004506588,-0.001737237,-0.0076554418,-0.011746228,-0.01383853,-0.019370258,0.010271192,-0.011696994
1993-01-12,-0.015835106,0.003211975,0.0010453463,0.009400487,-0.0038103461,0.0058707,0.0021303892,0.0016883612,-0.0059455037,-0.0073090196,0.014789939,0.00910008,-0.0055226684,-0.0057268143
1993-01-13,-0.003347516,-0.0033658743,0.0044071674,-0.012526691,0.0278368,0.0008519888,-0.007838964,-0.0041526556,-0.0060608387,-0.010125935,-0.0012395978,0.01904881,-0.012236595,-0.0057598352
1993-01-14,0.014464498,0.012438297,0.0068022013,0.009434819,0.019847035,0.028817058,-0.00026780367,0.003360629,-0.010560572,0.004463911,0.012418628,0.022777438,0.008361578,0.009590864
1993-01-15,0.014792323,0.0013017654,0.00035011768,0.016112685,-0.019866228,-0.00078606606,0.0,0.0014199018,0.008029461,0.004090786,-0.00078856945,0.028832316,0.013605118,-0.00015938282
1993-01-18,0.0005788803,0.009425521,0.0019421577,0.019346595,0.017580152,0.023642898,0.009376407,-0.0047189593,0.009093642,-0.0015304685,-0.006407559,0.008425474,0.0049641132,-0.0032521486
1993-01-19,0.0032081604,-0.0033808947,-0.003999114,-0.004979551,-0.007520318,0.0019415617,0.008028626,-0.0027589202,0.0023994446,-0.00458771,-0.007050514,-0.003520131,-0.00798589,-0.011515558
1993-01-20,-0.009121895,0.00064611435,-0.005522847,0.0015641451,-0.0030719042,0.024424672,-0.019286454,-0.00044691563,-0.0005313158,0.002135396,0.00030100346,-0.0030651689,0.0033644438,0.0051130056
1993-01-21,-0.001640141,0.003067255,0.0072814226,0.0009384155,0.0039030313,-0.008591175,0.0009396076,-0.0048470497,-0.005364299,0.0011671782,0.011888742,0.0034941435,-0.0008139014,0.00978744
1993-01-22,0.0005298853,-0.004345298,0.00080502033,0.007171273,0.0,-0.0046109557,-0.009052515,0.0012789965,-0.012378037,-0.001395762,0.0056848526,-0.009661257,0.0027700663,0.006823182
1993-01-25,-0.030985177,-0.008082092,0.008464694,-0.016411304,0.0,-0.013338208,-0.0039924383,0.0073201656,-0.021230578,0.0,-0.00672251,-0.019714415,0.00041377544,-0.007853568
1993-01-26,0.0055752993,0.0026887655,-0.0012487173,0.0050355196,-0.0018416047,0.018011093,0.012840509,0.0075701475,0.004879236,0.00868082,-0.0005052686,0.005474329,0.0044338703,0.028758407
1993-01-27,-0.010055959,-0.001950264,-0.003854692,-0.011903942,0.007995129,-0.014790058,-0.0012074113,-0.0008571744,-0.0008275509,0.0018156767,-0.009827971,0.01202631,0.0033062696,-0.0017685294
1993-01-28,-0.0035690665,-0.004315257,0.0015861988,0.007609606,-0.03009963,-0.00762707,0.03599727,-0.00403136,-0.012497544,0.0114786625,0.002746582,-0.00564909,-0.00559783,-0.007335067
1993-01-29,0.00055110455,0.005396962,-0.0012530088,0.00062823296,-0.0027259588,-0.0025619268,-0.004083991,-0.0042494535,0.011242747,0.014030933,0.010261416,0.023533821,-0.00070405006,-0.004571378
1993-02-01,0.012832522,0.010817409,0.009705901,0.01100719,-0.008830965,0.0055446625,0.011195779,-0.0009416342,0.01849556,0.015123248,0.01194644,-0.0036917925,0.0003219843,0.01591599
1993-02-02,-0.006090224,-0.0038622022,0.0012425184,-0.0034220815,-0.0095460415,0.020759106,0.0011587143,0.002586484,0.0012073517,0.004443407,-0.00016987324,0.009843469,-0.000297606,-0.010434091
1993-02-03,0.02554977,0.0012923479,0.010945082,0.011862755,0.010494709,0.012114763,0.0023146868,0.009791851,-0.010028183,0.005827546,0.00055611134,0.0055116415,0.00017619133,0.016207218
1993-02-04,0.016217709,0.0011293888,0.0036827326,0.0070916414,0.010173798,0.0024724007,-0.0008980632,0.006608844,0.011864781,0.001954794,0.004596114,0.013736606,0.0007286072,-0.0031404495
1993-02-05,0.02924037,0.015471339,-0.00044167042,0.017460108,-0.011749923,0.009865403,0.008410931,0.0037935972,0.0098257065,-0.009131193,0.0061692,0.016043782,0.0060862303,-0.00033968687
1993-02-08,-0.005661547,-0.002142489,-0.0020053387,-0.0012052655,0.020594478,-0.009769022,-0.0054756403,0.005678296,0.011041641,-0.014086783,0.003493309,0.008455753,0.009574652,0.00033986568
1993-02-09,-0.0010259151,-0.004055679,-0.0052449107,-0.00572592,-0.003952563,0.006811857,-0.015877068,0.0068713427,0.009414792,-0.0024859905,-0.0011299253,-0.021778047,0.020150661,-0.016338706
1993-02-10,0.0,0.0003193617,0.0022425652,0.003334999,0.0125312805,-0.026323974,0.005594611,0.008303046,0.020703077,0.0024148226,-0.0074386,-0.0071154237,0.00506258,-0.0038935542
1993-02-11,0.0036456585,0.0060664415,0.0021179914,0.011479497,-0.0014439225,0.021245122,0.0,-0.00051146746,0.00012207031,-0.0016317368,0.003630042,-0.017331302,0.0038921833,0.004255414
1993-02-12,0.0010231733,0.0019835234,-0.0074653625,-0.0023884177,0.0041314363,-0.010597169,-0.016043484,-0.0019239187,0.013520479,-0.004934132,0.0041675568,0.014585614,0.0022896528,0.0063718557
1993-02-15,-0.005213082,-0.0011877418,0.0,0.011077523,0.05266404,0.0005928278,0.015121579,-0.0015331507,0.002167821,0.0037513971,0.0028481483,0.017681122,-0.006433487,-0.00034302473
1993-02-16,-0.008836865,-0.01086098,-0.024522245,-0.007997155,-0.01094389,-0.013587654,-0.008743525,-0.0087836385,-0.00044476986,0.0076551437,-0.0048523545,-0.0007958412,0.00924933,-0.014757752
1993-02-17,0.014202833,-0.002644837,-0.00022888184,-0.004774034,0.009089112,-0.0005606413,0.004116297,0.0025296211,-0.011578023,-0.005440414,-0.007802248,-0.0050118566,-0.007004857,0.0024701357
1993-02-18,0.012419581,0.014545083,-0.0030990243,0.012597799,0.014881492,0.0007612705,-0.0020822287,-0.0035675168,0.011874795,0.0024570227,0.008617282,0.016046405,0.003954649,0.009982228
1993-02-19,0.0056539774,0.003722787,0.0063587427,0.00029575825,-0.0023152828,-0.0013612509,0.0038471222,0.006205559,0.0040863752,0.00017988682,-0.004647374,-0.0053355694,-0.008848369,0.0014075041
1993-02-22,-0.0020580888,0.0078125,0.003211856,-0.0011856556,0.0073486567,-0.0034476519,-0.01143229,0.0074572563,-0.002180338,0.003246665,-0.008139312,-0.00530988,0.0070044994,0.0
