,CAC,AEX,SPX,DAX,HSI,IBEX,NKY,TSX,OMX,SG,SMI,MIB,AS51,FTSE
1993-01-04,1912.7,121.41,570.28,2798.87,4523.0,2294.5,15332.0,,,,,,,3244.5
1993-01-05,1930.6,122.51,569.1,2827.4,4634.0,2357.1,15201.0,,,,,,,3216.3
1993-01-06,1924.0,123.11,569.95,2814.02,4593.0,2357.1,15089.0,,,,,,,3206.2
1993-01-07,1916.8,123.02,563.34,2787.27,4563.0,2354.7,15089.0,,,,,,,3195.5
1993-01-08,1925.0,121.77,562.69,2777.47,4580.0,2359.6,15089.0,,,,,,,3180.3
1993-01-11,1881.9,121.42,564.39,2749.83,4724.0,2333.6,15021.0,,,,,,,3143.1
1993-01-12,1852.1,121.81,564.98,2775.68,4706.0,2347.3,15053.0,,,,,,,3125.1
1993-01-13,1845.9,121.4,567.47,2740.91,4837.0,2349.3,14935.0,,,,,,,3107.1
1993-01-14,1872.6,122.91,571.33,2766.77,4933.0,2417.0,14931.0,,,,,,,3136.9
1993-01-15,1900.3,123.07,571.53,2811.35,4835.0,2415.1,14931.0,,,,,,,3136.4
1993-01-18,1901.4,124.23,572.64,2865.74,4920.0,2472.2,15071.0,,,,,,,3126.2
1993-01-19,1907.5,123.81,570.35,2851.47,4883.0,2477.0,15192.0,,,,,,,3090.2
1993-01-20,1890.1,123.89,567.2,2855.93,4868.0,2537.5,14899.0,,,,,,,3106.0
1993-01-21,1887.0,124.27,571.33,2858.61,4887.0,2515.7,14913.0,,,,,,,3136.4
1993-01-22,1888.0,123.73,571.79,2879.11,4887.0,2504.1,14778.0,,,,,,,3157.8
1993-01-25,1829.5,122.73,576.63,2831.86,4887.0,2470.7,14719.0,,,,,,,3133.0
1993-01-26,1839.7,123.06,575.91,2846.12,4878.0,2515.2,14908.0,,,,,,,3223.1
1993-01-27,1821.2,122.82,573.69,2812.24,4917.0,2478.0,14890.0,,,,,,,3217.4
1993-01-28,1814.7,122.29,574.6,2833.64,4769.0,2459.1,15426.0,,,,,,,3193.8
1993-01-29,1815.7,122.95,573.88,2835.42,4756.0,2452.8,15363.0,,,,,,,3179.2
1993-02-01,1839.0,124.28,579.45,2866.63,4714.0,2466.4,15535.0,,,,,,,3229.8
1993-02-02,1827.8,123.8,580.17,2856.82,4669.0,2517.6,15553.0,,,,,,,3196.1
1993-02-03,1874.5,123.96,586.52,2890.71,4718.0,2548.1,15589.0,,,,,,,3247.9
1993-02-04,1904.9,124.1,588.68,2911.21,4766.0,2554.4,15575.0,,,,,,,3237.7
1993-02-05,1960.6,126.02,588.42,2962.04,4710.0,2579.6,15706.0,,,,,,,3236.6
1993-02-08,1949.5,125.75,587.24,2958.47,4807.0,2554.4,15620.0,,,,,,,3237.7
1993-02-09,1947.5,125.24,584.16,2941.53,4788.0,2571.8,15372.0,,,,,,,3184.8
1993-02-10,1947.5,125.28,585.47,2951.34,4848.0,2504.1,15458.0,,,,,,,3172.4
1993-02-11,1954.6,126.04,586.71,2985.22,4841.0,2557.3,15458.0,,,,,,,3185.9
1993-02-12,1956.6,126.29,582.33,2978.09,4861.0,2530.2,15210.0,,,,,,,3206.2
1993-02-15,1946.4,126.14,582.33,3011.08,5117.0,2531.7,15440.0,,,,,,,3205.1
1993-02-16,1929.2,124.77,568.05,2987.0,5061.0,2497.3,15305.0,,,,,,,3157.8
1993-02-17,1956.6,124.44,567.92,2972.74,5107.0,2495.9,15368.0,,,,,,,3165.6
1993-02-18,1980.9,126.25,566.16,3010.19,5183.0,2497.8,15336.0,,,,,,,3197.2
1993-02-19,1992.1,126.72,569.76,3011.08,5171.0,2494.4,15395.0,,,,,,,3201.7
1993-02-22,1988.0,127.71,571.59,3007.51,5209.0,2485.8,15219.0,,,,,,,3201.7
1993-02-23,1976.9,127.42,570.94,2977.19,5136.0,2416.1,15224.0,,,,,,,3173.5
1993-02-24,1987.0,127.43,578.53,2962.93,5163.0,2416.1,15201.0,,,,,,,3167.3
1993-02-25,1972.0,127.75,578.92,2978.98,5169.0,2426.6,15269.0,,,,,,,3188.2
1993-02-26,2014.0,128.64,581.02,3011.08,5301.0,2498.3,15278.0,,,,,,,3243.4
1993-03-01,2027.0,129.25,579.38,3031.58,5314.0,2532.7,15224.0,,,,,,,3255.7
1993-03-02,2025.0,128.15,587.04,3044.96,5270.0,2512.6,15269.0,,,,,,,3253.5
1993-03-03,2024.0,128.75,589.46,3024.45,5356.0,2514.5,15219.0,,,,,,,3299.7
1993-03-04,2017.0,129.5,585.67,3012.86,5368.0,2507.8,15138.0,,,,,,,3277.1
1993-03-05,2020.0,130.86,584.03,3016.43,5411.0,2557.0,15219.0,,,,,,,3300.8
1993-03-08,2030.0,131.76,597.13,3036.93,5380.0,2569.4,15989.0,,,,,,,3349.2
1993-03-09,2036.0,132.68,595.29,3053.88,5403.0,2562.3,16107.0,,,,,,,3331.2
1993-03-10,2029.0,133.5,597.65,3058.33,5371.0,2552.7,15990.0,,,,,,,3335.7
1993-03-11,2016.0,133.69,595.03,3051.2,5326.0,2554.6,16205.0,,,,,,,3323.3
1993-03-12,1993.0,131.38,588.29,2997.7,5017.0,2504.9,16322.0,,,,,,,3288.4
1993-03-15,2017.0,132.81,591.69,3044.96,4817.0,2515.5,16326.0,,,,,,,3290.6
1993-03-16,2000.0,132.68,590.19,3027.13,4862.0,2479.6,16187.0,,,,,,,3275.4
1993-03-17,1997.0,132.55,586.79,3010.42,5051.0,2473.5,16425.0,,,,,,,3250.1
1993-03-18,1986.0,133.17,591.56,3015.7,4984.0,2479.2,16810.0,,,,,,,3246.2
1993-03-19,1993.0,133.51,589.14,2994.6,4953.0,2479.2,16752.0,,,,,,,3268.0
1993-03-22,1966.0,131.77,587.18,2930.41,4959.0,2429.6,16935.0,,,,,,,3210.9
1993-03-23,1978.0,131.77,588.03,2932.17,5030.0,2461.2,16649.0,,,,,,,3221.0
1993-03-24,1975.0,131.22,587.44,2948.88,5161.0,2453.7,16667.0,,,,,,,3219.8
1993-03-25,2007.0,130.9,591.1,2933.05,5200.0,2477.3,16913.0,,,,,,,3210.9
1993-03-26,2030.0,131.43,587.05,2973.49,5294.0,2511.3,17038.0,,,,,,,3210.9
1993-03-29,2039.5,131.47,590.58,2976.13,5240.0,2515.5,17191.0,,,,,,,3212.0
1993-03-30,2039.0,132.49,592.21,3008.66,5308.0,2517.4,17088.0,,,,,,,3228.8
1993-03-31,2032.5,132.63,591.89,2981.41,5292.0,2516.4,16788.0,,,,,,,3250.1
1993-04-01,2004.8,132.24,587.64,2956.79,5296.0,2482.5,17191.0,,,,,,,3244.5
1993-04-02,1983.0,132.0,578.74,2948.0,5290.0,2478.7,17630.0,,,,,,,3229.9
1993-04-05,1970.1,131.78,579.2,2934.81,5290.0,2470.7,17764.0,,,,,,,3195.2
1993-04-06,1996.8,133.03,577.96,2949.76,5217.0,2451.8,17567.0,,,,,,,3185.1
1993-04-07,1977.0,132.71,579.0,2921.62,5219.0,2454.6,17908.0,,,,,,,3166.1
1993-04-08,1980.0,132.67,578.81,2937.45,5231.0,2454.6,17988.0,,,,,,,3177.3
1993-04-09,1980.0,132.67,578.81,2937.45,5231.0,2454.6,17943.0,,,,,,,3177.3
1993-04-12,1980.0,132.67,586.33,2937.45,5231.0,2447.1,17939.0,,,,,,,3177.3
1993-04-13,2014.7,133.55,588.09,2962.94,5406.0,2498.0,18696.0,,,,,,,3210.9
1993-04-14,2009.2,133.9,587.31,2955.91,5701.0,2486.7,18517.0,,,,,,,3198.6
1993-04-15,1985.0,134.47,587.44,2955.91,5645.0,2474.6,18629.0,,,,,,,3200.8
1993-04-16,1976.0,134.57,587.9,2969.1,5633.0,2492.3,18248.0,,,,,,,3176.1
1993-04-19,1964.1,135.08,584.5,2987.56,5585.0,2535.2,18073.0,,,,,,,3185.1
1993-04-20,1945.3,134.52,582.99,2967.34,5544.0,2522.2,17903.0,,,,,,,3217.6
1993-04-21,1925.5,134.42,580.44,2940.08,5675.0,2505.8,17858.0,,,,,,,3234.4
1993-04-22,1945.3,135.39,573.51,2958.55,5622.0,2552.9,17621.0,,,,,,,3242.3
1993-04-23,1908.6,133.81,571.48,2915.47,5639.0,2566.0,17737.0,,,,,,,3191.8
1993-04-26,1893.8,133.15,566.12,2895.24,5685.0,2537.1,17728.0,,,,,,,3161.6
1993-04-27,1907.7,132.07,572.4,2878.54,5672.0,2533.3,18217.0,,,,,,,3173.9
1993-04-28,1928.5,132.18,571.42,2884.69,5751.0,2538.9,18486.0,,,,,,,3129.1
1993-04-29,1899.9,130.69,574.49,2869.75,5726.0,2510.0,18486.0,,,,,,,3124.6
1993-04-30,1917.6,130.69,573.64,2878.54,5676.0,2528.7,18714.0,,,,,,,3158.2
1993-05-03,1920.6,130.82,578.48,2885.57,5606.0,2523.1,18714.0,,,,,,,3158.2
1993-05-04,1909.8,130.5,580.51,2857.44,5687.0,2520.8,18714.0,,,,,,,3159.3
1993-05-05,1907.3,131.56,581.16,2870.63,5683.0,2506.3,18714.0,,,,,,,3133.5
1993-05-06,1898.9,130.89,580.44,2848.65,5677.0,2490.4,18508.0,,,,,,,3119.0
1993-05-07,1853.6,131.0,578.02,2831.06,5692.0,2473.7,18692.0,,,,,,,3136.9
1993-05-10,1851.1,132.01,579.66,2843.37,5626.0,2467.1,18965.0,,,,,,,3181.7
1993-05-11,1825.0,132.06,581.42,2843.37,5725.0,2476.9,18840.0,,,,,,,3184.0
1993-05-12,1851.6,132.84,580.64,2873.26,5830.0,2471.8,18454.0,,,,,,,3223.2
1993-05-13,1851.6,132.19,574.03,2890.85,5905.0,2588.4,18400.0,,,,,,,3203.0
1993-05-14,1820.1,131.0,574.75,2878.54,5897.0,2588.4,18418.0,,,,,,,3203.0
1993-05-17,1805.8,130.12,575.54,2875.02,5918.0,2595.8,18454.0,,,,,,,3215.4
1993-05-18,1818.2,129.76,575.47,2853.04,5939.0,2635.0,18114.0,,,,,,,3201.9
1993-05-19,1806.3,128.16,586.26,2838.1,5930.0,2599.6,18262.0,,,,,,,3161.6
1993-05-20,1806.3,128.16,589.53,2838.1,5972.0,2617.2,18221.0,,,,,,,3161.6
1993-05-21,1806.3,128.49,582.86,2845.13,5976.0,2618.1,18508.0,,,,,,,3152.6
