,CAC,AEX,SPX,DAX,HSI,IBEX,NKY,TSX,OMX,SG,SMI,MIB,AS51,FTSE
2007-12-17,5521.0,504.0,1446.5,7842.0,26497.0,15351.5,15275.0,782.9,1068.75,405.0,8531.0,38363.0,6290.0,6288.5
2007-12-18,5514.5,503.0,1455.75,7870.0,26729.0,15312.5,15180.0,783.2,1063.25,411.2,8468.0,38358.0,6208.0,6290.0
2007-12-19,5500.0,503.0,1454.0,7849.0,27054.0,15210.5,15085.0,783.2,1066.38,407.4,8394.0,38043.0,6213.0,6297.0
2007-12-20,5513.0,507.05,1464.0,7868.0,27032.0,15154.5,15030.0,786.4,1060.0,408.9,8400.0,37948.0,6240.0,6342.5
2007-12-21,5595.8,513.9,1474.95,7996.73,27848.0,15294.1,15295.0,800.1,1081.5,413.9,8485.0,38129.0,6324.0,6434.5
2007-12-24,5633.0,517.5,1506.5,7996.73,28255.0,15294.1,15295.0,807.1,1081.5,420.0,8485.0,38129.0,6341.0,6500.0
2007-12-25,5633.0,517.5,1506.5,7996.73,28255.0,15294.1,15650.0,807.1,1081.5,420.0,8485.0,38129.0,6341.0,6500.0
2007-12-26,5633.0,517.5,1509.75,7996.73,28255.0,15294.1,15685.0,807.1,1081.5,423.4,8485.0,38129.0,6341.0,6500.0
2007-12-27,5642.0,517.7,1489.75,8123.5,27795.0,15214.5,15605.0,804.3,1074.13,423.8,8501.0,38731.0,6379.0,6529.0
2007-12-28,5638.0,516.4,1485.5,8144.5,27490.0,15110.5,15240.0,814.7,1076.0,417.4,8470.0,38922.0,6373.0,6505.5
2007-12-31,5620.5,516.95,1477.25,8144.5,27910.0,15110.5,15240.0,813.5,1076.0,425.3,8470.0,38922.0,6348.0,6455.0
2008-01-01,5620.5,516.95,1477.25,8144.5,27910.0,15110.5,15240.0,813.5,1076.0,425.3,8470.0,38922.0,6348.0,6455.0
2008-01-02,5556.5,510.7,1458.5,8028.5,27668.0,14964.5,15240.0,817.0,1057.75,422.6,8470.0,38408.0,6332.0,6434.5
2008-01-03,5554.0,509.65,1458.75,7977.5,27026.0,14771.5,15240.0,823.9,1051.0,411.0,8322.0,38422.0,6330.0,6491.5
2008-01-04,5453.5,501.45,1423.0,7888.5,27663.0,14528.5,14675.0,813.3,1017.0,417.1,8122.0,37778.0,6343.0,6351.0
2008-01-07,5462.0,501.4,1421.5,7889.0,27280.0,14623.5,14485.0,800.9,1016.0,406.4,8091.0,37915.0,6207.0,6347.5
2008-01-08,5501.5,497.7,1397.0,7927.5,27168.0,14617.0,14540.0,794.6,1028.0,405.1,8315.0,37918.0,6163.0,6354.0
2008-01-09,5437.0,492.2,1411.5,7843.5,27560.0,14556.0,14595.0,800.3,1005.5,407.2,8338.0,37650.0,6077.0,6282.5
2008-01-10,5403.5,484.85,1421.0,7785.5,27266.0,14477.0,14365.0,804.2,992.75,403.7,8288.0,37606.0,6069.0,6235.0
2008-01-11,5375.0,482.15,1407.75,7789.5,26765.0,14425.0,14160.0,804.5,989.5,400.3,8150.0,37718.0,6004.0,6203.5
2008-01-14,5407.0,485.0,1420.25,7806.0,26416.0,14404.5,14160.0,809.3,1011.75,394.2,8180.0,37830.0,5966.0,6214.0
2008-01-15,5260.0,471.3,1388.0,7636.0,25730.0,13929.5,13980.0,783.5,975.75,383.8,7963.0,37051.0,5951.0,6022.0
2008-01-16,5225.0,462.65,1376.0,7549.0,24719.0,13813.5,13505.0,768.3,965.75,373.7,7840.0,36891.0,5817.0,5950.5
2008-01-17,5154.5,460.35,1339.75,7470.5,25090.0,13747.0,13735.0,752.2,971.0,385.6,7774.0,36563.0,5792.0,5888.5
2008-01-18,5173.1,456.06,1325.25,7379.0,24951.0,13967.5,13780.0,746.9,960.0,379.7,7690.0,36003.0,5762.0,5895.0
2008-01-21,4758.0,423.8,1325.25,6857.0,23588.0,12612.0,13315.0,713.4,921.0,353.0,7276.0,34231.0,5596.0,5607.5
2008-01-22,4866.0,434.2,1309.25,6833.0,21803.0,12829.5,12445.0,745.6,956.5,354.3,7463.0,34535.0,5256.0,5734.5
2008-01-23,4648.0,417.0,1341.5,6500.0,24215.0,12260.5,12765.0,748.3,917.38,366.5,7350.0,33257.0,5379.0,5621.0
2008-01-24,4930.0,445.45,1352.25,6870.5,23640.0,13117.5,13050.0,758.8,956.75,371.6,7668.0,34368.0,5543.0,5871.0
2008-01-25,4887.5,438.5,1334.0,6847.0,25075.0,13140.5,13670.0,758.6,968.25,388.9,7661.0,34491.0,5885.0,5835.0
2008-01-28,4857.5,439.3,1354.5,6855.0,24288.0,13040.0,13035.0,765.2,953.0,371.9,7564.0,34392.0,5813.0,5755.0
2008-01-29,4953.0,445.55,1362.0,6927.0,24286.0,13247.0,13415.0,769.4,957.0,372.5,7677.0,34709.0,5721.0,5850.5
2008-01-30,4883.0,443.5,1350.5,6917.0,24065.0,13220.0,13400.0,760.5,951.75,365.4,7642.0,34510.0,5589.0,5817.5
2008-01-31,4879.5,441.25,1379.5,6910.5,23494.0,13250.0,13565.0,774.6,947.5,361.2,7640.0,34316.0,5625.0,5874.0
2008-02-01,4987.0,451.55,1397.0,7000.5,24213.0,13499.5,13475.0,780.8,975.5,370.6,7755.0,34712.0,5778.0,5981.0
2008-02-04,4980.0,451.95,1378.75,7034.0,25004.0,13537.5,13870.0,777.9,975.0,377.6,7721.0,34908.0,5842.0,5999.0
2008-02-05,4783.0,436.55,1343.25,6790.0,24711.0,12833.5,13815.0,762.0,945.0,374.1,7495.0,33903.0,5790.0,5834.0
2008-02-06,4824.0,443.5,1330.0,6888.5,23450.0,13034.0,13080.0,756.0,953.25,358.6,7538.0,33990.0,5594.0,5868.5
2008-02-07,4725.0,433.0,1340.25,6764.0,23450.0,12892.5,13230.0,759.2,925.5,358.6,7390.0,33440.0,5584.0,5713.5
2008-02-08,4712.0,432.9,1330.25,6809.5,23450.0,12949.5,13045.0,759.9,918.5,358.6,7440.0,33280.0,5593.0,5757.0
2008-02-11,4682.0,427.8,1338.25,6775.0,22480.0,12822.5,13045.0,770.6,911.5,349.4,7303.0,32931.0,5543.0,5688.5
2008-02-12,4839.5,444.35,1349.75,6990.5,22889.0,13261.0,12985.0,767.2,947.25,358.5,7506.0,33890.0,5589.0,5866.5
2008-02-13,4854.0,444.55,1363.75,7009.0,23191.0,13272.5,13070.0,777.6,949.0,364.2,7495.0,34146.0,5553.0,5850.5
2008-02-14,4858.5,442.35,1351.0,6980.0,23886.0,13305.0,13635.0,774.3,949.63,375.9,7470.0,34266.0,5666.0,5856.0
2008-02-15,4765.8,435.7,1351.25,6858.0,24276.0,13090.3,13615.0,775.6,937.0,379.8,7352.0,33717.0,5619.0,5760.5
2008-02-18,4881.0,445.95,1351.25,6998.0,23829.0,13340.0,13600.0,775.6,961.38,378.8,7448.0,34097.0,5578.0,5920.0
2008-02-19,4902.5,450.45,1355.5,7026.5,24180.0,13309.0,13755.0,788.8,965.0,381.5,7450.0,34253.0,5599.0,5925.5
2008-02-20,4828.0,447.8,1359.0,6924.0,23630.0,13106.0,13340.0,797.4,952.5,370.8,7349.0,33893.0,5452.0,5881.0
2008-02-21,4876.5,454.35,1347.0,6919.0,23496.0,13206.0,13690.0,794.3,960.0,377.2,7455.0,33985.0,5555.0,5904.0
2008-02-22,4836.0,453.0,1355.5,6809.0,23377.0,13051.0,13490.0,798.1,951.25,375.2,7401.0,33467.0,5521.0,5852.5
2008-02-25,4933.5,460.2,1371.5,6905.5,23360.0,13194.5,13875.0,804.2,965.5,380.7,7569.0,34074.0,5609.0,5968.5
