,CANA,GILT,JGB,BUND,BOND
1992-01-02,51.96,48.89,62.74,53.13,48.40625
1992-01-03,52.38,48.86,62.74,53.13,48.25
1992-01-06,52.45,48.99,62.74,53.27,48.34375
1992-01-07,52.55,49.23,62.88,53.3,48.53125
1992-01-08,52.63,49.16,62.77,53.22,48.421875
1992-01-09,52.43,49.32,62.77,53.54,48.34375
1992-01-10,52.28,48.85,62.72,53.44,48.09375
1992-01-13,52.1,48.7,62.6,53.38,47.859375
1992-01-14,51.78,48.96,62.63,53.53,47.5
1992-01-15,51.76,49.16,62.63,53.61,47.46875
1992-01-16,51.62,49.24,62.39,53.47,47.171875
1992-01-17,51.73,49.34,62.61,53.54,47.34375
1992-01-20,51.93,49.38,62.74,53.6,47.546875
1992-01-21,51.76,49.16,62.77,53.75,47.71875
1992-01-22,51.51,49.13,63.05,53.59,47.5625
1992-01-23,51.47,49.27,62.91,53.62,47.21875
1992-01-24,51.12,49.1,62.83,53.53,47.125
1992-01-27,50.7,49.1,62.83,53.45,47.15625
1992-01-28,51.35,49.32,62.73,53.62,47.46875
1992-01-29,51.3,49.3,62.8,53.61,47.09375
1992-01-30,51.06,49.26,62.7,53.47,46.953125
1992-01-31,51.17,49.26,62.42,53.44,47.0
1992-02-03,51.07,49.27,62.4,53.3,46.84375
1992-02-04,50.97,49.43,62.1,53.33,47.109375
1992-02-05,51.11,49.48,61.97,53.3,47.375
1992-02-06,51.26,49.46,62.15,53.39,47.375
1992-02-07,51.32,49.3,62.17,53.47,47.40625
1992-02-10,51.39,49.43,61.98,53.42,47.390625
1992-02-11,51.26,49.43,61.98,53.5,47.296875
1992-02-12,51.34,49.54,61.83,53.47,47.140625
1992-02-13,51.0,49.49,62.1,53.46,46.78125
1992-02-14,51.13,49.19,61.9,53.26,46.796875
1992-02-17,50.83,49.38,62.19,53.3,46.796875
1992-02-18,50.52,49.48,62.29,53.3,46.609375
1992-02-19,50.67,49.4,62.11,53.21,46.78125
1992-02-20,50.88,49.45,62.29,53.22,46.796875
1992-02-21,50.8,49.24,62.38,53.2,46.6875
1992-02-24,50.43,49.24,62.25,53.22,46.640625
1992-02-25,50.7,49.49,62.21,53.37,46.78125
1992-02-26,51.08,49.62,62.29,53.53,47.171875
1992-02-27,51.01,49.7,62.37,53.58,47.046875
1992-02-28,51.01,49.49,62.32,53.5,47.296875
1992-03-02,50.77,49.4,62.29,53.46,46.890625
1992-03-03,50.58,49.23,62.05,53.49,46.765625
1992-03-04,50.58,48.67,62.08,53.36,46.8125
1992-03-05,50.43,48.5,62.26,53.31,46.5625
1992-03-06,50.3,48.53,62.18,53.26,46.6875
1992-03-09,50.34,48.67,62.26,53.32,46.890625
1992-03-10,49.86,48.47,62.43,53.31,46.90625
1992-03-11,49.78,48.06,62.4,53.18,46.640625
1992-03-12,49.18,47.95,62.35,53.14,46.3125
1992-03-13,48.69,47.64,62.4,53.03,46.09375
1992-03-16,48.68,47.7,62.4,53.01,46.109375
1992-03-17,49.66,47.98,62.58,53.13,46.34375
1992-03-18,49.25,47.75,62.59,53.0,46.359375
1992-03-19,49.38,47.54,62.73,52.93,46.5
1992-03-20,49.36,47.45,62.73,52.71,46.3125
1992-03-23,49.49,47.57,62.73,52.5,46.359375
1992-03-24,49.88,47.68,62.7,52.58,46.6875
1992-03-25,50.04,47.75,62.7,52.68,46.734375
1992-03-26,49.74,47.49,62.74,52.57,46.546875
1992-03-27,49.85,47.2,62.84,52.49,46.640625
1992-03-30,49.7,47.43,62.85,52.62,46.65625
1992-03-31,49.71,47.37,62.71,52.64,46.640625
1992-04-01,49.68,46.97,62.52,52.54,46.953125
1992-04-02,49.42,47.09,62.07,52.55,46.875
1992-04-03,49.69,47.07,61.55,52.63,47.109375
1992-04-06,49.77,47.07,61.79,52.91,47.140625
1992-04-07,49.81,47.27,61.7,52.96,47.125
1992-04-08,49.82,47.48,61.82,52.95,46.984375
1992-04-09,49.99,47.78,61.71,52.98,47.375
1992-04-10,50.09,49.56,62.12,53.16,47.3125
1992-04-13,50.05,49.78,61.95,53.05,47.421875
1992-04-14,50.1,49.89,61.97,53.06,47.421875
1992-04-15,50.11,49.98,62.1,53.08,47.34375
1992-04-16,49.91,49.74,62.04,52.96,47.078125
1992-04-17,49.91,49.74,61.89,52.96,47.078125
1992-04-20,49.49,49.74,61.49,52.96,46.671875
1992-04-21,49.32,49.67,61.56,52.91,46.734375
1992-04-22,49.5,49.74,61.56,52.95,46.765625
1992-04-23,49.52,49.46,61.78,52.64,46.6875
1992-04-24,49.7,49.54,61.67,52.54,46.84375
1992-04-27,49.46,49.79,61.45,52.68,46.703125
1992-04-28,49.64,49.73,61.41,52.61,46.8125
1992-04-29,49.72,49.73,61.41,52.56,46.71875
1992-04-30,49.71,49.59,61.42,52.53,46.65625
1992-05-01,50.19,49.82,61.52,52.53,46.921875
1992-05-04,50.02,49.82,61.52,52.47,46.828125
1992-05-05,50.01,49.52,61.52,52.32,46.890625
1992-05-06,50.22,49.7,61.72,52.53,47.09375
1992-05-07,50.26,49.68,61.84,52.66,47.0
1992-05-08,50.53,49.68,61.91,52.52,47.28125
1992-05-11,50.7,49.68,61.95,52.56,47.28125
1992-05-12,50.8,49.62,61.95,52.55,47.46875
1992-05-13,50.72,49.82,62.37,52.58,47.515625
1992-05-14,50.7,49.74,62.34,52.53,47.484375
1992-05-15,50.84,49.93,62.19,52.47,47.71875
1992-05-18,50.84,50.03,62.25,52.79,47.71875
1992-05-19,51.26,49.95,62.32,52.7,47.984375
1992-05-20,51.01,50.19,62.45,52.89,47.8125
1992-05-21,50.88,50.17,62.38,52.8,47.4375
1992-05-22,51.06,50.34,62.27,52.99,47.546875
1992-05-25,51.06,50.34,62.28,52.95,47.546875
1992-05-26,50.93,50.34,62.21,52.88,47.15625
1992-05-27,50.97,50.37,62.0,52.82,47.25
1992-05-28,51.02,50.48,62.07,52.82,47.453125
1992-05-29,51.12,50.42,62.28,52.93,47.609375
