,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
1988-01-29,8.2560 ,9.2100 ,9.4560 ,6.3690 ,9.3330 ,4.0250 ,12.1130 ,12.8380 ,11.5300 ,6.1700 ,4.9300 ,12.4000 ,NA,NA
1988-02-29,8.1490 ,9.1500 ,9.3790 ,6.1950 ,9.0670 ,4.0310 ,12.1250 ,12.5060 ,11.1800 ,6.0600 ,4.9300 ,12.3000 ,NA,NA
1988-03-31,8.5420 ,9.6700 ,9.2050 ,6.2330 ,9.3330 ,3.9330 ,12.2670 ,12.5060 ,11.2900 ,6.1100 ,5.1100 ,11.9000 ,NA,NA
1988-04-29,8.8890 ,9.9100 ,9.4290 ,6.4530 ,9.2850 ,3.9010 ,12.3260 ,12.2850 ,11.6000 ,6.3100 ,4.7500 ,11.5000 ,NA,NA
1988-05-31,9.1510 ,9.8500 ,9.4920 ,6.6380 ,9.0680 ,4.0600 ,12.4560 ,12.0140 ,11.4700 ,6.4900 ,5.0300 ,12.3000 ,NA,NA
1988-06-30,8.8730 ,9.7100 ,9.8520 ,6.6820 ,8.8770 ,4.0880 ,12.3970 ,11.9540 ,11.2700 ,6.5800 ,5.2400 ,11.9500 ,NA,NA
1988-07-29,9.1050 ,9.9900 ,9.8770 ,6.8080 ,9.0720 ,4.1540 ,12.6340 ,12.5670 ,11.5000 ,6.6900 ,5.2300 ,11.8500 ,NA,NA
1988-08-31,9.2360 ,10.2900 ,10.3360 ,6.7510 ,9.3540 ,4.2230 ,12.6700 ,12.4460 ,11.5100 ,6.6500 ,5.8000 ,11.8000 ,NA,NA
1988-09-30,8.9350 ,10.0900 ,10.0610 ,6.5580 ,8.8350 ,4.1890 ,12.7170 ,12.7170 ,11.5600 ,6.3900 ,5.4400 ,11.9500 ,NA,NA
1988-10-31,8.6440 ,9.7900 ,9.7630 ,6.2430 ,8.5860 ,3.9500 ,12.5750 ,12.5360 ,11.1200 ,6.1900 ,4.7600 ,11.9000 ,NA,NA
1988-11-30,9.0540 ,10.0900 ,10.3410 ,6.4290 ,8.7300 ,3.9780 ,12.6220 ,12.3950 ,11.1000 ,6.3600 ,4.6200 ,12.3500 ,NA,NA
1988-12-30,9.1370 ,10.1900 ,10.2910 ,6.5590 ,8.6160 ,4.0420 ,12.4800 ,13.4000 ,10.7800 ,6.5400 ,4.6100 ,12.9500 ,NA,NA
1989-01-31,8.9800 ,10.0500 ,9.8000 ,6.7240 ,8.6800 ,4.4450 ,12.7050 ,13.1080 ,10.3700 ,6.8000 ,4.6600 ,13.3000 ,NA,NA
1989-02-28,9.2950 ,10.5800 ,10.0500 ,6.9410 ,9.2040 ,4.6440 ,12.8230 ,13.1780 ,10.8200 ,7.1600 ,4.8800 ,13.6500 ,NA,NA
1989-03-31,9.2750 ,10.5600 ,10.1100 ,6.9790 ,8.9900 ,4.7220 ,12.6930 ,13.0270 ,10.9900 ,7.1500 ,4.8600 ,13.6500 ,NA,NA
1989-04-28,9.0530 ,10.0600 ,10.2200 ,6.8970 ,8.7650 ,4.9740 ,13.5100 ,12.9870 ,11.1400 ,7.1300 ,5.0400 ,13.4000 ,NA,NA
1989-05-31,8.6000 ,9.7700 ,10.4300 ,7.0050 ,8.8670 ,5.1590 ,13.7820 ,12.7760 ,10.9500 ,7.5400 ,5.2500 ,13.9000 ,NA,NA
1989-06-30,8.0770 ,9.2990 ,10.5400 ,6.7180 ,8.7340 ,5.0240 ,13.5220 ,13.4800 ,11.2900 ,7.1000 ,5.4600 ,13.5000 ,NA,NA
1989-07-31,7.8040 ,9.1440 ,9.9900 ,6.6100 ,8.3350 ,5.0910 ,13.7820 ,13.3390 ,11.1800 ,6.9600 ,5.0200 ,13.3500 ,NA,NA
1989-08-31,8.2510 ,9.4800 ,10.1300 ,6.8420 ,8.3840 ,5.1130 ,13.8180 ,13.1780 ,10.9900 ,7.1600 ,5.0900 ,12.9500 ,NA,NA
1989-09-29,8.2860 ,9.7450 ,10.6100 ,7.0200 ,8.8270 ,5.2270 ,14.0310 ,12.6250 ,11.0100 ,7.3600 ,5.1800 ,13.6500 ,NA,NA
1989-10-31,7.9090 ,9.4350 ,10.5400 ,7.1280 ,8.9330 ,5.2260 ,14.2800 ,12.9270 ,11.4800 ,7.5100 ,5.5000 ,13.5500 ,NA,NA
1989-11-30,7.8260 ,9.7020 ,10.8000 ,7.3380 ,9.1780 ,5.3510 ,14.7540 ,12.9270 ,12.6500 ,7.7900 ,5.5100 ,13.1000 ,NA,NA
1989-12-29,7.9350 ,9.5640 ,10.5300 ,7.3060 ,9.3480 ,5.5290 ,14.3630 ,12.7760 ,12.7800 ,7.8700 ,5.7400 ,12.9000 ,NA,NA
