,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
1995-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-08-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-10-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
