,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
1988-01-29,23.3610 ,33.6880 ,58.0660 ,17.2630 ,42.3730 ,15.3580 ,92.3190 ,8.1770 ,73.4890 ,26.8700 ,23.9650 ,27.6970 ,194.1920 ,6.5120 
1988-02-29,23.6440 ,34.7420 ,57.1890 ,17.1170 ,50.9700 ,22.0390 ,54.9410 ,21.9380 ,85.8780 ,25.8770 ,24.3180 ,29.3710 ,203.0300 ,5.9600 
1988-03-31,24.0690 ,33.9500 ,57.1490 ,14.5140 ,35.4760 ,17.2600 ,51.3680 ,24.7480 ,93.3060 ,25.3580 ,25.2170 ,33.8060 ,209.6590 ,6.5730 
1988-04-29,24.4180 ,34.0210 ,62.1150 ,14.7300 ,40.6460 ,19.4610 ,47.5030 ,25.0710 ,95.4540 ,25.6150 ,35.9360 ,32.0600 ,209.8110 ,5.3940 
1988-05-31,25.1530 ,36.0830 ,61.7330 ,15.0340 ,41.4090 ,17.9880 ,54.8900 ,23.6600 ,101.4240 ,24.6330 ,35.8960 ,33.3940 ,201.0760 ,5.0310 
1988-06-30,25.4680 ,36.5700 ,64.1670 ,15.4790 ,39.9220 ,17.0670 ,36.1990 ,25.0700 ,114.3890 ,27.7370 ,34.0280 ,30.3330 ,222.3890 ,6.6080 
1988-07-29,25.8300 ,35.8430 ,60.0330 ,16.7590 ,36.6680 ,15.5340 ,35.7000 ,24.7450 ,98.6780 ,28.2270 ,28.2830 ,30.4840 ,210.2990 ,6.6950 
1988-08-31,26.3960 ,37.5050 ,57.8620 ,16.1330 ,37.8770 ,14.8450 ,36.3900 ,23.2530 ,90.1370 ,26.7050 ,26.4980 ,31.3480 ,191.7620 ,7.4840 
1988-09-30,26.6600 ,38.1410 ,64.2700 ,17.3190 ,43.4530 ,15.9910 ,33.2150 ,18.9950 ,101.2900 ,29.0100 ,29.3660 ,33.7580 ,215.5080 ,7.6280 
1988-10-31,27.0330 ,38.4330 ,64.0650 ,17.0110 ,42.7380 ,15.2930 ,37.7070 ,20.4780 ,100.1150 ,29.1150 ,28.0380 ,36.8720 ,236.5960 ,7.7650 
1988-11-30,27.4940 ,39.6560 ,61.5450 ,16.0620 ,41.2670 ,14.7950 ,35.3660 ,23.3020 ,101.4710 ,28.1790 ,29.7640 ,34.1290 ,223.5910 ,8.3930 
1988-12-30,27.7430 ,39.8690 ,63.6460 ,18.1020 ,44.1420 ,15.4430 ,37.0000 ,23.6120 ,112.0840 ,29.8490 ,29.2820 ,38.8540 ,223.1270 ,9.1140 
1989-01-31,27.8770 ,39.9980 ,67.7540 ,19.7330 ,41.3060 ,16.9410 ,25.6130 ,9.4740 ,115.1960 ,34.8200 ,31.4700 ,40.0040 ,252.1470 ,12.0470 
1989-02-28,28.5870 ,38.9830 ,59.8240 ,19.4260 ,40.7810 ,16.4930 ,26.2040 ,9.8580 ,111.3640 ,30.8210 ,30.7950 ,36.2110 ,223.8750 ,10.0810 
1989-03-31,28.9090 ,39.6220 ,67.9760 ,20.2890 ,45.2510 ,12.8680 ,27.2660 ,22.6540 ,120.3010 ,31.8420 ,30.8250 ,37.9940 ,233.4360 ,10.5100 
1989-04-28,28.9150 ,40.6610 ,69.0150 ,21.3690 ,46.4010 ,13.2790 ,37.9060 ,22.4990 ,119.2580 ,NA,39.7520 ,40.4460 ,249.0530 ,11.4720 
1989-05-31,29.0780 ,41.4350 ,68.3820 ,21.8800 ,47.8360 ,15.6080 ,39.9570 ,23.4690 ,123.1460 ,32.6600 ,38.3510 ,40.3770 ,217.2920 ,11.9810 
1989-06-30,29.2430 ,40.3190 ,69.8480 ,20.7960 ,47.6600 ,19.9700 ,44.4390 ,24.9290 ,129.4320 ,33.9590 ,36.7330 ,39.6090 ,203.6750 ,11.6440 
1989-07-31,29.3530 ,40.5890 ,69.7440 ,19.0000 ,55.5120 ,19.6200 ,42.6130 ,25.2210 ,133.0530 ,35.1890 ,33.7480 ,41.5540 ,254.8820 ,11.4520 
