,BOND,CANA,BUND,GILT,JGB
1992-01-02,48.4063,51.41,53.75,49.7,62.64
1992-01-03,48.25,51.82,53.75,49.67,62.64
1992-01-06,48.3438,51.89,53.88,49.8,62.83
1992-01-07,48.5313,51.99,53.91,50.04,62.97
1992-01-08,48.4219,52.07,53.83,49.98,62.87
1992-01-09,48.3281,51.88,54.16,50.14,62.87
1992-01-10,48.0938,51.73,54.05,49.66,62.81
1992-01-13,47.8438,51.54,54,49.51,62.7
1992-01-14,47.5,51.23,54.15,49.77,62.73
1992-01-15,47.4688,51.21,54.23,49.98,62.73
1992-01-16,47.1719,51.07,54.09,50.06,62.48
1992-01-17,47.3438,51.18,54.16,50.15,62.7
1992-01-20,47.5313,51.38,54.22,50.2,62.84
1992-01-21,47.7031,51.21,54.37,49.98,62.87
1992-01-22,47.5625,50.97,54.21,49.94,63.15
1992-01-23,47.2031,50.92,54.24,50.09,63
1992-01-24,47.125,50.58,54.15,49.91,62.93
1992-01-27,47.1563,50.16,54.07,49.91,62.93
1992-01-28,47.4688,50.8,54.24,50.14,62.82
1992-01-29,47.0781,50.75,54.23,50.12,62.9
1992-01-30,46.9375,50.52,54.09,50.07,62.79
1992-01-31,47,50.63,54.05,50.07,62.51
1992-02-03,46.8438,50.53,53.92,50.09,62.49
1992-02-04,47.1094,50.43,53.95,50.25,62.19
1992-02-05,47.3594,50.57,53.92,50.3,62.06
1992-02-06,47.3594,50.72,54,50.28,62.24
1992-02-07,47.3906,50.77,54.09,50.12,62.26
1992-02-10,47.375,50.84,54.04,50.25,62.07
1992-02-11,47.2969,50.72,54.12,50.25,62.07
1992-02-12,47.1406,50.79,54.09,50.36,61.92
1992-02-13,46.7656,50.46,54.08,50.31,62.19
1992-02-14,46.7813,50.59,53.88,50.01,61.99
1992-02-17,46.7813,50.29,53.91,50.2,62.28
1992-02-18,46.5938,49.98,53.91,50.3,62.38
1992-02-19,46.7656,50.13,53.83,50.22,62.2
1992-02-20,46.7969,50.34,53.83,50.27,62.38
1992-02-21,46.6875,50.26,53.81,50.06,62.48
1992-02-24,46.625,49.89,53.83,50.07,62.34
1992-02-25,46.7656,50.17,53.99,50.33,62.3
1992-02-26,47.1563,50.54,54.15,50.46,62.38
1992-02-27,47.0469,50.47,54.2,50.54,62.46
1992-02-28,47.2813,50.47,54.12,50.33,62.41
1992-03-02,46.8906,50.23,54.08,50.23,62.38
1992-03-03,46.7656,50.05,54.1,50.06,62.14
1992-03-04,46.7969,50.05,53.98,49.5,62.17
1992-03-05,46.5625,49.89,53.93,49.32,62.35
1992-03-06,46.6875,49.77,53.88,49.35,62.27
1992-03-09,46.8906,49.8,53.93,49.5,62.35
1992-03-10,46.9063,49.34,53.93,49.29,62.53
1992-03-11,46.6406,49.25,53.8,48.87,62.49
1992-03-12,46.3125,48.65,53.75,48.76,62.44
1992-03-13,46.0781,48.17,53.64,48.44,62.49
1992-03-16,46.0938,48.16,53.62,48.5,62.49
1992-03-17,46.3438,49.14,53.74,48.79,62.67
1992-03-18,46.3594,48.72,53.61,48.55,62.68
1992-03-19,46.5,48.85,53.54,48.34,62.82
1992-03-20,46.3125,48.84,53.32,48.25,62.82
1992-03-23,46.3594,48.96,53.1,48.38,62.82
1992-03-24,46.6875,49.35,53.18,48.49,62.79
1992-03-25,46.7344,49.51,53.29,48.55,62.79
1992-03-26,46.5469,49.21,53.18,48.3,62.84
1992-03-27,46.625,49.33,53.1,47.99,62.93
1992-03-30,46.6563,49.17,53.22,48.23,62.94
1992-03-31,46.6406,49.19,53.25,48.17,62.8
1992-04-01,46.9375,49.15,53.15,47.77,62.61
1992-04-02,46.875,48.89,53.15,47.88,62.16
1992-04-03,47.1094,49.16,53.24,47.86,61.64
1992-04-06,47.125,49.25,53.52,47.86,61.88
1992-04-07,47.1094,49.28,53.57,48.07,61.79
1992-04-08,46.9844,49.3,53.56,48.28,61.91
1992-04-09,47.375,49.46,53.59,48.58,61.8
1992-04-10,47.2969,49.56,53.77,50.39,62.21
1992-04-13,47.4219,49.52,53.66,50.62,62.04
1992-04-14,47.4219,49.57,53.68,50.73,62.06
1992-04-15,47.3281,49.58,53.69,50.82,62.19
1992-04-16,47.0781,49.38,53.57,50.58,62.13
1992-04-17,47.0781,49.38,53.57,50.58,61.98
1992-04-20,46.6719,48.96,53.57,50.58,61.58
1992-04-21,46.7344,48.8,53.52,50.5,61.65
1992-04-22,46.7656,48.98,53.56,50.58,61.65
1992-04-23,46.6875,49,53.24,50.3,61.87
1992-04-24,46.8438,49.17,53.15,50.38,61.76
1992-04-27,46.7031,48.94,53.29,50.63,61.54
1992-04-28,46.7969,49.11,53.22,50.57,61.5
1992-04-29,46.7188,49.2,53.17,50.57,61.5
1992-04-30,46.6563,49.18,53.14,50.42,61.51
1992-05-01,46.9219,49.66,53.14,50.66,61.61
1992-05-04,46.8281,49.49,53.07,50.66,61.61
1992-05-05,46.8906,49.48,52.93,50.36,61.61
1992-05-06,47.0938,49.69,53.13,50.54,61.81
1992-05-07,47,49.73,53.27,50.52,61.93
1992-05-08,47.2813,49.99,53.13,50.52,62
1992-05-11,47.2813,50.16,53.16,50.52,62.04
1992-05-12,47.4531,50.26,53.15,50.46,62.04
1992-05-13,47.5,50.18,53.18,50.66,62.46
1992-05-14,47.4688,50.17,53.14,50.58,62.43
1992-05-15,47.7188,50.3,53.08,50.78,62.28
1992-05-18,47.7188,50.3,53.4,50.87,62.34
1992-05-19,47.9844,50.71,53.31,50.79,62.41
1992-05-20,47.7969,50.47,53.5,51.03,62.54
1992-05-21,47.4375,50.34,53.41,51.02,62.47
1992-05-22,47.5469,50.52,53.6,51.19,62.36
1992-05-25,47.5469,50.52,53.56,51.19,62.37
1992-05-26,47.1563,50.39,53.49,51.02,62.3
1992-05-27,47.25,50.43,53.43,51.05,62.09
1992-05-28,47.4375,50.48,53.43,51.16,62.16
1992-05-29,47.6094,50.58,53.54,51.1,62.37
1992-06-01,47.3906,50.41,53.43,50.95,62.49
1992-06-02,47.5781,50.51,53.37,50.89,62.39
1992-06-03,47.625,50.64,53.3,50.33,62.46
1992-06-04,47.6094,50.75,53.41,50.28,62.46
1992-06-05,47.7344,50.99,53.49,50.16,62.46
1992-06-08,47.75,50.98,53.49,49.92,62.35
1992-06-09,47.6563,50.85,53.67,49.95,62.38
1992-06-10,47.6406,50.76,53.66,50,62.4
1992-06-11,47.7188,51.13,53.68,50.08,62.45
1992-06-12,47.8438,51.28,53.6,50.09,62.45
1992-06-15,47.875,51.48,53.51,49.85,62.46
1992-06-16,48.0313,51.59,53.55,50.01,62.47
1992-06-17,48.0938,51.61,53.55,50,62.71
1992-06-18,48.2031,51.63,53.55,49.98,62.75
1992-06-19,48.0313,51.65,53.52,50.01,62.81
1992-06-22,48.0469,51.5,53.46,49.92,62.81
1992-06-23,47.9375,51.35,53.26,49.77,62.74
1992-06-24,48.125,51.35,53.27,49.9,62.84
1992-06-25,48.3281,51.68,53.24,50,62.86
1992-06-26,48.2969,51.53,53.21,50.19,63.06
1992-06-29,48.4219,51.56,53.29,50,63.02
1992-06-30,48.375,51.55,53.3,50.12,63.09
1992-07-01,48.4531,51.55,53.34,50.41,63.21
1992-07-02,49.0313,52.39,53.54,50.67,63.27
1992-07-03,49.0313,52.35,53.54,50.84,63.52
1992-07-06,49.0938,52.43,53.5,50.63,63.36
1992-07-07,49.2188,52.67,53.54,50.65,63.46
1992-07-08,49.1406,52.83,53.54,50.62,63.52
1992-07-09,49.1563,52.67,53.49,50.81,63.51
1992-07-10,49.125,52.61,53.38,50.81,63.47
1992-07-13,49.0313,52.43,53.21,50.52,63.55
1992-07-14,49.0469,52.42,53.32,50.7,63.55
1992-07-15,49.2813,52.61,53.29,50.57,63.43
1992-07-16,49.375,52.71,53.24,50.67,63.57
1992-07-17,49.2969,52.66,53.03,50.38,63.61
1992-07-20,49.3438,52.94,52.9,50.3,63.55
1992-07-21,49.4063,52.92,52.95,50.41,63.71
1992-07-22,49.5625,53.17,53,50.39,63.95
1992-07-23,50.0156,53.52,53.06,50.43,64.04
1992-07-24,49.9531,53.37,53.04,50.43,64.01
1992-07-27,50.1094,53.63,53.08,50.36,64.03
1992-07-28,50.2969,53.95,53.06,50.22,64.27
1992-07-29,50.3438,54.12,53.08,50.14,64.38
1992-07-30,49.9844,53.9,52.86,49.72,64.33
1992-07-31,49.9375,54.08,52.59,49.32,64.25
1992-08-03,49.875,54.02,52.8,49.64,64.07
1992-08-04,50.1563,53.94,52.82,49.5,64.36
