,BOND,CANA,BUND,GILT,JGB
1992-01-02,4.7590 ,7.0000 ,9.0010 ,9.9700 ,5.0200 
1992-01-03,4.7660 ,6.9160 ,8.9730 ,9.8800 ,5.0200 
1992-01-06,4.7240 ,6.8990 ,8.9050 ,9.8800 ,4.9400 
1992-01-07,4.6570 ,6.8500 ,8.8130 ,9.8500 ,4.8400 
1992-01-08,4.6230 ,6.8500 ,8.8240 ,9.8200 ,4.8500 
1992-01-09,4.7190 ,6.8900 ,8.7510 ,9.7300 ,4.8000 
1992-01-10,4.8390 ,6.9940 ,8.7270 ,9.8400 ,4.8000 
1992-01-13,4.9290 ,7.0060 ,8.7730 ,9.8600 ,4.8000 
1992-01-14,4.9730 ,7.1090 ,8.7600 ,9.7600 ,4.7800 
1992-01-15,5.0410 ,7.1000 ,8.6930 ,9.7200 ,4.7800 
1992-01-16,5.0500 ,7.1210 ,8.6860 ,9.6700 ,4.7800 
1992-01-17,4.9810 ,6.9930 ,8.6420 ,9.6500 ,4.6800 
1992-01-20,4.9470 ,6.9500 ,8.6580 ,9.6400 ,4.6500 
1992-01-21,4.9130 ,7.0400 ,8.5550 ,9.6700 ,4.5700 
1992-01-22,4.9470 ,7.0500 ,8.5210 ,9.6500 ,4.4000 
1992-01-23,5.1160 ,7.1300 ,8.5240 ,9.5600 ,4.4100 
1992-01-24,5.1410 ,7.3440 ,8.5480 ,9.5800 ,4.4200 
1992-01-27,5.1830 ,7.3510 ,8.5720 ,9.5100 ,4.4200 
1992-01-28,5.0910 ,7.2700 ,8.5420 ,9.4500 ,4.4700 
1992-01-29,5.1410 ,7.2700 ,8.5000 ,9.4700 ,4.4700 
1992-01-30,5.1920 ,7.2800 ,8.5470 ,9.5000 ,4.4900 
1992-01-31,5.1000 ,7.3290 ,8.6210 ,9.5600 ,4.5100 
1992-02-03,5.1340 ,7.3500 ,8.6490 ,9.5600 ,4.5500 
1992-02-04,5.0840 ,7.4400 ,8.7140 ,9.5700 ,4.6000 
1992-02-05,5.0510 ,7.3660 ,8.6800 ,9.5700 ,4.5900 
1992-02-06,5.0590 ,7.3800 ,8.6800 ,9.4900 ,4.5800 
1992-02-07,4.9250 ,7.2900 ,8.6770 ,9.4800 ,4.5900 
1992-02-10,4.9080 ,7.2310 ,8.6970 ,9.4100 ,4.6100 
1992-02-11,5.0010 ,7.2730 ,8.6660 ,9.3800 ,4.6100 
1992-02-12,5.0520 ,7.2610 ,8.6660 ,9.4100 ,4.6600 
1992-02-13,5.2220 ,7.4600 ,8.6620 ,9.4000 ,4.6400 
1992-02-14,5.2570 ,7.5800 ,8.6920 ,9.4600 ,4.6600 
1992-02-17,5.2400 ,7.6470 ,8.6670 ,9.4400 ,4.6400 
1992-02-18,5.2490 ,7.7000 ,8.6510 ,9.3800 ,4.6500 
1992-02-19,5.2320 ,7.6000 ,8.6750 ,9.4200 ,4.6700 
1992-02-20,5.2840 ,7.5100 ,8.6290 ,9.4100 ,4.6600 
1992-02-21,5.4240 ,7.6300 ,8.6380 ,9.4800 ,4.6600 
1992-02-24,5.4250 ,7.7900 ,8.6140 ,9.4800 ,4.6600 
1992-02-25,5.3910 ,7.6200 ,8.5470 ,9.4400 ,4.6100 
1992-02-26,5.3590 ,7.6040 ,8.5060 ,9.4200 ,4.6000 
1992-02-27,5.3250 ,7.5100 ,8.5580 ,9.4000 ,4.5800 
1992-02-28,5.2420 ,7.5800 ,8.5850 ,9.4300 ,4.5800 
1992-03-02,5.4420 ,7.6800 ,8.6450 ,9.4300 ,4.5500 
1992-03-03,5.4250 ,7.8200 ,8.6360 ,9.4800 ,4.5600 
1992-03-04,5.5010 ,7.8300 ,8.6200 ,9.5200 ,4.5900 
1992-03-05,5.6280 ,7.9300 ,8.6310 ,9.6000 ,4.5500 
1992-03-06,5.6030 ,7.9100 ,8.6560 ,9.6300 ,4.5600 
1992-03-09,5.5180 ,7.9700 ,8.6060 ,9.6000 ,4.5700 
1992-03-10,5.5780 ,8.2640 ,8.5700 ,9.6300 ,4.5700 
1992-03-11,5.5700 ,8.3900 ,8.6070 ,9.7400 ,4.5500 
1992-03-12,5.6980 ,8.5500 ,8.6260 ,9.8500 ,4.5500 
1992-03-13,5.8450 ,8.7100 ,8.6490 ,10.0400 ,4.5600 
1992-03-16,5.8370 ,8.7100 ,8.7060 ,10.0700 ,4.5600 
1992-03-17,5.7680 ,8.3700 ,8.6830 ,10.0100 ,4.5500 
1992-03-18,5.8030 ,8.3400 ,8.7170 ,10.0900 ,4.5500 
1992-03-19,5.7520 ,8.3040 ,8.7420 ,10.1100 ,4.5600 
1992-03-20,5.8140 ,8.2600 ,8.8010 ,10.1200 ,4.5600 
1992-03-23,5.8140 ,8.1460 ,8.9160 ,10.1500 ,4.5500 
1992-03-24,5.7190 ,8.0050 ,8.8930 ,10.1500 ,4.5500 
1992-03-25,5.7250 ,7.9770 ,8.8960 ,10.1500 ,4.5600 
1992-03-26,5.7250 ,8.1780 ,8.9220 ,10.1700 ,4.5400 
1992-03-27,5.6500 ,8.1500 ,8.9250 ,10.2400 ,4.5200 
1992-03-30,5.6000 ,8.0650 ,8.8990 ,10.2200 ,4.5500 
1992-03-31,5.5830 ,7.9790 ,8.9030 ,10.2500 ,4.5500 
1992-04-01,5.5070 ,8.0660 ,8.9110 ,10.5200 ,4.6000 
1992-04-02,5.4900 ,8.1260 ,8.9880 ,10.5300 ,4.6300 
1992-04-03,5.3630 ,7.9820 ,8.9830 ,10.5500 ,4.6300 
1992-04-06,5.3620 ,7.9530 ,8.8860 ,10.4900 ,4.6300 
1992-04-07,5.2690 ,7.8670 ,8.8460 ,10.3900 ,4.6500 
1992-04-08,5.2850 ,7.7810 ,8.8270 ,10.2400 ,4.6300 
1992-04-09,5.0750 ,7.6660 ,8.7820 ,10.1300 ,4.6100 
1992-04-10,5.1650 ,7.5220 ,8.7190 ,9.5200 ,4.5000 
1992-04-13,5.0880 ,7.4070 ,8.7320 ,9.4700 ,4.5000 
1992-04-14,5.1290 ,7.3780 ,8.7590 ,9.4200 ,4.5100 
1992-04-15,5.1790 ,7.3480 ,8.7020 ,9.3700 ,4.4700 
1992-04-16,5.2970 ,7.4900 ,8.7390 ,9.4200 ,4.4800 
1992-04-17,5.3030 ,7.4900 ,8.7390 ,9.4200 ,4.4800 
1992-04-20,5.4130 ,7.6560 ,8.7390 ,9.4200 ,4.4900 
1992-04-21,5.3590 ,7.7260 ,8.7710 ,9.4300 ,4.4500 
1992-04-22,5.3690 ,7.7850 ,8.7450 ,9.4500 ,4.4600 
1992-04-23,5.3920 ,7.7560 ,8.8850 ,9.5300 ,4.4600 
1992-04-24,5.3250 ,7.7270 ,8.9790 ,9.5300 ,4.4600 
1992-04-27,5.4250 ,7.9050 ,8.9120 ,9.4800 ,4.4700 
1992-04-28,5.3670 ,7.7750 ,8.9930 ,9.4600 ,4.4600 
1992-04-29,5.4250 ,7.7570 ,8.9970 ,9.4600 ,4.4600 
1992-04-30,5.4250 ,7.6990 ,8.9700 ,9.4800 ,4.4700 
1992-05-01,5.3160 ,7.6100 ,8.9700 ,9.3800 ,4.4700 
1992-05-04,5.2910 ,7.6870 ,8.9680 ,9.3800 ,4.4700 
1992-05-05,5.2490 ,7.6810 ,8.9920 ,9.4400 ,4.4700 
1992-05-06,5.2150 ,7.6100 ,8.9680 ,9.4100 ,4.4500 
1992-05-07,5.2310 ,7.6200 ,8.9380 ,9.3700 ,4.4600 
1992-05-08,5.2810 ,7.5500 ,9.0170 ,9.3700 ,4.4600 
1992-05-11,5.2050 ,7.4900 ,8.9900 ,9.3500 ,4.4500 
1992-05-12,5.1620 ,7.3710 ,8.9530 ,9.3300 ,4.4500 
1992-05-13,5.1620 ,7.3700 ,8.9470 ,9.2500 ,4.4600 
1992-05-14,5.1110 ,7.3460 ,8.9750 ,9.2800 ,4.4700 
1992-05-15,5.0840 ,7.1700 ,8.9850 ,9.2400 ,4.4900 
1992-05-18,5.0660 ,7.1700 ,8.9060 ,9.2200 ,4.5000 
1992-05-19,4.9470 ,6.9180 ,8.9510 ,9.2200 ,4.5200 
1992-05-20,5.0830 ,7.0670 ,8.8990 ,9.2000 ,4.5800 
1992-05-21,5.3170 ,7.1560 ,8.9000 ,9.2000 ,4.5600 
1992-05-22,5.2420 ,6.9430 ,8.8480 ,9.1800 ,4.5900 
1992-05-25,5.2420 ,6.9120 ,8.8480 ,9.1800 ,4.6000 
1992-05-26,5.3340 ,7.0330 ,8.8720 ,9.2000 ,4.6300 
1992-05-27,5.2590 ,7.0330 ,8.9110 ,9.1900 ,4.6200 
1992-05-28,5.2000 ,6.9390 ,8.9110 ,9.1800 ,4.6500 
1992-05-29,5.1840 ,6.9380 ,8.8980 ,9.1400 ,4.6500 
1992-06-01,5.2670 ,7.0470 ,8.9530 ,9.1500 ,4.6500 
1992-06-02,5.2000 ,7.0280 ,9.0190 ,9.1700 ,4.6600 
1992-06-03,5.1920 ,6.8200 ,9.0480 ,9.2500 ,4.6200 
1992-06-04,5.1670 ,6.8110 ,9.0420 ,9.2400 ,4.6300 
1992-06-05,5.1250 ,6.6570 ,8.9760 ,9.3000 ,4.6000 
1992-06-08,5.0570 ,6.6560 ,8.9760 ,9.3500 ,4.5800 
1992-06-09,5.0740 ,6.7160 ,8.9400 ,9.3300 ,4.5800 
1992-06-10,5.0910 ,6.7150 ,8.9100 ,9.3200 ,4.5500 
1992-06-11,5.0650 ,6.6500 ,8.9050 ,9.3000 ,4.5200 
1992-06-12,5.0090 ,6.4900 ,8.9160 ,9.2800 ,4.5200 
1992-06-15,5.0220 ,6.4300 ,8.9380 ,9.3100 ,4.5000 
1992-06-16,4.9710 ,6.3700 ,8.9610 ,9.2700 ,4.4700 
1992-06-17,4.9370 ,6.4050 ,8.9650 ,9.2400 ,4.4500 
1992-06-18,4.8850 ,6.4020 ,8.9650 ,9.2400 ,4.4600 
1992-06-19,4.9690 ,6.4500 ,9.0060 ,9.2000 ,4.4600 
1992-06-22,4.9690 ,6.4980 ,9.0150 ,9.2700 ,4.4500 
1992-06-23,4.9860 ,6.5220 ,9.0670 ,9.2800 ,4.4400 
1992-06-24,4.9750 ,6.5210 ,9.0340 ,9.2800 ,4.4200 
1992-06-25,4.8920 ,6.4070 ,9.0460 ,9.2800 ,4.3900 
1992-06-26,4.8840 ,6.4110 ,9.0430 ,9.2400 ,4.3600 
1992-06-29,4.8010 ,6.4200 ,9.0300 ,9.3300 ,4.3700 
1992-06-30,4.8340 ,6.3700 ,9.0340 ,9.2900 ,4.3700 
1992-07-01,4.8090 ,6.3700 ,9.0460 ,9.2200 ,4.3400 
1992-07-02,4.5500 ,6.0470 ,8.9570 ,9.1300 ,4.3400 
1992-07-03,4.5580 ,6.0160 ,8.9770 ,9.0400 ,4.3280 
1992-07-06,4.4420 ,5.8840 ,9.0380 ,9.0700 ,4.2970 
