,GC,CL,NG,HG,C,S,SI,SB,XBW,SM,BO,W,KC,CT,GC3,CL3,NG3,HG3,C3,S3,SI3,SB3,XBW3,SM3,BO3,W3,KC3,CT3
1991-12-31,86.3694,86.4741,65.6629,88.8292,95.6038,89.1786,87.681,110.543,99.6313,97.1475,82.0302,134.5759,74.528,89.8971,86.1112,88.258,74.758,89.592,99.313,87.688,87.274,98.583,98.5,94.3187,84.063,131.26,76.494,99.073
1992-01-07,85.2266,84.3032,65.2486,86.6438,95.0336,89.3387,88.3534,102.6822,97.4073,96.5847,82.4234,131.7497,76.4944,91.8114,84.9618,85.917,75.063,87.753,98.831,87.805,87.937,92.784,96.97,94.1544,84.327,129.624,78.205,101.228
1992-01-14,86.3934,84.1675,62.4004,86.234,98.5498,89.739,91.8947,101.9452,97.4791,96.8661,82.9038,137.3189,74.7199,86.4938,86.0633,86.026,73.652,87.429,102.188,88.364,91.437,93.341,96.613,94.8728,84.873,138.838,76.714,95.605
1992-01-21,87.143,84.665,61.6237,88.2828,98.6449,92.5809,96.0412,103.2963,97.3894,99.6803,85.8304,140.9763,75.1036,84.6403,86.8296,86.163,72.748,89.158,102.472,91.316,95.409,94.01,96.778,97.7494,87.65,142.485,76.99,94.052
1992-01-28,86.5385,86.7002,61.1576,90.1496,100.4505,93.1012,93.8671,102.5593,99.3802,100.806,85.0004,145.465,71.0271,81.1003,86.207,87.803,73.23,90.403,104.272,91.469,93.281,94.121,98.13,98.2922,86.956,145.102,73.355,91.121
1992-02-04,86.5385,87.1525,62.0379,88.8292,101.971,92.5008,93.5309,98.8746,105.9446,100.5246,82.9912,149.3717,67.8618,83.0298,86.207,88.988,75.34,89.067,105.882,90.549,92.93,91.222,101.939,98.0751,84.873,148.749,70.547,92.995
1992-02-11,86.5143,87.5254,58.7838,89.7858,99.4877,90.7998,93.7558,97.0407,102.8868,98.018,81.8519,146.1264,67.7493,81.0165,86.1586,88.669,72.627,89.616,103.893,89.054,93.061,91.222,100.109,96.284,84.005,151.273,70.547,90.241
1992-02-18,85.7647,82.7988,56.208,92.6825,100.3836,92.2762,91.0115,104.2774,101.0396,98.0041,84.1902,138.6512,64.1455,81.2483,85.4589,84.842,70.217,91.583,105.124,90.626,90.406,96.575,98.196,96.6097,86.131,146.131,66.912,90.449
1992-02-25,84.7734,83.472,59.1558,93.1872,99.3669,93.0287,91.2786,98.821,99.1879,98.8408,86.1691,136.8693,62.6259,84.0424,84.5303,85.981,72.627,92.132,103.798,91.431,90.757,92.672,97.421,97.5866,88.171,142.298,65.347,93.924
1992-03-03,84.9668,84.2798,58.4564,93.7378,101.6777,93.3851,92.0129,100.276,100.8728,99.3428,86.1261,132.5417,67.1847,83.9248,84.7684,86.345,71.904,92.553,106.45,91.853,91.459,93.675,99.07,98.2922,88.171,140.989,69.397,93.956
1992-03-10,84.5801,84.7734,60.7047,93.6461,102.0475,94.4544,92.8585,101.7311,99.1879,98.8408,90.0839,135.851,65.2507,80.0572,84.3636,87.083,73.666,92.875,106.14,92.995,92.294,94.378,99.16,97.7701,92.311,144.541,67.336,89.703
1992-03-17,82.3934,86.8378,62.1036,93.5084,99.829,94.296,90.5665,101.0035,101.9737,98.8408,88.4492,131.4386,67.0926,80.7925,82.1968,87.765,75.55,93.126,104.157,92.448,90.052,93.517,99.921,97.4972,90.777,138.735,68.491,89.954
1992-03-24,82.1291,86.2544,64.0022,93.0496,100.3836,92.8307,91.3898,101.0035,99.238,98.8408,85.3087,131.6084,68.0136,82.8807,81.9348,87.992,75.212,92.529,103.868,91.028,90.857,93.296,99.557,97.4972,87.754,138.735,69.423,91.086
1992-03-31,83.0182,87.2417,67.7994,93.279,97.703,93.1871,92.1909,105.2474,101.0229,99.6775,85.3087,128.6385,63.0864,86.91,82.7921,89.083,78.087,92.713,101.455,91.551,91.64,95.061,101.413,98.5308,87.754,135.308,64.943,93.456
1992-04-07,81.7206,90.787,64.2021,93.9673,95.1149,90.3753,90.8558,118.8277,103.9588,96.8885,83.803,123.7169,64.2837,87.41,81.4824,91.584,77.242,93.678,99.234,88.19,90.226,101.016,104.153,95.1841,86.074,132.715,66.406,95.056
1992-04-14,81.8888,89.4134,62.7882,91.562,93.8063,91.0785,91.4191,115.4505,98.7168,97.0293,83.8167,123.0452,60.4999,84.223,81.5542,90.266,75.55,91.968,98.655,88.488,90.748,96.053,101.552,95.5286,85.864,132.159,62.547,92.927
1992-04-21,82.1051,91.836,67.5792,91.4702,94.4401,92.4473,88.9453,116.2026,103.0684,98.6804,85.5549,124.4414,58.9008,84.3086,81.7894,92.676,77.918,91.931,99.041,90.505,88.312,96.715,104.5,97.7433,87.964,133.085,60.95,92.897
1992-04-28,81.0238,91.8809,69.5965,92.3414,90.9994,90.7657,87.7084,120.8407,103.7203,97.1944,82.8416,125.6632,57.6126,88.0442,80.7074,92.858,78.651,92.795,96.338,88.862,87.073,99.472,105.072,96.4145,85.361,134.66,59.353,95.463
1992-05-05,81.168,93.5409,73.9337,91.7454,93.3536,92.6428,90.1159,120.3393,106.6214,97.8548,86.8268,129.7647,53.5259,87.1032,80.7779,94.404,84.289,92.29,99.427,90.73,89.4,100.134,107.223,97.3004,89.14,138.92,55.405,94.678
1992-05-12,80.6543,94.5727,73.8833,92.7082,93.9874,94.6372,90.7344,121.2167,106.3769,100.4966,88.2258,126.8849,55.9246,86.4331,80.1663,95.634,84.343,93.119,100.393,92.859,89.967,100.575,108.291,99.0229,90.693,136.629,57.763,93.063
1992-05-19,81.2714,91.2977,80.9438,92.754,92.0859,95.0283,90.381,117.7068,102.335,101.3221,88.4378,120.6017,58.2789,83.6242,80.7779,93.656,86.396,93.115,99.604,93.045,89.562,98.479,105.556,100.1057,90.987,129.852,59.478,91.826
1992-05-26,81.3432,98.7002,82.2046,92.7082,92.8103,94.2852,90.6018,119.5871,108.8705,99.8361,88.141,121.8235,57.124,81.129,80.9191,100.114,87.915,92.941,100.376,92.074,89.863,99.472,111.172,98.6784,90.693,131.032,57.664,88.898
1992-06-02,81.6063,99.1937,83.3141,93.8544,95.2551,98.5478,90.1822,123.9745,107.2244,102.9732,93.6525,124.965,54.3255,84.2658,81.2014,100.251,91.0,93.859,104.426,96.108,89.476,102.45,112.21,101.2376,95.522,134.846,55.766,90.875
1992-06-09,81.3671,100.2313,82.1987,95.3858,95.7404,98.4833,89.4139,126.1342,109.0805,102.2336,93.566,131.1468,54.6897,87.7385,80.9661,100.572,89.006,95.182,104.329,96.37,88.702,104.344,113.156,101.2376,95.732,140.476,56.146,94.648
1992-06-16,82.2759,100.6548,81.4835,95.3216,90.6722,93.2896,90.6393,131.1277,107.7393,99.0971,86.9725,122.7662,55.569,88.5271,81.8365,101.167,88.437,95.182,98.929,91.29,89.906,107.915,112.377,98.137,88.972,131.577,56.905,95.614
1992-06-23,82.7543,101.739,77.7235,96.8368,91.4777,94.4347,89.1049,130.3274,108.6395,99.445,88.4501,122.7662,50.6659,88.8625,82.2834,102.266,85.968,96.568,100.472,92.41,88.401,106.908,113.934,98.4815,90.483,132.031,51.885,95.976
1992-06-30,82.3716,97.4472,78.8052,100.7396,90.6722,94.4729,88.9515,130.194,101.488,99.6934,87.8755,121.6446,49.9777,88.2895,81.907,98.373,86.87,100.141,99.701,92.448,88.251,106.797,108.67,98.7276,89.895,131.94,51.379,95.357
1992-07-07,83.0174,96.4081,81.9986,104.0456,87.7184,89.7397,85.3785,126.3255,100.5711,96.0158,84.0584,117.1584,52.2142,85.0195,82.5186,97.457,88.484,102.85,95.265,87.816,84.638,104.56,107.836,95.0856,85.99,127.218,53.404,91.826
1992-07-14,84.1363,96.4985,86.8917,105.0557,83.78,88.1365,86.7595,128.3264,99.5543,96.4134,82.2935,117.6761,52.9884,87.4231,83.6007,97.283,90.224,103.732,91.312,86.265,85.971,105.119,107.987,95.3215,84.184,127.581,53.868,94.422
1992-07-21,85.6751,97.3569,90.0336,106.0659,81.2738,86.0753,86.6937,132.9953,101.0212,95.6182,80.6928,118.1074,53.1605,86.2213,85.1297,97.513,91.847,105.201,88.998,84.239,85.928,107.02,107.242,94.386,82.639,127.491,53.657,93.124
