,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
2003-12-31,NA,-0.2578 ,0.5520 ,0.0000 ,NA,NA,-3.7856 ,-1.8205 ,NA,-0.9121 
2004-01-30,NA,-0.2957 ,0.5474 ,0.0000 ,-0.9205 ,NA,-3.8862 ,-1.6100 ,NA,-0.9804 
2004-02-27,NA,-0.5159 ,0.4596 ,0.0000 ,3.9872 ,NA,-3.9732 ,-1.5369 ,NA,-1.0236 
2004-03-31,NA,-0.8923 ,0.8761 ,0.0000 ,-1.6891 ,NA,-3.8730 ,-0.6685 ,NA,-1.0729 
2004-04-30,NA,-0.8241 ,3.6678 ,0.0000 ,-1.3905 ,NA,-4.0030 ,-1.7746 ,NA,-1.1052 
2004-05-31,NA,-0.4210 ,2.0016 ,0.0000 ,-0.4141 ,NA,-3.1783 ,-1.7616 ,NA,-1.0466 
2004-06-30,NA,-0.3765 ,1.8019 ,0.0000 ,-1.8215 ,NA,-4.0374 ,-1.0696 ,NA,-1.1226 
2004-07-30,NA,-0.1155 ,2.2202 ,0.0000 ,1.1702 ,NA,-3.9838 ,-1.3875 ,NA,-1.1546 
2004-08-31,NA,-0.1067 ,0.9917 ,0.0000 ,0.3939 ,NA,-4.1789 ,-1.0623 ,NA,-1.0182 
2004-09-30,NA,1.3949 ,0.0000 ,0.0000 ,3.6548 ,NA,-3.7771 ,-0.9904 ,NA,-0.8431 
2004-10-29,NA,1.5550 ,0.6743 ,0.0000 ,-0.7441 ,NA,-3.8989 ,-0.8729 ,NA,-0.8630 
2004-11-30,NA,2.0771 ,0.0000 ,0.0000 ,0.0000 ,NA,-4.3659 ,-2.6333 ,NA,-0.8613 
2004-12-31,NA,-0.3309 ,0.8567 ,0.0000 ,-0.8926 ,NA,-4.6032 ,-1.3169 ,NA,-1.0073 
2005-01-31,NA,-0.5862 ,-0.3525 ,0.0000 ,-0.5277 ,NA,-4.1311 ,-1.1417 ,NA,-1.0374 
2005-02-28,NA,-0.5467 ,1.3258 ,0.0000 ,0.7168 ,NA,-4.6841 ,-1.4391 ,NA,-1.0239 
2005-03-31,NA,0.0438 ,-0.1267 ,0.0000 ,-0.5649 ,NA,-3.4888 ,-2.4945 ,NA,-0.8129 
2005-04-29,NA,-0.0932 ,0.6944 ,0.0000 ,1.9212 ,NA,-5.0240 ,-2.4118 ,NA,-0.7035 
2005-05-31,NA,0.1320 ,0.5500 ,0.0000 ,-1.7401 ,NA,-3.8876 ,-2.6471 ,NA,-0.5437 
2005-06-30,NA,-0.6318 ,0.5868 ,0.0000 ,-2.8169 ,NA,-4.7529 ,-2.3317 ,NA,-0.7371 
2005-07-29,NA,-0.1150 ,0.6393 ,-0.3703 ,0.3456 ,NA,-5.0163 ,-1.9711 ,NA,-0.7774 
2005-08-31,NA,0.0393 ,0.0000 ,-1.0462 ,-4.0609 ,NA,-4.6177 ,-2.1069 ,0.3713 ,-0.8467 
2005-09-30,NA,1.9465 ,-2.7902 ,-0.9540 ,-0.8700 ,NA,-3.5211 ,-2.1118 ,0.3408 ,-0.6850 
2005-10-31,NA,1.4242 ,-3.0191 ,-1.4412 ,0.3691 ,NA,-4.6117 ,-2.2160 ,0.1776 ,-0.7206 
