,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
2012-12-15,6710.4,275.79,239.49,7972.27,1541.28,5304.0,47.008,48078.14,24.301,41678.0
2012-12-16,6710.4,275.79,239.49,7972.27,1541.28,5304.0,47.008,48078.14,24.301,41678.0
2012-12-17,6787.7,274.54,237.43,7937.93,1537.08,5319.0,46.9213,48377.29,24.4296,41678.0
2012-12-18,6779.1,276.0,237.0,7989.78,1553.41,5345.0,47.4814,48925.36,24.7656,41914.0
2012-12-19,6744.8,276.0,237.25,8016.72,1557.62,5289.0,48.1286,48701.0,24.5665,42209.0
2012-12-20,6779.1,275.43,233.9,7985.74,1562.28,5273.0,48.5218,48600.42,24.8652,42257.0
2012-12-21,6731.9,274.17,232.01,7879.34,1554.35,5253.0,48.0238,48474.43,24.5167,42200.0
2012-12-22,6731.9,274.17,232.01,7879.34,1554.35,5253.0,48.0238,48474.43,24.5167,42200.0
2012-12-23,6731.9,274.17,232.01,7879.34,1554.35,5253.0,48.0238,48474.43,24.5167,42200.0
2012-12-24,6723.3,274.9,232.78,7893.48,1564.62,5253.0,47.9015,48482.17,24.4478,42273.0
2012-12-25,6933.8,274.9,236.91,7893.48,1564.62,5253.0,47.9015,48482.17,24.4478,42273.0
2012-12-26,6929.5,274.85,235.45,7969.52,1569.75,5273.0,48.2073,48463.38,24.6009,42273.0
2012-12-27,6925.3,275.63,235.28,7914.83,1563.68,5294.0,48.548,48454.54,24.9071,42437.0
2012-12-28,7006.4,277.46,236.57,7946.84,1572.55,5355.0,48.3904,48575.0,25.0092,42356.0
2012-12-29,7006.4,277.46,236.57,7946.84,1572.55,5355.0,48.3904,48575.0,25.0092,42356.0
2012-12-30,7006.4,277.46,236.57,7946.84,1572.55,5355.0,48.3904,48575.0,25.0092,42356.0
2012-12-31,7113.1,277.46,236.91,7941.51,1569.29,5355.0,48.9859,48668.95,25.4345,42393.0
2013-01-01,7113.1,277.46,236.91,7941.51,1569.29,5355.0,48.9859,48668.95,25.4345,42393.0
2013-01-02,7147.3,282.78,240.01,8059.57,1568.83,5391.0,49.8791,49267.97,26.0981,43266.0
2013-01-03,7147.3,281.32,242.07,8062.9,1581.4,5422.0,50.1958,49316.6,25.9279,43443.0
2013-01-04,7249.7,279.54,240.27,8060.9,1583.27,5468.0,50.0717,49463.59,26.0045,43354.0
2013-01-05,7249.7,279.54,240.27,8060.9,1583.27,5468.0,50.0717,49463.59,26.0045,43354.0
2013-01-06,7249.7,279.54,240.27,8060.9,1583.27,5468.0,50.0717,49463.59,26.0045,43354.0
2013-01-07,7262.6,279.65,238.98,8016.88,1568.83,5422.0,49.7875,49536.54,25.6387,43256.0
2013-01-08,7181.4,276.73,237.68,8065.57,1573.48,5427.0,49.126,49512.22,25.392,43170.0
2013-01-09,7151.5,275.63,238.55,8004.21,1580.94,5391.0,49.4237,49791.84,25.3495,43431.0
2013-01-10,7155.8,277.56,241.56,7999.54,1573.95,5289.0,49.8966,49779.68,25.5621,43425.0
2013-01-11,7053.3,276.05,240.61,7966.85,1568.36,5340.0,49.3975,49852.63,25.3155,43385.0
2013-01-12,7053.3,276.05,240.61,7966.85,1568.36,5340.0,49.3975,49852.63,25.3155,43385.0
2013-01-13,7053.3,276.05,240.61,7966.85,1568.36,5340.0,49.3975,49852.63,25.3155,43385.0
2013-01-14,7296.7,277.77,241.38,8092.92,1575.81,5397.0,49.6339,49855.94,25.6387,43253.0
2013-01-15,7305.2,274.64,238.29,8110.93,1571.62,5432.0,49.4763,49762.0,25.4345,43072.0
2013-01-16,7202.8,272.61,237.0,8024.88,1563.7,5371.0,49.3274,49804.0,25.426,43011.0
2013-01-17,7155.8,273.13,235.45,8076.24,1569.29,5427.0,49.7828,49788.52,25.6217,43096.0
2013-01-18,7271.1,273.86,238.89,8105.59,1567.43,5540.0,49.774,50199.66,25.8429,43293.0
2013-01-19,7271.1,273.86,238.89,8105.59,1567.43,5540.0,49.774,50199.66,25.8429,43293.0
2013-01-20,7271.1,273.86,238.89,8105.59,1567.43,5540.0,49.774,50199.66,25.8429,43293.0
2013-01-21,7322.3,274.23,238.55,8137.61,1513.4,5479.0,49.774,50242.76,25.8429,43094.0
2013-01-22,7335.1,276.05,239.66,8080.25,1510.13,5412.0,49.7565,50244.97,25.7918,42936.0
2013-01-23,7347.9,272.98,238.72,8104.26,1518.52,5458.0,49.774,50387.55,25.8854,43289.0
2013-01-24,7322.3,270.73,237.43,8036.22,1518.52,5458.0,49.6514,50461.6,25.9279,43755.0
2013-01-25,7275.4,267.34,236.31,8106.93,1520.38,5489.0,49.7127,50517.96,26.3277,43629.0
2013-01-26,7275.4,267.34,236.31,8106.93,1520.38,5489.0,49.7127,50517.96,26.3277,43629.0
2013-01-27,7275.4,267.34,236.31,8106.93,1520.38,5489.0,49.7127,50517.96,26.3277,43629.0
2013-01-28,7470.6,267.14,238.8,8104.26,1520.38,5443.0,49.5726,50790.95,26.3107,43697.0
2013-01-29,7602.2,268.91,241.3,8085.03,1519.45,5494.0,50.0893,50969.99,26.3447,43815.0
2013-01-30,7678.6,270.16,240.87,8087.02,1509.67,5479.0,49.5376,50753.37,26.0215,43656.0
2013-01-31,7644.6,269.33,242.5,8053.87,1512.47,5499.0,49.7127,50283.66,26.2171,43682.0
2013-02-01,7831.4,269.07,242.5,8007.46,1512.47,5535.0,49.9842,50788.74,26.3958,43813.0
2013-02-02,7831.4,269.07,242.5,8007.46,1512.47,5535.0,49.9842,50788.74,26.3958,43813.0
2013-02-03,7831.4,269.07,242.5,8007.46,1512.47,5535.0,49.9842,50788.74,26.3958,43813.0
2013-02-04,7848.4,267.97,245.08,7946.47,1525.04,5561.0,49.3011,50788.74,25.979,43700.0
2013-02-05,7818.7,265.68,243.88,7911.99,1515.73,5494.0,49.1435,50609.69,26.1406,43825.0
2013-02-06,7878.1,265.36,244.05,7918.62,1490.11,5566.0,49.1348,50403.02,26.0725,43646.0
2013-02-07,7750.8,265.21,244.22,7908.02,1500.36,5576.0,49.0209,49893.52,25.7748,43839.0
2013-02-08,7750.8,268.91,244.22,7832.44,1505.48,5571.0,48.9859,49941.04,25.8514,44012.0
2013-02-09,7750.8,268.91,244.22,7832.44,1505.48,5571.0,48.9859,49941.04,25.8514,44012.0
2013-02-10,7750.8,268.91,244.22,7832.44,1505.48,5571.0,48.9859,49941.04,25.8514,44012.0
2013-02-11,7742.3,268.91,244.22,7839.07,1505.48,5597.0,48.8896,49911.2,25.7748,43965.0
2013-02-12,7742.3,268.18,244.22,7872.88,1505.48,5658.0,48.9509,49743.21,25.7323,43797.0
2013-02-13,7742.3,273.03,244.22,7879.51,1516.19,5679.0,49.3975,48905.46,26.0896,43909.0
2013-02-14,7742.3,274.02,244.22,7801.94,1510.14,5720.0,49.1698,48613.69,25.7918,43793.0
2013-02-15,7742.3,273.81,244.22,7797.96,1506.88,5730.0,49.1873,48962.93,25.5111,43757.0
2013-02-16,7742.3,273.81,244.22,7797.96,1506.88,5730.0,49.1873,48962.93,25.5111,43757.0
2013-02-17,7742.3,273.81,244.22,7797.96,1506.88,5730.0,49.1873,48962.93,25.5111,43757.0
2013-02-18,7682.9,273.5,246.2,7821.83,1504.55,5725.0,49.1873,48872.31,25.5111,43536.0
2013-02-19,7517.3,274.59,246.98,7898.07,1497.1,5715.0,49.3186,49410.54,25.7408,43813.0
2013-02-20,7496.1,280.33,249.13,7908.02,1496.63,5735.0,48.2416,49099.98,25.0773,43438.0
2013-02-21,7215.9,279.28,246.72,7754.21,1495.24,5741.0,47.506,48883.36,24.8391,42389.0
2013-02-22,7152.3,280.07,246.72,7753.54,1505.95,5771.0,48.0051,48575.0,24.9922,42440.0
2013-02-23,7152.3,280.07,246.72,7753.54,1505.95,5771.0,48.0051,48575.0,24.9922,42440.0
2013-02-24,7152.3,280.07,246.72,7753.54,1505.95,5771.0,48.0051,48575.0,24.9922,42440.0
2013-02-25,7186.1,278.81,246.37,7750.23,1512.47,5848.0,47.4622,48205.87,24.4818,42637.0
2013-02-26,7071.9,277.67,243.88,7632.79,1509.66,5823.0,47.865,48203.65,24.7115,42362.0
2013-02-27,7169.2,277.51,243.79,7684.91,1509.66,5931.0,48.189,48455.64,24.8561,41981.0
2013-02-28,7423.0,280.59,245.34,7597.82,1527.41,6049.0,48.2766,48792.73,24.5414,42426.0
2013-03-01,7372.2,280.59,246.12,7556.92,1522.74,6033.0,48.3379,48664.53,24.5073,42951.0
2013-03-02,7372.2,280.59,246.12,7556.92,1522.74,6033.0,48.3379,48664.53,24.5073,42951.0
2013-03-03,7372.2,280.59,246.12,7556.92,1522.74,6033.0,48.3379,48664.53,24.5073,42951.0
2013-03-04,7016.9,278.14,242.94,7537.12,1522.27,5951.0,47.9701,48548.48,24.2181,42683.0
2013-03-05,7194.6,278.92,244.91,7645.32,1532.08,5982.0,48.2503,48526.38,24.5329,43559.0
2013-03-06,7296.1,278.92,246.03,7713.28,1545.62,6064.0,49.4237,48792.73,24.737,43365.0
2013-03-07,7190.3,276.21,245.6,7792.45,1545.62,6064.0,50.1681,48584.95,24.7115,43658.0
2013-03-08,7203.0,276.31,248.01,7871.62,1543.75,6115.0,50.4833,48999.4,25.0773,43620.0
2013-03-09,7203.0,276.31,248.01,7871.62,1543.75,6115.0,50.4833,48999.4,25.0773,43620.0
2013-03-10,7203.0,276.31,248.01,7871.62,1543.75,6115.0,50.4833,48999.4,25.0773,43620.0
2013-03-11,7118.4,276.0,248.52,7851.17,1554.03,6028.0,50.1418,48640.21,24.8986,43951.0
2013-03-12,7016.9,273.72,247.41,7830.06,1543.75,6028.0,49.9491,48580.53,24.6009,43934.0
2013-03-13,6940.8,273.98,247.15,7735.71,1531.61,6028.0,49.2924,47808.52,24.3712,43867.0
2013-03-14,6978.9,274.81,246.37,7836.66,1531.61,5931.0,49.0559,47849.21,24.5414,43920.0
2013-03-15,6906.9,272.58,244.57,7778.6,1518.07,6038.0,48.802,47039.81,24.5669,43709.0
2013-03-16,6906.9,272.58,244.57,7778.6,1518.07,6038.0,48.802,47039.81,24.5669,43709.0
2013-03-17,6906.9,272.58,244.57,7778.6,1518.07,6038.0,48.802,47039.81,24.5669,43709.0
2013-03-18,6818.1,269.38,240.53,7721.86,1510.6,5966.0,48.443,47039.81,23.7843,43451.0
2013-03-19,6852.0,269.38,241.3,7576.71,1517.14,5961.0,48.2153,46378.87,23.4015,43239.0
2013-03-20,7135.3,267.51,239.84,7544.38,1519.47,5972.0,47.9351,46749.48,23.6652,43246.0
2013-03-21,7118.4,265.29,240.7,7468.51,1515.73,5920.0,47.1557,46778.07,23.6652,43246.0
2013-03-22,7143.8,265.24,239.67,7470.49,1517.14,5787.0,47.0244,46980.43,23.6227,42986.0
2013-03-23,7143.8,265.24,239.67,7470.49,1517.14,5787.0,47.0244,46980.43,23.6227,42986.0
2013-03-24,7143.8,265.24,239.67,7470.49,1517.14,5787.0,47.0244,46980.43,23.6227,42986.0
2013-03-25,7135.3,270.67,242.51,7453.99,1545.62,5838.0,46.7529,47136.59,23.359,42901.0
2013-03-26,7017.1,270.93,241.47,7450.71,1546.55,5936.0,47.0331,48082.35,23.359,43180.0
2013-03-27,7034.0,273.1,242.94,7457.28,1563.38,6079.0,47.4885,48567.33,23.3845,42687.0
2013-03-28,6755.4,273.1,241.9,7520.37,1561.51,6064.0,47.7074,48567.33,23.6056,42658.0
2013-03-29,6730.0,274.14,244.57,7517.74,1553.57,6064.0,47.7074,48567.33,23.6056,42658.0
2013-03-30,6730.0,274.14,244.57,7517.74,1553.57,6064.0,47.7074,48567.33,23.6056,42658.0
2013-03-31,6730.0,274.14,244.57,7517.74,1553.57,6064.0,47.7074,48567.33,23.6056,42658.0
2013-04-01,6713.1,273.88,244.57,7521.68,1556.37,6059.0,47.2608,48417.77,23.3164,42658.0
2013-04-02,6734.2,271.34,244.14,7580.17,1570.87,6069.0,46.928,48667.41,23.2569,42819.0
2013-04-03,6708.9,271.14,245.43,7452.68,1577.88,6110.0,46.7179,48162.63,22.772,42045.0
2013-04-04,6696.3,266.22,243.54,7337.68,1572.74,6028.0,46.6128,47938.29,23.0102,41623.0
2013-04-05,6696.3,262.6,243.54,7303.51,1577.41,5971.0,47.3834,47608.37,22.9506,41044.0
2013-04-06,6696.3,262.6,243.54,7303.51,1577.41,5971.0,47.3834,47608.37,22.9506,41044.0
2013-04-07,6696.3,262.6,243.54,7303.51,1577.41,5971.0,47.3834,47608.37,22.9506,41044.0
2013-04-08,6645.6,262.65,238.55,7300.88,1573.67,5936.0,47.3484,47818.42,23.1463,41106.0
2013-04-09,6725.8,262.18,238.03,7222.02,1573.67,5961.0,48.2853,48423.27,23.461,41011.0
