,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
1995-02-28,67.42860 ,135.83930 ,116.05050 ,128.53840 ,116.03380 ,115.17420 ,157.01640 ,201.48970 ,459.92550 ,194.17350 
1995-03-31,68.68190 ,137.53790 ,116.22090 ,129.18960 ,117.28570 ,115.40690 ,159.31030 ,210.32170 ,457.28300 ,192.43410 
1995-04-28,68.68550 ,137.29250 ,114.80360 ,128.84990 ,118.14040 ,114.98730 ,156.06380 ,201.22660 ,494.82560 ,191.51600 
1995-05-31,69.24070 ,138.97550 ,113.26590 ,128.96020 ,118.75220 ,115.70140 ,153.45520 ,204.79270 ,515.99300 ,192.60240 
1995-06-30,71.44680 ,140.81560 ,112.03370 ,130.92480 ,123.16240 ,118.62900 ,154.01420 ,203.54620 ,546.04780 ,197.37590 
1995-07-31,72.81190 ,142.68930 ,113.14910 ,125.78580 ,121.38590 ,120.60670 ,153.67900 ,200.97080 ,546.15310 ,198.69860 
1995-08-31,72.42310 ,143.15950 ,114.94880 ,120.01580 ,119.95020 ,120.12670 ,151.79020 ,188.08300 ,540.85500 ,197.02730 
1995-09-29,72.82570 ,143.49640 ,113.97430 ,119.72570 ,120.06130 ,120.45230 ,151.80250 ,165.14160 ,538.21940 ,197.70440 
1995-10-31,73.06360 ,143.69620 ,114.08420 ,119.78170 ,120.37330 ,120.82780 ,152.34540 ,165.54960 ,534.42000 ,198.38840 
1995-11-30,74.10320 ,142.38230 ,115.01190 ,118.14660 ,121.13130 ,122.02140 ,152.48660 ,170.87650 ,533.20230 ,201.49880 
1995-12-29,74.20860 ,143.85560 ,114.69850 ,115.56800 ,121.73530 ,122.31190 ,151.82150 ,170.00280 ,527.84530 ,195.99450 
1996-01-31,74.13010 ,143.84490 ,115.17960 ,123.12520 ,121.74860 ,122.45520 ,151.29960 ,168.85680 ,521.75640 ,187.05690 
1996-02-29,74.45370 ,144.72910 ,116.60250 ,124.90270 ,123.75720 ,122.86800 ,151.60120 ,171.42370 ,518.05400 ,175.24640 
1996-03-29,74.61010 ,145.06270 ,116.10760 ,123.08580 ,124.83310 ,122.95830 ,151.88020 ,172.67690 ,514.45610 ,169.82250 
1996-04-30,75.34630 ,142.65560 ,115.35230 ,123.19120 ,125.49720 ,123.61450 ,151.35820 ,169.98250 ,507.02520 ,170.79750 
1996-05-31,75.37090 ,139.80210 ,115.68840 ,120.88320 ,125.69170 ,123.47790 ,150.07860 ,168.49650 ,495.09670 ,168.06130 
1996-06-28,75.17340 ,138.60430 ,115.52190 ,119.92980 ,125.08420 ,123.23780 ,148.64940 ,170.77340 ,478.96690 ,162.51220 
1996-07-31,75.80680 ,138.70450 ,116.23600 ,120.45550 ,125.49950 ,123.79980 ,148.60490 ,170.39460 ,475.12680 ,164.37710 
1996-08-30,76.46960 ,138.70740 ,116.92750 ,121.29920 ,126.01770 ,124.40980 ,148.51530 ,166.51540 ,474.51640 ,162.13570 
1996-09-30,76.31880 ,138.35660 ,116.73540 ,120.36630 ,124.76020 ,124.13340 ,147.37720 ,162.59590 ,471.81310 ,157.81510 
1996-10-31,77.13840 ,137.79380 ,117.72830 ,121.26790 ,125.73880 ,124.87680 ,147.79720 ,163.90380 ,475.75380 ,158.81040 
1996-11-29,78.34600 ,137.91910 ,119.45060 ,122.92690 ,129.25260 ,126.04200 ,148.78920 ,165.59860 ,481.50360 ,163.18740 
1996-12-31,80.08610 ,137.76460 ,121.26250 ,125.54170 ,131.97530 ,127.67850 ,150.42850 ,167.20990 ,493.73250 ,174.42260 
1997-01-31,80.54510 ,133.70240 ,121.79290 ,126.45170 ,133.12910 ,128.12070 ,150.25390 ,164.36110 ,492.80190 ,176.62740 
1997-02-28,81.16870 ,135.07850 ,122.29680 ,127.24720 ,132.81420 ,128.66420 ,150.32330 ,165.76030 ,492.94340 ,177.08310 
1997-03-31,80.16250 ,133.85160 ,120.24040 ,126.57550 ,131.00460 ,127.76590 ,148.57270 ,165.41670 ,490.46720 ,174.94200 
1997-04-30,79.55650 ,133.42850 ,118.98000 ,126.53710 ,129.43810 ,127.08010 ,147.77310 ,164.31920 ,492.97840 ,174.00240 
1997-05-30,80.54900 ,134.96610 ,120.00940 ,128.57980 ,128.57610 ,109.26770 ,148.59810 ,166.75910 ,501.19800 ,174.14980 
1997-06-30,82.06720 ,136.45890 ,118.88810 ,130.20010 ,122.95050 ,103.98240 ,149.46650 ,169.54620 ,508.50970 ,172.97340 
1997-07-31,82.73440 ,135.48160 ,120.37420 ,128.36160 ,113.08690 ,93.94840 ,148.29220 ,169.70330 ,500.19840 ,171.89970 
1997-08-29,83.31800 ,134.46360 ,117.51000 ,129.19890 ,104.26560 ,91.90790 ,147.29270 ,167.89600 ,496.00710 ,170.48710 
1997-09-30,85.34790 ,122.04750 ,111.02910 ,126.44360 ,103.07940 ,88.84690 ,147.13520 ,160.37680 ,492.63100 ,166.31970 
1997-10-31,90.53420 ,86.77310 ,112.57180 ,124.12990 ,97.07760 ,80.39640 ,150.10660 ,165.32290 ,505.14240 ,170.70500 
1997-11-28,93.79860 ,77.75720 ,110.57250 ,127.64150 ,86.08720 ,69.87480 ,151.78160 ,164.83970 ,508.70720 ,172.46220 
1997-12-31,91.81870 ,80.06650 ,112.34390 ,127.29880 ,96.94350 ,79.73060 ,150.01900 ,158.78980 ,504.85760 ,170.96410 
1998-01-30,91.54260 ,87.81210 ,113.35110 ,125.12580 ,98.69710 ,89.18990 ,149.36560 ,157.45240 ,505.64270 ,169.76620 
1998-02-27,91.28190 ,94.23540 ,111.36360 ,124.19360 ,98.68120 ,93.37100 ,148.13310 ,158.69630 ,499.90640 ,166.94640 
1998-03-31,92.06350 ,94.18640 ,110.50860 ,122.26980 ,97.40430 ,95.08460 ,147.03020 ,157.26520 ,496.29890 ,165.37100 
1998-04-30,94.03650 ,96.45870 ,109.15960 ,118.56000 ,95.40840 ,89.82780 ,147.69420 ,152.22600 ,497.09550 ,158.84550 
1998-05-29,93.76880 ,104.45450 ,109.65320 ,117.99540 ,91.44790 ,92.61870 ,147.08020 ,152.63390 ,495.80760 ,137.42910 
1998-06-30,94.91310 ,103.88820 ,109.54450 ,118.33450 ,91.43790 ,92.70040 ,146.55100 ,145.52230 ,427.26160 ,135.74230 
1998-07-31,93.66900 ,97.50300 ,107.37230 ,118.26680 ,98.56690 ,92.74950 ,143.50240 ,132.64240 ,203.19230 ,136.45190 
1998-08-31,93.03020 ,96.61040 ,108.33960 ,115.79330 ,94.85280 ,94.22130 ,139.79130 ,132.10070 ,184.18120 ,139.07120 
1998-09-30,89.80170 ,100.49420 ,110.37520 ,116.53030 ,94.77050 ,98.68840 ,140.11780 ,134.76760 ,178.53920 ,144.22150 
1998-10-30,88.96210 ,106.59220 ,110.36290 ,115.80920 ,93.89690 ,98.36840 ,138.25770 ,135.35530 ,146.36890 ,137.49320 
1998-11-30,88.51970 ,109.98910 ,110.04630 ,116.44910 ,93.68310 ,96.96710 ,111.20610 ,132.53040 ,134.68950 ,135.94240 
1998-12-31,90.11310 ,110.27110 ,110.73480 ,118.58880 ,95.13290 ,97.40100 ,88.52500 ,134.94930 ,136.91410 ,135.99250 
1999-01-29,91.65580 ,107.98830 ,110.08540 ,120.53540 ,96.49870 ,97.61780 ,90.42600 ,139.43820 ,133.97740 ,136.04150 
1999-02-26,91.69810 ,110.10300 ,111.04690 ,120.39000 ,96.42490 ,97.41670 ,101.63890 ,143.86080 ,129.00780 ,138.85620 
1999-03-31,91.92810 ,111.15890 ,111.58990 ,120.33620 ,96.52250 ,99.34350 ,102.53550 ,144.45440 ,133.35290 ,137.69380 
1999-04-30,91.87940 ,114.04440 ,112.69400 ,120.04390 ,96.46880 ,99.62660 ,98.51720 ,142.91290 ,136.41230 ,141.12490 
1999-05-31,91.70050 ,111.89560 ,113.13360 ,119.64530 ,96.18780 ,98.82030 ,96.70040 ,145.20750 ,137.32340 ,140.49240 
1999-06-30,90.42090 ,109.68330 ,112.87760 ,118.05950 ,95.09800 ,95.18450 ,91.67960 ,144.25870 ,134.47920 ,138.41190 
1999-07-30,89.58010 ,108.84300 ,112.90840 ,117.89340 ,94.58430 ,89.71880 ,90.87890 ,144.92950 ,130.73620 ,139.89010 
1999-08-31,89.01190 ,107.65730 ,112.37070 ,117.09720 ,93.87140 ,89.94510 ,87.08470 ,141.19040 ,128.08860 ,137.47520 
1999-09-30,89.13250 ,110.60300 ,112.59060 ,118.55490 ,93.90600 ,91.77920 ,89.75020 ,143.76410 ,128.14300 ,138.40170 
1999-10-29,88.83120 ,114.40720 ,112.91530 ,118.92850 ,93.70950 ,92.98040 ,94.42790 ,143.61790 ,127.32520 ,138.97720 
