,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
1997-12-31,46.9000 ,49.9477 ,72.8242 ,57.6064 ,46.5925 ,92.8041 ,54.0099 ,58.4589 ,43.6989 ,72.8724 ,110.1787 ,62.1624 ,208.4861 ,83.5021 
1998-01-30,47.1342 ,49.9299 ,73.9471 ,57.8344 ,46.7484 ,93.5820 ,53.7187 ,58.9390 ,43.6989 ,73.7399 ,110.6181 ,62.5166 ,207.0728 ,83.9243 
1998-02-27,47.3845 ,49.8424 ,74.4032 ,58.0232 ,47.5888 ,94.7418 ,54.3715 ,59.1371 ,43.6989 ,74.7149 ,111.2784 ,62.8203 ,207.1006 ,84.1579 
1998-03-31,46.9806 ,49.1609 ,73.8971 ,57.9285 ,47.8009 ,95.3639 ,53.6433 ,58.4539 ,42.2614 ,74.3441 ,111.6798 ,62.0994 ,205.6058 ,83.3720 
1998-04-30,47.2954 ,48.9794 ,74.2194 ,58.1197 ,48.4355 ,96.0643 ,53.8266 ,58.2191 ,42.3739 ,74.8669 ,112.1293 ,62.3535 ,207.6464 ,84.3371 
1998-05-29,47.6202 ,48.8080 ,74.5786 ,58.4921 ,48.5373 ,96.1358 ,53.3807 ,58.2071 ,42.2556 ,75.6418 ,112.3760 ,62.6669 ,208.8059 ,85.2847 
1998-06-30,47.2413 ,48.1914 ,74.0294 ,58.2720 ,48.2320 ,94.3837 ,52.8844 ,57.2097 ,41.9748 ,75.3924 ,112.9644 ,61.9417 ,207.9776 ,85.2170 
1998-07-31,47.5055 ,48.1505 ,74.2936 ,58.5339 ,48.5203 ,93.4554 ,53.2421 ,57.5650 ,42.1542 ,76.5423 ,113.1848 ,62.4180 ,207.3524 ,85.5295 
1998-08-31,47.7468 ,48.2168 ,74.6671 ,58.6765 ,48.9486 ,92.5622 ,53.7519 ,58.0469 ,42.1980 ,77.3952 ,113.5291 ,62.9903 ,209.3060 ,86.5607 
1998-09-30,47.3903 ,47.8122 ,74.2366 ,58.6851 ,48.3936 ,91.2609 ,52.8398 ,57.0287 ,41.9253 ,76.1700 ,114.6585 ,62.9089 ,215.2480 ,87.8812 
1998-10-30,47.7009 ,47.9281 ,74.7319 ,58.9938 ,48.1196 ,91.2992 ,52.3093 ,57.1260 ,42.0690 ,76.4662 ,115.1695 ,63.4744 ,219.9869 ,88.9014 
1998-11-30,48.0870 ,48.0818 ,75.1453 ,59.3943 ,47.8146 ,92.0690 ,51.3525 ,57.3344 ,42.2432 ,76.6808 ,115.5156 ,63.8478 ,223.7119 ,89.2544 
1998-12-31,47.9121 ,47.9041 ,75.0805 ,59.4170 ,47.1619 ,92.3630 ,50.7304 ,57.5114 ,41.8038 ,75.6966 ,116.7368 ,63.2485 ,230.4681 ,96.6339 
1999-01-29,48.3126 ,48.0332 ,75.4073 ,60.1057 ,47.2700 ,92.7692 ,50.8743 ,58.8129 ,41.9252 ,75.9987 ,117.2067 ,63.5535 ,232.2467 ,102.7189 
1999-02-26,48.6655 ,48.0854 ,75.5002 ,60.9155 ,47.6396 ,93.2559 ,52.3750 ,60.1249 ,42.4004 ,77.1377 ,117.7685 ,63.9755 ,232.9142 ,108.7795 
1999-03-31,48.2344 ,47.7851 ,74.5175 ,61.3959 ,48.0581 ,93.7659 ,53.3670 ,59.3199 ,42.1590 ,76.8549 ,118.7998 ,63.6742 ,238.4220 ,111.6376 
1999-04-30,48.4427 ,47.9272 ,74.4068 ,61.8456 ,48.7574 ,94.6588 ,54.2211 ,59.2808 ,42.2666 ,77.6972 ,119.1983 ,64.1927 ,239.0979 ,112.1638 
1999-05-31,48.6547 ,48.1535 ,74.6019 ,62.1382 ,48.9540 ,95.3953 ,53.8883 ,59.1485 ,42.0476 ,78.3437 ,119.4219 ,64.7599 ,239.9350 ,113.1267 
1999-06-30,48.1331 ,47.7922 ,73.9288 ,62.2748 ,48.2831 ,95.6320 ,53.4787 ,58.3042 ,41.5696 ,79.1472 ,120.0925 ,64.5562 ,243.9385 ,116.2853 
1999-07-30,48.3986 ,47.9880 ,74.3900 ,62.7046 ,48.2567 ,95.8307 ,53.8003 ,58.8766 ,41.6221 ,79.9652 ,120.3643 ,65.2123 ,244.9001 ,117.6074 
1999-08-31,48.6605 ,48.1267 ,74.6749 ,63.0520 ,48.3712 ,95.5178 ,54.3003 ,59.5242 ,41.7107 ,80.5817 ,120.7537 ,65.7470 ,246.2719 ,118.8338 
1999-09-30,48.1641 ,47.4626 ,74.1551 ,63.0387 ,48.4528 ,94.9442 ,54.1745 ,58.9875 ,41.4519 ,79.4366 ,121.2361 ,65.3315 ,250.2091 ,119.5248 
1999-10-29,48.3776 ,47.6354 ,74.0120 ,63.1650 ,48.6909 ,94.7934 ,53.9330 ,59.2330 ,41.8148 ,79.9480 ,121.3963 ,65.7382 ,252.8285 ,120.4302 
1999-11-30,48.5783 ,47.8384 ,73.9875 ,63.3355 ,48.6087 ,94.7067 ,53.5843 ,59.5074 ,42.7625 ,79.9929 ,121.6059 ,66.2118 ,254.3747 ,120.8669 
1999-12-31,48.0611 ,47.0803 ,73.3316 ,63.2307 ,47.8320 ,94.5572 ,53.2044 ,59.2376 ,42.7713 ,78.8785 ,122.2636 ,65.8843 ,258.5876 ,119.5312 
2000-01-31,48.3072 ,47.2958 ,73.8709 ,63.2568 ,47.6005 ,94.2592 ,53.3898 ,59.9196 ,43.4353 ,78.8386 ,122.5091 ,66.2427 ,261.4555 ,119.9530 
2000-02-29,48.5700 ,47.5914 ,74.2954 ,63.3726 ,48.1818 ,94.2394 ,54.5399 ,60.3524 ,43.7300 ,79.4883 ,122.7128 ,66.4978 ,263.4848 ,120.2918 
2000-03-31,48.0535 ,46.9449 ,74.1665 ,62.9162 ,48.1655 ,92.5863 ,54.7078 ,59.4409 ,43.3423 ,78.7716 ,123.3796 ,65.7939 ,261.6661 ,118.1154 
2000-04-28,48.3036 ,47.3259 ,74.5113 ,63.0958 ,48.5540 ,92.0923 ,55.6091 ,59.7028 ,43.6597 ,79.9658 ,123.5018 ,66.0624 ,261.8200 ,117.5917 
2000-05-31,48.6490 ,47.7321 ,75.1889 ,63.1589 ,48.3790 ,91.1279 ,55.4329 ,60.5518 ,44.0620 ,80.6471 ,123.8383 ,66.4240 ,263.0700 ,116.8123 
2000-06-30,48.1764 ,47.0564 ,75.0354 ,62.5608 ,47.9058 ,89.1540 ,54.9163 ,59.8551 ,43.6854 ,80.0153 ,123.8332 ,65.6985 ,259.5725 ,112.9412 
2000-07-31,48.3824 ,47.3382 ,75.9059 ,62.3746 ,48.1418 ,88.2825 ,55.2465 ,60.7623 ,43.5978 ,80.1762 ,124.0735 ,66.1813 ,261.5374 ,113.0406 
2000-08-31,48.4595 ,47.6219 ,76.4716 ,62.0471 ,48.5214 ,87.1260 ,55.3850 ,61.3620 ,42.9498 ,80.4934 ,124.1121 ,66.6324 ,263.7695 ,113.3363 
2000-09-29,47.7975 ,46.6238 ,75.6478 ,61.2675 ,48.1878 ,84.8943 ,54.3560 ,60.8288 ,42.2286 ,78.9513 ,124.0274 ,65.7995 ,266.2159 ,110.5797 
2000-10-31,48.0715 ,46.8593 ,76.0440 ,61.1115 ,48.5212 ,84.2161 ,53.9495 ,61.3643 ,42.3731 ,79.5936 ,124.2098 ,66.1683 ,268.4015 ,109.8072 
2000-11-30,48.3389 ,47.0407 ,76.6548 ,61.0272 ,48.6595 ,83.9942 ,53.7283 ,61.7968 ,42.7856 ,80.0742 ,124.4796 ,66.5227 ,270.2498 ,109.1507 
2000-12-29,47.7750 ,46.1150 ,75.9804 ,60.6257 ,47.8252 ,83.0102 ,52.8112 ,61.2382 ,42.2339 ,79.6574 ,124.4307 ,65.0712 ,269.0048 ,105.3933 
2001-01-31,48.0075 ,46.2474 ,76.6417 ,60.5830 ,47.8018 ,83.3226 ,52.5364 ,61.7564 ,42.2560 ,80.2899 ,124.7377 ,65.0064 ,271.3584 ,105.7778 
2001-02-28,48.3531 ,46.4332 ,77.3565 ,60.7190 ,48.4021 ,83.7922 ,53.3051 ,62.0743 ,42.5281 ,81.0697 ,125.0027 ,65.0955 ,273.1944 ,106.8976 
2001-03-30,48.1402 ,45.6325 ,76.9599 ,60.7543 ,48.4440 ,82.5671 ,52.4980 ,61.0129 ,41.9430 ,79.3143 ,124.9947 ,64.8345 ,271.5453 ,104.2289 
2001-04-30,48.6111 ,45.9048 ,77.6450 ,61.2094 ,48.9810 ,82.0819 ,52.7603 ,61.3122 ,42.3093 ,79.6680 ,125.3009 ,65.6095 ,269.1830 ,105.2204 
2001-05-31,49.1245 ,46.1305 ,78.0772 ,61.6268 ,48.9292 ,81.6230 ,52.1205 ,62.1318 ,42.6271 ,80.3911 ,125.6698 ,66.2844 ,267.7928 ,106.0787 
2001-06-29,48.9391 ,45.5944 ,77.9534 ,61.4330 ,48.3906 ,80.8493 ,51.5777 ,61.5951 ,42.5964 ,80.0195 ,125.8365 ,65.9387 ,267.8525 ,104.8762 
2001-07-31,49.2620 ,45.8000 ,78.0909 ,61.7893 ,48.5062 ,80.9515 ,52.1448 ,62.7890 ,43.1169 ,80.8928 ,126.2059 ,66.6274 ,269.1611 ,104.9236 
2001-08-31,49.4776 ,45.8958 ,78.5642 ,62.0424 ,48.9568 ,80.5702 ,52.5942 ,63.5209 ,42.9237 ,80.8677 ,126.5051 ,67.0596 ,269.6015 ,103.8862 
2001-09-28,49.3832 ,45.4730 ,78.3204 ,61.9184 ,48.8827 ,79.2934 ,52.1653 ,62.8721 ,42.4327 ,79.2297 ,126.8686 ,66.5762 ,271.4038 ,103.1031 
2001-10-31,49.9385 ,45.5141 ,79.1645 ,62.2180 ,49.2030 ,79.3227 ,51.8973 ,63.2760 ,42.4572 ,79.1993 ,127.1660 ,67.1364 ,271.3919 ,103.3821 
2001-11-30,50.3549 ,45.8026 ,79.8178 ,62.5346 ,49.1502 ,79.9806 ,52.1041 ,63.6088 ,43.2342 ,79.6012 ,127.4166 ,68.1373 ,271.4114 ,104.4245 
2001-12-31,50.4627 ,45.8959 ,79.7556 ,62.3138 ,48.5743 ,80.8664 ,51.9683 ,63.1017 ,43.8085 ,79.7702 ,128.1238 ,68.1953 ,271.3056 ,108.4306 
2002-01-31,50.7230 ,46.2739 ,80.0925 ,62.0980 ,48.6514 ,82.4513 ,52.4648 ,63.9189 ,43.8041 ,81.3113 ,128.5743 ,69.0325 ,269.8830 ,109.1387 
