,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
1995-01-09,66.286,172.7,288.44,141.013,328.3456,646.074,20460435000,2334.951,100,177.239
1995-01-10,65.288,171.789,284.297,137.892,323.4422,632.917,18694074000,2186.343,95.109,175.739
1995-01-11,64.029,173.612,285.714,136.722,323.3237,623.244,19698794000,2239.086,89.867,174.457
1995-01-12,63.7,173.803,278.458,136.195,319.8458,606.564,21413413000,2298.503,91.924,176.593
1995-01-13,62.341,168.947,277.125,137.121,314.7893,587.048,22725280000,2397.007,88.559,175.817
1995-01-16,62.803,164.936,275.122,138.9,319.9407,599.843,22560846000,2425.718,88.018,173.681
1995-01-17,65.224,164.795,273.489,138.968,325.2997,605.663,23408783000,2401.784,88.39,170.699
1995-01-18,65.546,167.366,278.637,139.393,321.24,605.059,22921085000,2351.127,87.345,170.625
1995-01-19,64.338,169.308,277.016,139.768,315.0674,609.396,21956372000,2264.023,80.237,168.006
1995-01-20,63.513,168.804,267.411,138.196,308.2734,598.643,21820535000,2273.952,83.281,167.365
1995-01-23,61.511,162.083,263.557,134.607,293.9332,586.77,21343529000,2284.783,81.142,165.016
1995-01-24,60.739,159.581,257.765,131.985,291.8666,583.16,21678625000,2310.891,81.008,164.856
1995-01-25,61.383,160.702,263.345,132.95,302.3662,577.041,21678625000,2266.971,81.064,163.488
1995-01-26,61.807,164.202,263.944,132.95,305.0628,580.965,22068068000,2219.967,82.99,160.051
1995-01-27,61.271,161.003,263.944,134.703,307.8126,587.436,21418213000,2166.611,80.593,160.153
1995-01-30,60.902,164.938,263.944,136.972,307.8126,586.937,20336644000,2120.711,80.86,157.507
1995-01-31,60.789,164.938,263.944,138.551,307.8126,581.135,21686876000,2302.047,78.013,156.007
1995-02-01,60.77,164.929,263.944,137.906,307.8126,585.24,22144006000,2182.391,77.168,159.677
1995-02-02,60.697,167.31,263.944,138.749,307.8126,595.889,21715132000,2134.054,76.906,163.212
1995-02-03,61.195,165.716,263.944,140.297,324.9602,606.397,21808670000,2133.937,73.265,166.115
1995-02-06,62.699,166.848,268.694,138.456,342.062,619.434,21215803000,2138.773,70.625,166.11
1995-02-07,63.243,165.678,273.499,137.597,343.5665,626.124,20305988000,2134.489,63.595,162.306
1995-02-08,65.238,167.993,273.389,136.218,341.1498,620.468,19873548000,2133.03,64.307,161.338
1995-02-09,66.393,169.39,274.151,136.159,343.7442,618.606,19064465000,2106.457,61.114,163.777
1995-02-10,66.939,167.965,273.972,135.504,346.933,623.529,18672876000,2140.103,61.688,163.131
1995-02-13,68.565,167.959,271.323,134.424,347.1268,629.015,18638877000,2102.139,61.076,162.41
1995-02-14,68.781,165.044,271.501,134.529,344.7406,629.113,18081556000,2103.222,60.238,161.47
1995-02-15,69.075,162.124,274.577,133.466,348.1005,635.885,17532699000,1995.367,58.672,161.418
1995-02-16,69.362,161.408,277.508,130.833,351.3845,634.406,16536998000,2049.125,59.062,159.969
1995-02-17,68.375,158.867,277.341,129.542,353.5524,630.623,17145242000,2033.493,58.362,158.988
1995-02-20,66.731,162.62,276.494,128.477,351.7641,631.324,16946351000,1975.535,59.172,158.894
1995-02-21,67.858,160.45,277.17,125.768,345.821,633.747,16243894000,1899.088,59.354,158.885
1995-02-22,66.775,161.946,275.894,123.658,334.7917,632.015,16576790000,1933.297,58.454,158.984
1995-02-23,66.491,160.805,273.735,128.424,337.7539,629.741,18284524000,1858.954,60.877,160.213
1995-02-24,67.893,159.165,275.689,132.047,344.635,635.377,18546764000,1798.44,59.688,161.326
1995-02-27,67.278,162.163,267.053,132.047,338.7071,630.501,18546764000,1718.388,59.301,159.834
1995-02-28,67.73,161.47,272.689,131.434,348.7829,629.616,18546764000,1821.414,62.429,159.717
1995-03-01,67.207,161.47,265.696,132.845,348.7829,629.305,18546764000,1797.424,62.524,163.159
1995-03-02,67.199,164.655,271.311,134.596,348.7829,629.305,17255293000,1782.915,63.405,163.926
1995-03-03,66.291,164.365,273.725,135.113,348.7829,629.305,17216190000,1779.465,63.613,163.599
1995-03-06,65.604,168.378,271.571,135.246,339.0089,629.305,16716846000,1788.674,63.264,164.412
1995-03-07,64.905,168.733,272.318,134.426,336.0115,624.163,15520551000,1797.548,63.542,165.345
1995-03-08,63.46,168.999,269.94,133.696,331.8698,606.485,14217760000,1772.928,63.542,164.968
1995-03-09,63.428,169.663,268.32,133.142,337.9,607.646,13009625000,1821.103,64.596,163.823
1995-03-10,62.812,170.105,270.971,135.179,331.5393,603.109,15299644000,1860.607,66.611,163.906
1995-03-13,63.487,175.443,272.774,131.456,331.5335,597.38,15382241000,1854.998,66.582,164.787
1995-03-14,63.247,175.046,271.846,133.152,330.0758,588.798,17149150000,1859.419,65.803,165.934
1995-03-15,63.909,174.774,274.787,130.698,332.3538,596.585,16918755000,1885.339,66.223,165.906
1995-03-16,63.542,175.131,275.119,129.636,333.7629,593.741,17897540000,1867.078,67.022,165.95
1995-03-17,63.725,175.478,276.314,129.636,339.5051,593.206,17098222000,1881.537,67.77,166.735
1995-03-20,64.089,177.881,274.109,129.636,342.2218,596.199,16631379000,1864.186,69.062,166.872
1995-03-21,64.658,175.542,273.513,129.636,339.6663,597.471,17196440000,1864.186,69.137,166.872
1995-03-22,64.65,174.632,271.799,129.636,338.5025,595.598,17196495000,1875.765,69.055,165.135
1995-03-23,64.625,175.823,270.129,127.561,336.9818,599.303,17788578000,1889.741,70.021,164.517
1995-03-24,65.352,177.435,269.2,127.027,336.9398,593.971,18875960000,2001.964,70.058,163.614
1995-03-27,66.678,176.278,269.594,127.432,335.9082,594.908,18998120000,2091.519,70.023,162.284
1995-03-28,66.832,174.921,268.818,127.988,341.4674,598.243,18417863000,2103.695,69.846,162.676
1995-03-29,68.097,172.511,268.818,127.227,349.2339,601.336,18060542000,2084.482,68.4,162.629
1995-03-30,68.427,170.034,270.826,127.211,345.7348,601.105,17692166000,2098.18,67.553,163.325
1995-03-31,67.843,171.061,271.119,126.412,346.7121,601.105,17016938000,2109.324,67.817,165.466
1995-04-03,66.446,169.965,273.577,127.929,340.0617,593.024,16559056000,2180.569,68.05,166.722
1995-04-04,66.21,168.693,273.577,130.018,342.0631,595.91,17530245000,2145.955,66.75,169.12
1995-04-05,66.265,168.693,273.577,131.854,352.4284,601.453,17790984000,2162.896,66.11,169.675
1995-04-06,65.8,167.999,273.513,133.561,344.5811,604.923,18235769000,2142.446,65.701,169.95
1995-04-07,65.6,168.925,271.242,133.332,339.9101,599.972,17954804000,2174.39,65.193,169.681
1995-04-10,65.74,165.991,271.909,133.122,334.9034,595.869,17590750000,2110.699,64.104,167.784
1995-04-11,65.101,165.228,270.633,133.122,335.0761,591.682,17053040000,2076.179,62.775,166.196
1995-04-12,64.046,165.035,268.785,133.122,339.0166,584.863,17148123000,2038.745,60.669,166.332
1995-04-13,64.634,165.378,266.708,133.122,337.7699,583.2,17148123000,2038.745,59.405,166.415
1995-04-14,64.876,168.552,264.236,133.122,338.4199,583.2,17148123000,2038.745,59.233,166.415
1995-04-17,64.617,171.573,253.678,132.759,336.722,581.035,17536127000,2031.73,57.518,166.415
1995-04-18,64.969,171.553,255.554,131.162,337.247,577.96,17809414000,2000.086,56.765,168.105
1995-04-19,64.254,170.368,255.401,129.566,336.4327,574.854,18412212000,2009.037,56.319,169.516
1995-04-20,64.054,170.704,257.002,128.468,336.2183,573.331,18713680000,2050.52,54.902,168.782
1995-04-21,64.3,170.914,248.616,128.744,341.8803,579.252,18713680000,2136.173,53.041,168.957
1995-04-24,63.73,165.867,249,127.149,340.981,580.246,19264322000,2212.112,51.084,169.718
