,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
1988-01-29,257.0700 ,338.4501 ,541.5864 ,145.6215 ,258.1308 ,141.3946 ,367.2504 ,227.8525 ,793.9377 ,224.1751 ,1132.8713 ,247.3273 ,1688.5319 ,109.5280 
1988-02-29,267.8200 ,355.8261 ,535.5961 ,169.7360 ,315.0124 ,152.5655 ,391.3366 ,230.0855 ,818.0202 ,234.3005 ,1224.1910 ,245.4186 ,1725.8549 ,109.2310 
1988-03-31,258.8900 ,363.7121 ,526.2851 ,166.3280 ,290.7292 ,147.2217 ,401.6706 ,243.3909 ,856.8339 ,238.3640 ,1272.9296 ,278.3928 ,1823.6975 ,113.3580 
1988-04-29,261.3300 ,366.5717 ,541.0119 ,164.8122 ,318.9567 ,148.9355 ,398.5129 ,242.5804 ,879.0620 ,245.9011 ,1292.9854 ,288.2333 ,1865.5532 ,117.2240 
1988-05-31,262.1600 ,354.4702 ,534.9079 ,167.6620 ,347.0368 ,148.6660 ,366.1059 ,252.8482 ,918.7473 ,238.4514 ,1236.1105 ,312.1791 ,1807.2377 ,119.0814 
1988-06-30,273.5000 ,375.1125 ,556.5129 ,176.9160 ,370.5024 ,157.4306 ,402.3396 ,268.5644 ,917.0063 ,253.4355 ,1269.9294 ,306.2141 ,1945.9335 ,129.3428 
1988-07-29,272.0200 ,367.7600 ,558.8776 ,182.9371 ,369.4160 ,158.9057 ,422.9003 ,261.7714 ,956.4072 ,267.1450 ,1318.2568 ,318.4714 ,1970.7206 ,132.8432 
1988-08-31,261.5200 ,356.2658 ,529.3579 ,182.3533 ,360.8815 ,157.9875 ,412.0910 ,251.9071 ,914.3935 ,255.9210 ,1254.2603 ,310.0971 ,1803.3289 ,122.5728 
1988-09-30,271.9100 ,356.0810 ,551.2358 ,195.5627 ,396.1342 ,163.6247 ,439.4577 ,250.5235 ,960.4482 ,260.1398 ,1289.0424 ,307.0039 ,1812.7224 ,120.9435 
1988-10-31,278.9700 ,367.8374 ,563.1000 ,203.7093 ,417.4128 ,169.6489 ,462.7788 ,255.6744 ,999.8708 ,263.0773 ,1298.5043 ,312.8750 ,1946.6285 ,126.0535 
1988-11-30,273.7000 ,355.9636 ,546.0068 ,198.2066 ,416.5866 ,168.1353 ,457.1887 ,247.7789 ,1006.5852 ,256.2038 ,1378.9829 ,286.3955 ,2001.5313 ,122.0459 
1988-12-30,277.7200 ,367.1323 ,546.1296 ,207.9414 ,442.6603 ,172.9164 ,462.3869 ,241.9721 ,1074.3708 ,267.5412 ,1420.5100 ,290.3002 ,2029.5720 ,128.9407 
1989-01-31,297.4700 ,393.5822 ,624.7111 ,208.5557 ,468.1455 ,177.7082 ,468.7138 ,245.6387 ,1161.6704 ,286.0837 ,1478.3604 ,303.3640 ,2304.6853 ,143.7161 
1989-02-28,288.8600 ,385.4799 ,610.1630 ,202.7481 ,446.0183 ,176.5038 ,449.9641 ,234.6992 ,1186.9626 ,277.0275 ,1469.9348 ,286.4204 ,2277.9119 ,144.6266 
1989-03-31,294.8700 ,386.7771 ,632.8732 ,206.7098 ,464.3942 ,186.7469 ,471.2194 ,245.0815 ,1247.1364 ,296.8234 ,1483.6292 ,284.0036 ,2271.2007 ,155.6289 
1989-04-28,309.6400 ,392.7893 ,641.4282 ,215.5226 ,480.6501 ,193.7536 ,471.5490 ,253.4329 ,1246.7867 ,307.5090 ,1485.7806 ,295.4462 ,2364.3980 ,162.1348 
1989-05-31,320.5200 ,402.7182 ,639.7600 ,220.0081 ,493.9672 ,186.3277 ,469.0148 ,263.1818 ,1278.4847 ,308.6726 ,1508.8032 ,303.5004 ,2085.9460 ,167.5415 
1989-06-30,317.9800 ,408.1228 ,648.7827 ,231.1638 ,493.8637 ,207.1983 ,504.4467 ,260.0271 ,1349.8044 ,313.4130 ,1444.4509 ,303.7663 ,1706.9576 ,170.1002 
1989-07-31,346.0800 ,432.7751 ,695.0520 ,243.4168 ,523.3132 ,224.6241 ,530.6132 ,256.3623 ,1448.6805 ,326.8981 ,1558.2643 ,329.0798 ,1930.5981 ,177.3545 
1989-08-31,351.4500 ,437.1306 ,716.1340 ,251.8864 ,542.1145 ,235.1365 ,566.3659 ,273.1611 ,1482.4977 ,337.6823 ,1530.8564 ,352.1025 ,1863.5751 ,174.7156 
1989-09-29,349.1500 ,429.6789 ,690.2187 ,251.0369 ,550.9694 ,226.0169 ,546.6420 ,275.7014 ,1417.3342 ,333.2753 ,1572.2790 ,345.7673 ,2084.8743 ,172.4671 
1989-10-31,340.3600 ,427.1760 ,638.1809 ,234.5357 ,515.8156 ,212.9194 ,496.3115 ,257.9077 ,1319.9108 ,317.0971 ,1564.9471 ,327.3706 ,2065.0005 ,163.7060 
1989-11-30,345.9900 ,426.9316 ,675.9987 ,251.0810 ,534.9797 ,221.6962 ,507.8010 ,252.9459 ,1302.2810 ,324.2749 ,1645.0913 ,318.6647 ,2076.3838 ,176.6517 
1989-12-29,353.4000 ,432.4604 ,720.9841 ,285.3002 ,566.9208 ,220.7203 ,525.5612 ,248.8268 ,1412.9576 ,335.2380 ,1655.2500 ,331.1833 ,2096.8810 ,180.5701 
1990-01-31,329.0800 ,402.7468 ,694.5472 ,292.2557 ,532.0701 ,213.3706 ,516.0624 ,232.3602 ,1393.1145 ,320.1339 ,1561.0891 ,336.4490 ,2026.7620 ,187.9732 
