tdate,BO,C,CL,CT,GC,HG,KC,NG,S,SB,SI,SM,W,XBW
1994-05-03,0.0,0.0,-0.022463078646834132,-0.03761225887515151,-0.048828582301786466,-0.035375216049916676,-0.030818600586346886,-0.019935939700942006,0.0,0.028290787870336526,0.0,0.0,0.0,-0.022647486423271825
1994-05-04,0.0,0.0,-0.022463078646834132,-0.03761225887515151,-0.048828582301786466,-0.035375216049916676,-0.030818600586346886,-0.019935939700942006,0.0,0.028290787870336526,0.0,0.0,0.0,-0.022647486423271825
1994-05-05,0.0,0.0,-0.022469348020863464,-0.0374987503845724,-0.048828582301786466,-0.035346191595873065,-0.029675847205134904,-0.020088827939693132,0.0,0.028115414623797345,0.0,0.0,0.0,-0.022914873407836545
1994-05-06,0.0,0.0,-0.021504176114267012,-0.035810778403845535,-0.047012851145088574,-0.03310754862236649,-0.027548101829053755,-0.019337887389329903,0.0,0.027023799672746523,0.0,0.0,0.0,-0.022054503015530143
1994-05-09,0.0,0.0,-0.021504176114267012,-0.035810778403845535,-0.047012851145088574,-0.03310754862236649,-0.027548101829053755,-0.019337887389329903,0.0,0.027023799672746523,0.0,0.0,0.0,-0.022054503015530143
1994-05-10,0.0,0.0,-0.021504176114267012,-0.035810778403845535,-0.047012851145088574,-0.03310754862236649,-0.027548101829053755,-0.019337887389329903,0.0,0.027023799672746523,0.0,-0.047012851145088574,-0.03881551804817972,-0.022054503015530143
1994-05-11,0.0,0.0,-0.022649289716002094,-0.036273422463606125,-0.04792220882580282,-0.034247780471777366,-0.02687097196535944,-0.02077818250950403,0.0,0.026682807755774602,0.0,-0.04792220882580282,-0.04104220021511905,-0.023137826280140307
1994-05-12,0.0,0.0,-0.022649289716002094,-0.036273422463606125,-0.04792220882580282,-0.034247780471777366,-0.02687097196535944,-0.02077818250950403,0.0,0.026682807755774602,0.0,-0.04792220882580282,-0.04104220021511905,-0.023137826280140307
1994-05-13,0.0,0.0,-0.021937578095713752,-0.03536428912405716,-0.046710387735204355,-0.0324539319180609,-0.024706738370050357,-0.02044123188044615,0.0,0.026032022428436254,0.0,-0.046710387735204355,-0.04048640902449465,-0.02240112911116004
1994-05-16,0.0,0.0,-0.021682133898404437,-0.0341079624642699,-0.04489804928705835,-0.032137191081064505,-0.020273267918935023,-0.019643199746254086,0.0,0.02496665303131349,0.0,-0.04489804928705835,-0.038116994167012766,-0.022367468316504015
1994-05-17,0.0,0.0,-0.021682133898404437,-0.0341079624642699,0.0,-0.032137191081064505,-0.020273267918935023,-0.019643199746254086,0.0,0.02496665303131349,0.0,0.0,0.0,-0.022367468316504015
1994-05-18,0.0,0.0,-0.021776329545676362,-0.034678686413403784,0.0,-0.03176213413234536,-0.019296921443141785,-0.019781212271427616,0.0,0.024878753523346953,0.0,0.0,0.0,-0.022549765578669025
1994-05-19,0.0,0.0,-0.021637112415863774,-0.03401390352501964,0.0,-0.03195124615662038,-0.0186395429595703,-0.01985142295169486,0.0,0.024973143899771524,0.0,0.0,0.0,-0.022489671427175287
1994-05-20,0.0,0.0,-0.021637112415863774,-0.03401390352501964,0.0,-0.03195124615662038,-0.0186395429595703,-0.01985142295169486,0.0,0.024973143899771524,0.0,0.0,0.0,-0.022489671427175287
1994-05-23,0.0,0.0,-0.02172827945662,-0.03387770789745251,0.0,-0.03055616222794515,-0.017976954455443714,-0.020502425002129076,0.0,0.024762851213222338,0.0,0.0,0.0,-0.02256161654756635
1994-05-24,0.0,0.0,0.0,-0.03427936940307619,0.0,-0.030755107472911405,-0.017543743516231412,-0.020399819154986745,0.0,0.024569507148002025,0.0,0.0,0.0,-0.022644847179124256
1994-05-25,0.0,0.0,0.0,-0.03358590121264934,0.0,-0.029609911481516645,-0.01701160936242018,-0.020002725918240413,0.0,0.024042951455614227,0.0,0.0,0.0,-0.022158518219491666
1994-05-26,0.0,0.0,0.0,-0.03356967432565639,0.0,-0.029436604877694214,-0.016043335566806604,-0.019935434198050446,0.0,0.023978059919756302,0.0,0.0,0.0,-0.022158907885212107
1994-05-27,0.0,0.0,0.0,-0.03298107301971614,0.0,-0.028920471658605583,-0.015762036195991945,-0.019585891855469828,0.0,0.02355763530539251,0.0,0.0,0.0,-0.021770379775200705
1994-05-30,0.0,0.0,0.0,-0.03298107301971614,0.0,-0.028920471658605583,-0.015762036195991945,-0.019585891855469828,0.0,0.02355763530539251,0.0,0.0,0.0,-0.021770379775200705
1994-05-31,0.0,0.0,0.0,-0.03308975716799492,0.04316471477378138,-0.029046739428335695,-0.015552810803885923,-0.01971566131531793,0.0,0.023240698124504106,0.0,0.0,0.0,-0.02191372330956356
1994-06-01,0.0,0.0,0.0,-0.03308975716799492,0.04316471477378138,-0.029046739428335695,-0.015552810803885923,-0.01971566131531793,0.0,0.023240698124504106,0.0,0.0,0.0,-0.02191372330956356
1994-06-02,0.0,0.0,0.0,-0.03242899724142275,0.042302770891279304,-0.028466713370290404,-0.015242241159249596,-0.019321964895701062,0.0,0.022776611249877943,0.0,0.0,0.0,-0.021476134416679355
