tdate,CAC,AEX,SPX,DAX,HSI,IBEX,NKY,TSX,OMX,SG,SMI,MIB,AS51,FTSE
1994-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-06-08,0.0,0.01722146290908515,-0.01722146290908515,0.0,0.0,0.01722146290908515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01722146290908515
1994-06-09,0.0,0.01722146290908515,-0.01722146290908515,0.0,0.0,0.01722146290908515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01722146290908515
1994-06-10,0.0,0.01722146290908515,-0.01722146290908515,0.0,0.0,0.01722146290908515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01722146290908515
1994-06-13,0.0,0.01722146290908515,-0.01722146290908515,0.0,0.0,0.01722146290908515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01722146290908515
1994-06-14,0.0,0.017953253880503596,-0.017953253880503596,0.0,0.0,0.017953253880503596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017953253880503596
1994-06-15,0.0,0.017953253880503596,-0.017953253880503596,0.0,0.0,0.017953253880503596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017953253880503596
1994-06-16,0.0,0.017953253880503596,-0.017953253880503596,0.0,0.0,0.017953253880503596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017953253880503596
1994-06-17,0.0,0.017953253880503596,-0.017953253880503596,0.0,0.0,0.017953253880503596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017953253880503596
1994-06-20,0.0,0.017953253880503596,-0.017953253880503596,0.0,0.0,0.017953253880503596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017953253880503596
1994-06-21,0.0,0.025103654758177166,-0.025103654758177166,0.0,0.0,0.025103654758177166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025103654758177166
1994-06-22,0.0,0.025103654758177166,-0.025103654758177166,0.0,0.0,0.025103654758177166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025103654758177166
1994-06-23,0.0,0.025103654758177166,-0.025103654758177166,0.0,0.0,0.025103654758177166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025103654758177166
1994-06-24,0.0,0.025103654758177166,-0.025103654758177166,0.0,0.0,0.025103654758177166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025103654758177166
1994-06-27,0.0,0.025103654758177166,-0.025103654758177166,0.0,0.0,0.025103654758177166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025103654758177166
1994-06-28,0.0,0.02737142919736652,-0.02737142919736652,0.0,0.0,0.02737142919736652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02737142919736652
1994-06-29,0.0,0.02737142919736652,-0.02737142919736652,0.0,0.0,0.02737142919736652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02737142919736652
1994-06-30,0.0,0.02724111008448239,-0.02724111008448239,-0.02724111008448239,0.0,0.02724111008448239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-01,0.0,0.02724111008448239,-0.02724111008448239,-0.02724111008448239,0.0,0.02724111008448239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-04,0.0,0.02724111008448239,-0.02724111008448239,-0.02724111008448239,0.0,0.02724111008448239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-05,0.0,0.032381152652005515,-0.032381152652005515,-0.032381152652005515,0.0,0.032381152652005515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-06,0.0,0.032381152652005515,-0.032381152652005515,-0.032381152652005515,0.0,0.032381152652005515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-07,0.0,0.032381152652005515,-0.032381152652005515,-0.032381152652005515,0.0,0.032381152652005515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-08,0.0,0.032381152652005515,-0.032381152652005515,-0.032381152652005515,0.0,0.032381152652005515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-11,0.0,0.032381152652005515,-0.032381152652005515,-0.032381152652005515,0.0,0.032381152652005515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-12,0.0,0.08027549615223514,-0.08027549615223514,-0.08027549615223514,0.0,0.08027549615223514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-13,0.0,0.08027549615223514,-0.08027549615223514,-0.08027549615223514,0.0,0.08027549615223514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-14,0.0,0.08027549615223514,-0.08027549615223514,-0.08027549615223514,0.0,0.08027549615223514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-15,0.0,0.08027549615223514,-0.08027549615223514,-0.08027549615223514,0.0,0.08027549615223514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-18,0.0,0.08027549615223514,-0.08027549615223514,-0.08027549615223514,0.0,0.08027549615223514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-19,0.0,0.08027549615223514,-0.08027549615223514,-0.08027549615223514,0.0,0.08027549615223514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-20,0.0,0.08027549615223514,-0.08027549615223514,-0.08027549615223514,0.0,0.08027549615223514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-21,0.0,0.08027549615223514,-0.08027549615223514,-0.08027549615223514,0.0,0.08027549615223514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-22,0.0,0.08027549615223514,-0.08027549615223514,-0.08027549615223514,0.0,0.08027549615223514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-25,0.0,0.08027549615223514,-0.08027549615223514,-0.08027549615223514,0.0,0.08027549615223514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
