tdate,CAC,AEX,SPX,DAX,HSI,IBEX,NKY,TSX,OMX,SG,SMI,MIB,AS51,FTSE
1994-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-05-31,-0.03547702281919418,0.0,-0.04206722483620145,-0.03184345061703652,0.0,0.0,0.02716270102080732,0.0,0.0,0.0,0.0,0.0,0.0,-0.037906180884398774
1994-06-01,-0.03547702281919418,0.0,-0.04206722483620145,-0.03184345061703652,0.0,0.0,0.02716270102080732,0.0,0.0,0.0,0.0,0.0,0.0,-0.037906180884398774
1994-06-02,-0.033488459446118876,0.0,-0.04206722483620145,-0.03195042055332711,0.0,0.0,0.027912926528944542,0.0,0.0,0.0,0.0,0.0,0.0,-0.03654343441239167
1994-06-03,-0.033488459446118876,0.0,-0.04206722483620145,-0.03195042055332711,0.0,0.0,0.027912926528944542,0.0,0.0,0.0,0.0,0.0,0.0,-0.03654343441239167
1994-06-06,-0.03542049442312384,0.0,-0.04431953936288612,-0.03421013791452229,0.0,0.0,0.03463391046694015,0.0,0.0,0.0,0.0,0.0,0.0,-0.03874563020517786
1994-06-07,-0.03542049442312384,0.0,-0.04431953936288612,-0.03421013791452229,0.0,0.0,0.03463391046694015,0.0,0.0,0.0,0.0,0.0,0.0,-0.03874563020517786
1994-06-08,-0.03542049442312384,0.0,-0.04431953936288612,-0.03421013791452229,0.0,0.0,0.03463391046694015,0.0,0.0,0.0,0.0,0.0,0.0,-0.03874563020517786
1994-06-09,-0.036174101322055244,0.0,-0.04526248245742205,-0.034937993252672175,0.0,0.0,0.03537078199541377,0.0,0.0,0.0,0.0,0.0,0.0,-0.039569982736152275
1994-06-10,-0.03624641981390344,0.0,-0.04526248245742205,-0.03539720065996444,0.0,0.0,0.035027863066349425,0.0,0.0,0.0,0.0,0.0,0.0,-0.03967251953816204
1994-06-13,-0.03688683113074204,0.0,-0.046062191949911645,-0.036022607748538535,0.0,0.0,0.035646744600788816,0.0,0.0,0.0,0.0,0.0,0.0,-0.04037346408965657
1994-06-14,-0.036176500953302736,0.0,-0.046062191949911645,-0.03600841630887075,0.0,0.0,0.03568571169886885,0.0,0.0,0.0,0.0,0.0,0.0,-0.04067458669506783
1994-06-15,-0.036176500953302736,0.0,-0.046062191949911645,-0.03600841630887075,0.0,0.0,0.03568571169886885,0.0,0.0,0.0,0.0,0.0,0.0,-0.04067458669506783
1994-06-16,-0.036176500953302736,0.0,-0.046062191949911645,-0.03600841630887075,0.0,0.0,0.03568571169886885,0.0,0.0,0.0,0.0,0.0,0.0,-0.04067458669506783
1994-06-17,-0.036176500953302736,0.0,-0.046062191949911645,-0.03600841630887075,0.0,0.0,0.03568571169886885,0.0,0.0,0.0,0.0,0.0,0.0,-0.04067458669506783
1994-06-20,-0.036176500953302736,0.0,-0.046062191949911645,-0.03600841630887075,0.0,0.0,0.03568571169886885,0.0,0.0,0.0,0.0,0.0,0.0,-0.04067458669506783
1994-06-21,-0.03649860790528341,0.0,-0.0468916402151843,-0.03582382632129335,0.0,0.0,0.03801786820876081,0.0,0.0,0.0,0.0,0.0,0.0,-0.04132301404799815
1994-06-22,-0.035797483710639455,0.0,-0.045990869874388746,-0.0351356644208789,0.0,0.0,0.03728755960907066,0.0,0.0,0.0,0.0,0.0,0.0,-0.04052921487023637
1994-06-23,-0.035797483710639455,0.0,-0.045990869874388746,-0.0351356644208789,0.0,0.0,0.03728755960907066,0.0,0.0,0.0,0.0,0.0,0.0,-0.04052921487023637
1994-06-24,-0.035797483710639455,0.0,-0.045990869874388746,-0.0351356644208789,0.0,0.0,0.03728755960907066,0.0,0.0,0.0,0.0,0.0,0.0,-0.04052921487023637
1994-06-27,-0.03440569899078404,0.0,-0.045990869874388746,-0.0349107407286734,0.0,0.0,0.03642865655559681,0.0,0.0,0.0,0.0,0.0,0.0,-0.03923648252144952
1994-06-28,-0.03440569899078404,0.0,-0.045990869874388746,-0.0349107407286734,0.0,0.0,0.03642865655559681,0.0,0.0,0.0,0.0,0.0,0.0,-0.03923648252144952
1994-06-29,-0.03440569899078404,0.0,-0.045990869874388746,-0.0349107407286734,0.0,0.0,0.03642865655559681,0.0,0.0,0.0,0.0,0.0,0.0,-0.03923648252144952
1994-06-30,-0.03666490385869445,0.0,-0.04901079971588055,-0.037203108496516264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04181289442157933
1994-07-01,-0.03666490385869445,0.0,-0.04901079971588055,-0.037203108496516264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04181289442157933
1994-07-04,-0.03666490385869445,0.0,-0.04901079971588055,-0.037203108496516264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04181289442157933
1994-07-05,-0.03733003096380465,0.0,-0.04901079971588055,-0.037728487982813766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04300127802728726
1994-07-06,-0.038071323516873104,0.0,-0.04998404672134216,-0.0384776930184943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043855189110429994
1994-07-07,-0.03770448065684095,0.0,-0.04998404672134216,-0.04050492666991111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04377173701849332
1994-07-08,-0.03770448065684095,0.0,-0.04998404672134216,-0.04050492666991111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04377173701849332
1994-07-11,-0.0381155831068033,0.0,-0.04998404672134216,-0.042631600246565295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0438525129072297
1994-07-12,-0.0381155831068033,0.0,-0.04998404672134216,-0.042631600246565295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0438525129072297
1994-07-13,-0.0381155831068033,0.0,-0.04998404672134216,-0.042631600246565295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0438525129072297
1994-07-14,-0.037359766299173716,0.0,-0.04899288301490027,-0.041786232620620506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04298293507028034
1994-07-15,-0.03704037581300668,0.0,-0.04899288301490027,-0.041220368280436334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04229478342131419
1994-07-18,-0.03704037581300668,0.0,-0.04899288301490027,-0.041220368280436334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04229478342131419
1994-07-19,-0.03704037581300668,0.0,-0.04899288301490027,-0.041220368280436334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04229478342131419
1994-07-20,-0.03704037581300668,0.0,-0.04899288301490027,-0.041220368280436334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04229478342131419
