tdate,SA,BR,ID,IN,MY,MX,KR,RU,TW,CN
1997-03-06,0.0,0.0,0.0,-0.046434836370814414,0.0,-0.08732229785221499,0.0,0.0,0.0,0.0
1997-03-07,0.0,0.0,0.0,-0.046434836370814414,0.0,-0.08732229785221499,0.0,0.0,0.0,0.0
1997-03-10,0.0,0.0,0.0,-0.04596837749074581,0.0,-0.08732229785221499,0.0,0.0,0.0,0.0
1997-03-11,0.0,0.0,0.0,-0.04596837749074581,0.0,-0.08732229785221499,0.0,0.0,0.0,0.0
1997-03-12,0.0,0.0,0.0,-0.04596837749074581,0.0,-0.08732229785221499,0.0,0.0,0.0,0.0
1997-03-13,0.0,0.0,0.0,-0.04596837749074581,0.0,-0.08732229785221499,0.0,0.0,0.0,0.0
1997-03-14,0.0,0.0,0.0,-0.04596837749074581,0.0,-0.08732229785221499,0.0,0.0,0.0,0.0
1997-03-17,0.0,0.0,0.0,-0.04571542319441685,0.0,-0.08732229785221499,0.0,0.0,0.0,0.0
1997-03-18,0.0,0.0,0.0,-0.04571542319441685,0.0,-0.08732229785221499,0.0,0.0,0.0,0.0
1997-03-19,0.0,0.0,0.0,-0.04571542319441685,0.0,-0.08732229785221499,0.0,0.0,0.0,0.0
1997-03-20,0.0,0.0,0.0,-0.04571542319441685,0.0,-0.08732229785221499,0.0,0.0,0.0,0.0
1997-03-21,0.0,0.0,0.0,-0.04522232827520208,0.0,-0.08673949294953442,0.0,0.0,0.0,0.0
1997-03-24,0.0,0.0,0.0,-0.04679559885256233,0.0,-0.09022669224287441,0.0,0.0,0.0,0.0
1997-03-25,0.0,0.0,0.0,-0.04679559885256233,0.0,-0.09022669224287441,0.0,0.0,0.0,0.0
1997-03-26,0.0,0.0,0.0,-0.04679559885256233,0.0,-0.09022669224287441,0.0,0.0,0.0,0.0
1997-03-27,0.0,0.0,0.0,-0.04679559885256233,0.0,-0.09022669224287441,0.0,0.0,0.0,0.0
1997-03-28,0.0,0.0,0.0,-0.048666256032401135,0.0,-0.09383351027268573,0.0,0.0,0.0,0.0
1997-03-31,-0.08497249410392133,0.0,0.0,-0.04026605907725207,-0.08497249410392133,0.0838440218014655,0.0,0.0,0.0,-0.04246106193848195
1997-04-01,-0.08497249410392133,0.0,0.0,-0.04026605907725207,-0.08497249410392133,0.0838440218014655,0.0,0.0,0.0,-0.04246106193848195
1997-04-02,-0.08497249410392133,0.0,0.0,-0.04026605907725207,-0.08497249410392133,0.0838440218014655,0.0,0.0,0.0,-0.04246106193848195
1997-04-03,-0.08497249410392133,0.0,0.0,-0.0399339218565518,-0.08497249410392133,0.08318069174495195,0.0,0.0,0.0,-0.042708283880837916
1997-04-04,-0.08497249410392133,0.0,0.0,-0.0399339218565518,-0.08497249410392133,0.08318069174495195,0.0,0.0,0.0,-0.042708283880837916
1997-04-07,-0.08497249410392133,0.0,0.0,-0.03998309351477192,-0.08497249410392133,0.08311226109489026,0.0,0.0,0.0,-0.043241833328927504
1997-04-08,-0.08497249410392133,0.0,0.0,-0.04022086069731913,-0.08497249410392133,0.08497249410392133,0.0,0.0,0.0,-0.04557623243615842
1997-04-09,-0.08497249410392133,0.0,0.0,-0.04022086069731913,-0.08497249410392133,0.08497249410392133,0.0,0.0,0.0,-0.04557623243615842
1997-04-10,-0.08497249410392133,0.0,0.0,-0.04022086069731913,-0.08497249410392133,0.08497249410392133,0.0,0.0,0.0,-0.04557623243615842
1997-04-11,-0.08497249410392133,0.0,0.0,-0.03997180802883234,-0.08497249410392133,0.08497249410392133,0.0,0.0,0.0,-0.04556657451496621
1997-04-14,-0.07836873514864247,0.0,0.0,-0.03682687843871053,-0.07836873514864247,0.07836873514864247,0.0,0.0,0.0,-0.04284776824603009
1997-04-15,-0.07836873514864247,0.0,0.0,-0.03678212794385127,-0.07836873514864247,0.07836873514864247,0.0,0.0,0.0,-0.04591447895772292
1997-04-16,-0.07836873514864247,0.0,0.0,-0.03678212794385127,-0.07836873514864247,0.07836873514864247,0.0,0.0,0.0,-0.04591447895772292
1997-04-17,-0.07836873514864247,0.0,0.0,-0.03678212794385127,-0.07836873514864247,0.07836873514864247,0.0,0.0,0.0,-0.04591447895772292
1997-04-18,-0.07836873514864247,0.0,0.0,-0.03798202002471776,-0.07836873514864247,0.07836873514864247,0.0,0.0,0.0,-0.0509806865476869
1997-04-21,-0.07448146050565259,0.0,0.0,-0.036010656991523275,-0.07448146050565259,0.07448146050565259,0.0,0.0,0.0,-0.05512148593245359
1997-04-22,-0.07448146050565259,0.0,0.0,-0.03602085411241321,-0.07448146050565259,0.07448146050565259,0.0,0.0,0.0,-0.056191475050940624
1997-04-23,-0.07448146050565259,0.0,0.0,-0.03602085411241321,-0.07448146050565259,0.07448146050565259,0.0,0.0,0.0,-0.056191475050940624
1997-04-24,-0.07448146050565259,0.0,0.0,-0.03601795602581109,-0.07448146050565259,0.07448146050565259,0.0,0.0,0.0,-0.05688874350041209
1997-04-25,-0.07448146050565259,0.0,0.0,-0.03601795602581109,-0.07448146050565259,0.07448146050565259,0.0,0.0,0.0,-0.05688874350041209
