tdate,SA,BR,ID,IN,MY,MX,KR,RU,TW,CN
1995-05-16,0.0,0.0,0.0,-1.1237233971790523,0.0,0.0,-1.0842381562442496,0.0,-1.083572495706061,-1.0518421900082209
1995-05-17,0.0,0.0,0.0,-1.1237233971790523,0.0,0.0,-1.0842381562442496,0.0,-1.083572495706061,-1.0518421900082209
1995-05-18,0.0,0.0,0.0,-1.1210348294065569,0.0,0.0,-1.0884174679288554,0.0,-1.1121262054479082,-1.0689141269840365
1995-05-19,0.0,0.0,0.0,-1.1210348294065569,0.0,0.0,-1.0884174679288554,0.0,-1.1121262054479082,-1.0689141269840365
1995-05-22,0.0,0.0,0.0,-0.26908657113871265,0.0,0.0,-0.2735003714252574,0.0,-0.26681375902816956,-0.2609626241729028
1995-05-23,0.0,0.0,0.0,-0.2685309613005852,0.0,0.0,-0.27328964377200565,0.0,-0.2669983777154178,-0.2743991369386723
1995-05-24,0.0,0.0,0.0,-0.2685309613005852,0.0,0.0,-0.27328964377200565,0.0,-0.2669983777154178,-0.2743991369386723
1995-05-25,0.0,0.0,0.0,-0.26866912622820927,0.0,0.0,-0.275545562886689,0.0,-0.27037613733846105,-0.2784790014703738
1995-05-26,0.0,0.0,0.0,-0.26866912622820927,0.0,0.0,-0.275545562886689,0.0,-0.27037613733846105,-0.2784790014703738
1995-05-29,0.0,0.0,0.0,-0.27527280129381754,0.0,0.0,-0.27272339858183575,0.0,-0.28117240411911937,-0.29235862260634876
1995-05-30,0.0,0.0,0.0,-0.27527280129381754,0.0,0.0,-0.27272339858183575,0.0,-0.28117240411911937,-0.29235862260634876
1995-05-31,0.0,0.0,0.0,-0.15428298884748173,0.0,0.0,-0.1528541173122929,0.0,-0.1575895572865811,-0.16385913137453684
1995-06-01,0.0,0.0,0.0,-0.15428298884748173,0.0,0.0,-0.1528541173122929,0.0,-0.1575895572865811,-0.16385913137453684
1995-06-02,0.0,0.0,0.0,-0.15428298884748173,0.0,0.0,-0.1528541173122929,0.0,-0.1575895572865811,-0.16385913137453684
1995-06-05,0.0,0.0,0.0,-0.1547856532467827,0.0,0.0,-0.16149054684892675,0.0,-0.16248716655007855,-0.16660869209660426
1995-06-06,0.0,0.0,0.0,-0.15537143875642448,0.0,0.0,-0.16149054684892675,0.0,-0.16249594458189326,-0.16656649920776653
