tdate,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
1989-06-06,0.1028736195631413,0.0,-0.1028736195631413,-0.1028736195631413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10113844036154732,0.0,0.0
1989-06-07,0.1028736195631413,0.0,-0.1028736195631413,-0.1028736195631413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10113844036154732,0.0,0.0
1989-06-08,0.1028736195631413,0.0,-0.1028736195631413,-0.1028736195631413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1028736195631413,0.0,0.0
1989-06-09,0.1028736195631413,0.0,-0.1028736195631413,-0.1028736195631413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1028736195631413,0.0,0.0
1989-06-12,0.1028736195631413,0.0,-0.1028736195631413,-0.1028736195631413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1028736195631413,0.0,0.0
1989-06-13,0.10912987865540234,0.0,-0.10912987865540234,-0.10912987865540234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10912987865540234,0.0,0.0
1989-06-14,0.10912987865540234,0.0,-0.10912987865540234,-0.10912987865540234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10912987865540234,0.0,0.0
1989-06-15,0.10912987865540234,0.0,-0.10912987865540234,-0.10912987865540234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10912987865540234,0.0,0.0
1989-06-16,0.11446875081538448,0.0,-0.11446875081538448,-0.11446875081538448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11446875081538448,0.0,0.0
1989-06-19,0.11446875081538448,0.0,-0.11446875081538448,-0.11446875081538448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11446875081538448,0.0,0.0
1989-06-20,0.11446875081538448,0.0,-0.11446875081538448,-0.11446875081538448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11446875081538448,0.0,0.0
1989-06-21,0.11446875081538448,0.0,-0.11446875081538448,-0.11446875081538448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11446875081538448,0.0,0.0
1989-06-22,0.11446875081538448,0.0,-0.11446875081538448,-0.11446875081538448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11446875081538448,0.0,0.0
1989-06-23,0.10932649803830549,0.0,-0.10932649803830549,-0.10932649803830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10932649803830549,0.0,0.0
1989-06-26,0.10932649803830549,0.0,-0.10932649803830549,-0.10932649803830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10932649803830549,0.0,0.0
1989-06-27,0.10932649803830549,0.0,-0.10932649803830549,-0.10932649803830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10932649803830549,0.0,0.0
1989-06-28,0.10932649803830549,0.0,-0.10932649803830549,-0.10932649803830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10932649803830549,0.0,0.0
1989-06-29,0.10932649803830549,0.0,-0.10932649803830549,-0.10932649803830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10932649803830549,0.0,0.0
1989-06-30,0.10932649803830549,0.10932649803830549,-0.10932649803830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10932649803830549,-0.10932649803830549,0.0,0.0
1989-07-03,0.10932649803830549,0.10932649803830549,-0.10932649803830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10932649803830549,-0.10932649803830549,0.0,0.0
1989-07-04,0.10932649803830549,0.10932649803830549,-0.10932649803830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10932649803830549,-0.10932649803830549,0.0,0.0
1989-07-05,0.10932649803830549,0.10932649803830549,-0.10932649803830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10932649803830549,-0.10932649803830549,0.0,0.0
1989-07-06,0.10932649803830549,0.10932649803830549,-0.10932649803830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10932649803830549,-0.10932649803830549,0.0,0.0
1989-07-07,0.11416826605575986,0.11416826605575986,-0.11416826605575986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11416826605575986,-0.11416826605575986,0.0,0.0
1989-07-10,0.11416826605575986,0.11416826605575986,-0.11416826605575986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11416826605575986,-0.11416826605575986,0.0,0.0
1989-07-11,0.11416826605575986,0.11416826605575986,-0.11416826605575986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11416826605575986,-0.11416826605575986,0.0,0.0
1989-07-12,0.11416826605575986,0.11416826605575986,-0.11416826605575986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11416826605575986,-0.11416826605575986,0.0,0.0
1989-07-13,0.11416826605575986,0.11416826605575986,-0.11416826605575986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11416826605575986,-0.11416826605575986,0.0,0.0
1989-07-14,0.11416826605575986,0.11416826605575986,-0.11416826605575986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11416826605575986,-0.11416826605575986,0.0,0.0
1989-07-17,0.11416826605575986,0.11416826605575986,-0.11416826605575986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11416826605575986,-0.11416826605575986,0.0,0.0
1989-07-18,0.11416826605575986,0.11416826605575986,-0.11416826605575986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11416826605575986,-0.11416826605575986,0.0,0.0
1989-07-19,0.11416826605575986,0.11416826605575986,-0.11416826605575986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11416826605575986,-0.11416826605575986,0.0,0.0
1989-07-20,0.11416826605575986,0.11416826605575986,-0.11416826605575986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11416826605575986,-0.11416826605575986,0.0,0.0
1989-07-21,0.11416826605575986,0.11416826605575986,-0.11416826605575986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11416826605575986,-0.11416826605575986,0.0,0.0
1989-07-24,0.11416826605575986,0.11416826605575986,-0.11416826605575986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11416826605575986,-0.11416826605575986,0.0,0.0
1989-07-25,0.11416826605575986,0.11416826605575986,-0.11416826605575986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11416826605575986,-0.11416826605575986,0.0,0.0
1989-07-26,0.10821740036317443,0.10821740036317443,-0.10821740036317443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10821740036317443,-0.10821740036317443,0.0,0.0
1989-07-27,0.10821740036317443,0.10821740036317443,-0.10821740036317443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10821740036317443,-0.10821740036317443,0.0,0.0
1989-07-28,0.10821740036317443,0.10821740036317443,-0.10821740036317443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10821740036317443,-0.10821740036317443,0.0,0.0
1989-07-31,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-01,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-02,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-03,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-04,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-07,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-08,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-09,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-10,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-11,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.10821740036317443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
