tdate,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
1998-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05499703362027185
1998-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05460128367346033
1998-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05317830503656847
1998-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05268885931765087
1998-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05268885931765087
1998-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052182842266329764
1998-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051999031747744826
1998-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051999031747744826
1998-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05205706362468655
1998-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05205706362468655
1998-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05205706362468655
1998-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05205706362468655
1998-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05205706362468655
1998-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05205706362468655
1998-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04935352060108902
1998-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04936489367845949
1998-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04936489367845949
1998-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04936489367845949
1998-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04936489367845949
1998-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04936489367845949
1998-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04936489367845949
1998-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04936489367845949
1998-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04980330760450792
1998-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04980330760450792
1998-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04980330760450792
1998-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049371150082843325
1998-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049371150082843325
1998-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04886704614720416
1998-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04886704614720416
1998-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04886704614720416
1998-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048838860236031754
1998-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0469437670704183
1998-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0469437670704183
1998-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0469437670704183
1998-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04774130888384384
1998-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04774130888384384
1998-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04774130888384384
1998-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04774130888384384
1998-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04774130888384384
1998-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04774130888384384
1998-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04774130888384384
1998-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052635142120929346
1998-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052635142120929346
1998-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052635142120929346
1998-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052635142120929346
1998-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052635142120929346
1998-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052635142120929346
1998-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052635142120929346
1998-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05268629854950278
1998-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05268629854950278
1998-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052920967045083596
1998-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052920967045083596
1998-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05685898857185929
1998-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05685898857185929
1998-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05996287500370525
1998-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05996287500370525
1998-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05996287500370525
1998-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05996287500370525
1998-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05996287500370525
1998-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05996287500370525
