tdate,SA,BR,ID,IN,MY,MX,KR,RU,TW,CN
2005-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-04,0.0,0.0,0.0,0.0,0.012708565662565265,-0.012708565662565265,-0.012708565662565265,0.0,0.0,0.012708565662565265
2005-02-07,0.0,0.0,0.0,0.0,0.012708565662565265,-0.012708565662565265,-0.012708565662565265,0.0,0.0,0.012708565662565265
2005-02-08,0.0,0.0,0.0,0.0,0.013069605847232674,-0.013069605847232674,-0.013069605847232674,0.0,0.0,0.013069605847232674
2005-02-09,0.0,0.0,0.0,0.0,0.013069605847232674,-0.013069605847232674,-0.013069605847232674,0.0,0.0,0.013069605847232674
2005-02-10,0.0,0.0,0.0,0.0,0.013069605847232674,-0.013069605847232674,-0.013069605847232674,0.0,0.0,0.013069605847232674
2005-02-11,0.0,0.0,0.0,0.0,0.013069605847232674,-0.013069605847232674,-0.013069605847232674,0.0,0.0,0.013069605847232674
2005-02-14,0.0,0.0,0.0,0.0,0.013069605847232674,-0.013069605847232674,-0.013069605847232674,0.0,0.0,0.013069605847232674
2005-02-15,0.0,0.0,0.0,0.0,0.016419241143577495,-0.016419241143577495,-0.016419241143577495,0.0,0.0,0.016419241143577495
2005-02-16,0.0,0.0,0.0,0.0,0.016419241143577495,-0.016419241143577495,-0.016419241143577495,0.0,0.0,0.016419241143577495
2005-02-17,0.0,0.0,0.0,0.0,0.016419241143577495,-0.016419241143577495,-0.016419241143577495,0.0,0.0,0.016419241143577495
2005-02-18,0.0,0.0,0.0,0.0,0.016419241143577495,-0.016419241143577495,-0.016419241143577495,0.0,0.0,0.016419241143577495
2005-02-21,0.0,0.0,0.0,0.0,0.016419241143577495,-0.016419241143577495,-0.016419241143577495,0.0,0.0,0.016419241143577495
2005-02-22,0.0,0.0,0.0,0.0,0.01766130632841898,-0.01766130632841898,-0.01766130632841898,0.0,0.0,0.01766130632841898
2005-02-23,0.0,0.0,0.0,0.0,0.01766130632841898,-0.01766130632841898,-0.01766130632841898,0.0,0.0,0.01766130632841898
2005-02-24,0.0,0.0,0.0,0.0,0.01766130632841898,-0.01766130632841898,-0.01766130632841898,0.0,0.0,0.01766130632841898
2005-02-25,0.0,0.0,0.0,0.0,0.01766130632841898,-0.01766130632841898,-0.01766130632841898,0.0,0.0,0.01766130632841898
2005-02-28,0.0,0.0,0.0,0.0,0.018010352246362445,-0.018010352246362445,-0.018010352246362445,0.0,0.0,0.018010352246362445
