ticker,tdate,err,dps,dps1,fx,m2gdp,eps,eps1,roa,icr,growthvalue,ivol
AEX,1999-12-31,-38.0,8.837,24.148,83.1748,77.960495,60.652,6.39,1.7531037,4.5861015,1780.255,24.51
AEX,2000-01-31,-385.0,8.95,24.16,81.794,77.92101,61.64,6.884,1.7587638,4.637474,1560.763,29.15
AEX,2000-02-29,115.0,8.944,24.335,81.4775,78.56319,62.978,7.991,1.4205902,5.071916,1565.117,23.78
AEX,2000-03-31,0.0,9.19,25.732,80.3612,77.88573,63.675,7.806,1.4196618,5.057672,1632.806,26.62
AEX,2000-04-28,250.0,9.361,26.55,78.084,79.06646,66.697,7.459,1.420936,5.0721126,1580.647,23.48
AEX,2000-05-31,77.0,9.33,23.214,80.6009,79.74016,67.091,8.117,1.4084741,5.0226064,1527.21,20.91
AEX,2000-06-30,0.0,8.258,27.688,81.5294,79.15139,69.301,8.67,1.3960503,4.902344,1539.107,15.66
AEX,2000-07-31,280.0,8.091,29.69,80.2406,79.3105,71.516,8.875,1.4176605,4.997184,1502.023,15.82
AEX,2000-08-31,520.0,7.932,27.921,77.7059,79.62428,74.633,8.422,1.3948946,5.0178165,1497.614,14.3
AEX,2000-09-29,200.0,8.054,27.557,77.6883,78.12508,76.342,8.363,1.3968971,5.0243516,1418.854,15.61
AEX,2000-10-31,40.0,7.737,27.584,75.9003,78.760635,78.493,8.716,1.3999511,5.0632577,1456.042,18.06
AEX,2000-11-30,40.0,6.721,27.837,77.9158,79.23625,80.241,8.121,1.4081733,5.1955047,1383.801,22.28
AEX,2000-12-29,304.0,6.635,27.976,82.4193,78.92013,81.391,7.65,1.4146653,5.232745,1338.364,22.43
AEX,2001-01-31,-217.0,6.905,27.956,82.1855,79.54672,81.788,8.037,1.4179351,5.249329,1337.715,16.04
AEX,2001-02-28,-217.0,7.961,28.635,82.6338,80.31939,81.525,7.464,2.2371185,4.1940246,1253.372,17.62
AEX,2001-03-30,-217.0,7.798,29.494,80.8367,78.60497,80.116,8.315,2.2272866,4.152951,1192.989,24.51
AEX,2001-04-30,-565.0,8.185,29.541,81.3434,78.9555,74.732,10.345,2.2373736,4.191868,1270.293,16.48
AEX,2001-05-31,-478.0,8.078,29.581,78.0818,79.6721,73.364,11.156,2.1872118,4.2561297,1223.886,18.14
AEX,2001-06-29,-478.0,8.392,29.572,78.6909,79.27956,73.258,10.604,2.2000933,4.2912784,1258.143,15.42
AEX,2001-07-31,-478.0,15.411,29.948,80.9574,80.14476,70.805,9.013,2.205455,4.3165026,1191.509,18.23
AEX,2001-08-31,-478.0,11.43,30.368,83.0287,80.1199,69.736,9.919,2.2276485,4.313209,1169.827,22.53
AEX,2001-09-28,-217.0,10.565,30.196,83.3921,78.494415,71.109,9.352,2.2238557,4.329067,1035.568,37.15
AEX,2001-10-31,-739.0,15.294,31.952,83.0017,78.4643,69.426,11.547,2.2244382,4.323624,1040.984,33.74
AEX,2001-11-30,-565.0,3.377,29.492,82.665,78.862434,66.928,10.503,2.1974933,4.4431243,1114.791,22.2
AEX,2001-12-31,-667.0,2.894,29.781,82.22,78.94776,63.947,10.708,2.2524924,4.321868,1155.482,21.32
AEX,2002-01-31,-458.0,2.547,29.943,80.4932,80.473015,64.269,12.201,2.248694,4.2984743,1153.834,20.69
AEX,2002-02-28,-333.0,2.414,30.168,81.2684,82.64219,61.962,10.848,0.9165799,2.4525206,1184.345,21.25
AEX,2002-03-29,-750.0,2.411,30.772,81.0608,82.65265,60.788,9.614,0.9099314,2.4752033,1238.094,14.23
AEX,2002-04-30,-333.0,2.473,28.884,82.5816,83.32102,62.612,8.142,0.9105895,2.4783576,1194.009,18.1
AEX,2002-05-31,83.0,2.212,28.86,84.6109,83.1868,64.485,7.562,0.8712001,1.2055128,1162.212,17.98
AEX,2002-06-28,-250.0,2.113,28.628,87.7424,83.010216,63.297,8.798,0.8893369,0.83942246,1087.947,29.45
AEX,2002-07-31,-417.0,2.058,28.625,87.5414,83.481415,63.67,7.921,0.88267934,0.77720034,911.592,43.14
AEX,2002-08-30,-750.0,1.893,28.736,87.5143,83.824844,62.164,8.949,0.88767487,0.76117337,916.284,44.44
AEX,2002-09-30,-625.0,3.375,28.702,88.4436,82.58148,61.489,7.575,0.86650044,0.6980036,819.298,58.63
AEX,2002-10-31,-667.0,2.027,28.693,88.4231,82.56385,60.347,8.625,0.8685396,0.6968057,867.243,42.55
AEX,2002-11-29,-667.0,1.989,28.753,88.4907,82.7661,59.812,8.466,0.8662188,0.8212415,866.25,31.09
