,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
2003-07-31,2.9020 ,5.3180 ,2.0950 ,5.6260 ,4.2280 ,11.4400 ,NA,8.9100 ,8.5500 ,9.5970 
2003-08-29,2.9400 ,5.1500 ,2.4750 ,5.2660 ,4.2890 ,11.5600 ,NA,8.5640 ,8.7330 ,9.7470 
2003-09-30,4.0390 ,4.6580 ,2.6240 ,5.2440 ,4.3400 ,11.6000 ,NA,8.1830 ,8.3760 ,9.3230 
2003-10-31,3.6270 ,5.0900 ,2.8330 ,5.0820 ,4.8690 ,11.9400 ,NA,8.1280 ,8.1330 ,9.1780 
2003-11-28,3.7840 ,5.4350 ,2.8920 ,5.1370 ,5.0620 ,11.9300 ,NA,8.5680 ,8.0920 ,9.2240 
2003-12-31,3.3730 ,5.4160 ,2.6180 ,5.1320 ,4.9200 ,11.9200 ,NA,8.6600 ,8.2840 ,9.1130 
2004-01-30,3.7600 ,5.5230 ,2.8080 ,5.2020 ,4.7170 ,12.7600 ,NA,8.2670 ,8.8190 ,9.6070 
2004-02-27,3.9480 ,5.4530 ,2.6370 ,5.2650 ,5.3170 ,11.8200 ,NA,8.5970 ,8.7180 ,9.4790 
2004-03-31,3.9800 ,5.2670 ,2.2820 ,5.1590 ,5.1750 ,11.5800 ,NA,8.5280 ,8.9740 ,9.7230 
2004-04-30,4.0920 ,5.2010 ,2.4250 ,5.1250 ,5.1950 ,10.9000 ,NA,9.5490 ,9.2760 ,10.0360 
2004-05-31,4.1150 ,5.0130 ,2.9630 ,5.2830 ,5.2870 ,11.7300 ,NA,10.1410 ,9.4270 ,10.2270 
2004-06-30,4.4870 ,4.9980 ,2.9390 ,5.8460 ,5.2870 ,12.4000 ,NA,10.6210 ,9.4220 ,10.2320 
2004-07-30,4.6440 ,4.7200 ,2.9680 ,6.1390 ,5.1750 ,12.1000 ,NA,10.1930 ,9.2480 ,10.0170 
2004-08-31,4.9510 ,4.1400 ,2.8500 ,6.0870 ,5.1950 ,11.7400 ,NA,10.2030 ,8.8180 ,9.5350 
2004-09-30,4.7900 ,4.0680 ,2.5860 ,6.2460 ,5.1540 ,11.1650 ,NA,10.2720 ,8.6940 ,9.3590 
2004-10-29,4.7910 ,3.9650 ,2.7190 ,6.9230 ,4.9300 ,11.0720 ,NA,10.2720 ,8.3190 ,9.0260 
2004-11-30,4.7530 ,3.9250 ,2.5880 ,7.2010 ,4.6050 ,10.3900 ,NA,10.2720 ,7.9710 ,8.6780 
2004-12-31,4.5330 ,3.8230 ,2.3950 ,6.5540 ,4.8590 ,10.4210 ,NA,10.2720 ,7.4910 ,8.1120 
2005-01-31,4.6470 ,4.8670 ,2.4290 ,6.7080 ,4.6460 ,10.0040 ,NA,10.2720 ,7.3310 ,7.9810 
2005-02-28,4.6720 ,4.7570 ,2.3750 ,6.5360 ,4.5240 ,10.2040 ,NA,10.2720 ,7.0200 ,7.6890 
2005-03-31,4.4110 ,4.7740 ,2.3040 ,6.6910 ,4.8700 ,10.7690 ,NA,10.2720 ,7.8480 ,8.6050 
2005-04-29,4.2700 ,4.6150 ,2.1470 ,7.3530 ,4.6670 ,11.2160 ,NA,10.2720 ,7.6280 ,8.3470 
2005-05-31,4.1330 ,4.3430 ,1.9150 ,6.9820 ,4.3420 ,11.1710 ,NA,10.2720 ,7.7840 ,8.4570 
2005-06-30,3.8740 ,4.7970 ,1.9120 ,6.8960 ,4.2500 ,11.1860 ,NA,10.2720 ,7.3580 ,8.0000 
2005-07-29,3.4620 ,5.0270 ,2.0210 ,6.9880 ,4.1920 ,11.4210 ,NA,10.2720 ,7.2300 ,7.9060 
2005-08-31,3.6110 ,4.8400 ,1.8730 ,7.0940 ,4.0450 ,13.8270 ,NA,10.2720 ,7.3170 ,8.0300 
2005-09-30,3.3080 ,5.1150 ,1.8090 ,7.1110 ,3.9580 ,14.9340 ,NA,8.6050 ,7.4130 ,8.1150 
2005-10-31,3.3080 ,5.5470 ,1.8560 ,7.1010 ,4.1730 ,14.7660 ,NA,8.9330 ,7.3760 ,8.0750 
2005-11-30,3.3080 ,5.7560 ,1.8380 ,7.0820 ,4.2840 ,14.3400 ,NA,8.5980 ,7.0560 ,7.7520 
2005-12-30,3.3080 ,5.6320 ,1.7750 ,7.1140 ,4.2380 ,13.6240 ,NA,8.2400 ,6.8440 ,7.4700 
2006-01-31,3.3080 ,5.4570 ,1.7320 ,7.2810 ,4.0980 ,13.0680 ,12.9660 ,8.2070 ,6.7310 ,7.3990 
2006-02-28,3.3080 ,5.2440 ,1.8310 ,7.3580 ,4.1430 ,12.4590 ,12.3690 ,7.8350 ,6.6810 ,7.3210 
2006-03-31,3.3080 ,5.4530 ,1.7800 ,7.5460 ,4.1230 ,12.1920 ,12.4290 ,8.4880 ,6.8550 ,7.5080 
2006-04-28,2.9710 ,5.2570 ,2.1980 ,7.4010 ,4.4820 ,11.8840 ,12.4200 ,8.5350 ,6.7570 ,7.3800 
2006-05-31,2.9820 ,5.1500 ,2.2260 ,7.6670 ,4.8920 ,12.3740 ,13.6650 ,9.1200 ,7.0860 ,7.7500 
2006-06-30,3.1400 ,5.2000 ,2.1510 ,8.1070 ,5.0500 ,12.6490 ,13.6080 ,9.0910 ,7.9320 ,8.6510 
2006-07-31,3.2880 ,5.0500 ,2.1000 ,8.2320 ,4.7200 ,11.9330 ,13.2180 ,8.5330 ,7.9360 ,8.6950 
2006-08-31,3.2090 ,4.9600 ,2.0110 ,7.8800 ,4.3500 ,11.7070 ,12.6700 ,8.2120 ,7.9940 ,8.7800 
2006-09-29,3.0360 ,4.7300 ,1.9690 ,7.6470 ,4.1600 ,10.9520 ,11.7200 ,8.2420 ,7.8630 ,8.6230 
2006-10-31,2.9620 ,4.9100 ,1.9800 ,7.6410 ,3.9790 ,10.4070 ,11.7780 ,7.8950 ,7.3650 ,8.0590 
2006-11-30,3.0290 ,4.9800 ,1.9610 ,7.4220 ,3.8000 ,10.6650 ,11.4960 ,7.7050 ,7.3470 ,7.9210 
2006-12-29,3.0580 ,5.0570 ,2.0250 ,7.6110 ,3.7800 ,10.1750 ,9.5580 ,7.4050 ,7.1820 ,7.7320 
2007-01-31,3.0570 ,5.0570 ,1.9800 ,7.7640 ,3.8800 ,9.9770 ,10.7270 ,7.9040 ,7.1400 ,7.7140 
2007-02-28,3.1100 ,4.9600 ,1.9760 ,7.9800 ,3.7700 ,10.1880 ,10.6300 ,7.9910 ,6.9960 ,7.5180 
2007-03-30,3.3700 ,4.9320 ,1.9510 ,7.9760 ,3.5100 ,9.8910 ,11.7520 ,7.5560 ,7.1700 ,7.7400 
2007-04-30,3.6400 ,5.1500 ,2.0710 ,8.1780 ,3.5000 ,9.5950 ,10.7270 ,7.7140 ,7.0240 ,7.6170 
2007-05-31,3.9600 ,5.3150 ,2.2310 ,8.0920 ,3.5100 ,8.8050 ,10.0650 ,7.5480 ,7.3120 ,7.9260 
2007-06-29,4.4300 ,5.5130 ,2.4990 ,8.1530 ,3.5400 ,8.9610 ,10.6800 ,7.6990 ,7.7790 ,8.3990 
2007-07-31,4.4100 ,5.3700 ,2.6610 ,7.8520 ,3.6700 ,9.0470 ,11.1440 ,7.6970 ,7.8430 ,8.4890 
2007-08-31,4.2800 ,5.5650 ,2.5400 ,7.9390 ,3.7000 ,9.6700 ,11.9990 ,7.7970 ,7.8750 ,8.4730 
2007-09-28,4.4400 ,5.6000 ,2.6080 ,7.9200 ,3.7000 ,9.1920 ,11.4870 ,7.8870 ,7.5550 ,8.1530 
2007-10-31,4.5000 ,5.5640 ,2.7110 ,7.8620 ,3.7100 ,9.1850 ,11.8990 ,7.8980 ,7.3810 ,8.0070 
2007-11-30,4.5400 ,5.6880 ,2.5500 ,7.9080 ,4.0050 ,9.9730 ,12.4500 ,7.8980 ,7.8290 ,8.4000 
2007-12-31,4.4600 ,5.7000 ,2.5820 ,7.7930 ,4.1420 ,10.0180 ,12.4500 ,7.8980 ,7.8520 ,8.4010 
2008-01-31,4.3500 ,5.2380 ,2.3680 ,7.5790 ,3.6530 ,9.9270 ,12.4500 ,7.8980 ,7.8840 ,8.6200 
2008-02-29,4.1700 ,5.2280 ,2.4470 ,7.6170 ,3.6970 ,10.1000 ,12.4500 ,7.4840 ,8.2130 ,8.9730 
2008-03-31,4.1200 ,5.2850 ,2.4200 ,7.9590 ,3.8000 ,11.7200 ,12.4500 ,7.4300 ,8.4420 ,9.2030 
2008-04-30,4.0900 ,5.1380 ,2.5110 ,7.9230 ,3.7900 ,12.8630 ,12.4500 ,7.9320 ,8.6480 ,9.4330 
2008-05-30,4.1800 ,5.7000 ,2.6130 ,8.1080 ,4.0180 ,12.8120 ,12.4500 ,8.1380 ,9.2150 ,10.0530 
2008-06-30,4.5200 ,6.0450 ,2.6930 ,8.6990 ,4.8580 ,13.3840 ,12.4500 ,9.2390 ,9.7920 ,10.7000 
2008-07-31,4.5300 ,5.9200 ,2.5070 ,9.3190 ,4.8050 ,11.8650 ,12.4500 ,8.9460 ,8.4010 ,9.2130 
2008-08-29,4.3600 ,5.9600 ,2.5080 ,8.7100 ,4.7600 ,12.1960 ,12.4500 ,8.4490 ,8.3460 ,9.1180 
2008-09-30,3.8000 ,5.8600 ,2.2320 ,8.6350 ,4.5830 ,13.1980 ,12.4500 ,8.4170 ,8.0990 ,8.8420 
2008-10-31,3.1100 ,5.4900 ,1.9820 ,7.4510 ,4.2970 ,17.3010 ,12.4500 ,8.9100 ,8.3280 ,9.1040 
2008-11-28,3.0200 ,5.7500 ,1.4900 ,7.0800 ,3.7000 ,15.5830 ,12.4500 ,9.1370 ,7.6420 ,8.3530 
2008-12-31,2.7600 ,4.2200 ,1.4080 ,5.2620 ,3.2180 ,11.8890 ,12.4500 ,7.9600 ,6.7040 ,7.3140 
2009-01-30,3.0200 ,4.7100 ,1.5270 ,6.2550 ,3.1050 ,11.7870 ,12.4500 ,7.7780 ,7.2620 ,7.9130 
2009-02-27,3.1000 ,5.0600 ,1.5040 ,6.0200 ,4.0300 ,13.5870 ,12.4500 ,8.5650 ,7.8340 ,8.5430 
2009-03-31,3.1600 ,5.1700 ,1.5400 ,7.0100 ,3.8230 ,12.6570 ,12.4500 ,7.8210 ,7.8750 ,8.6320 
2009-04-30,3.1600 ,4.6900 ,1.6310 ,6.2280 ,3.9980 ,11.9680 ,12.4500 ,7.7580 ,7.7700 ,8.5190 
