,GC,CL,NG,HG,C,S,SI,SB,XBW,SM,BO,W,KC,CT
1991-12-31,86.3694,86.4741,65.6628,88.8292,95.6038,89.1786,87.681,110.543,99.6313,97.1475,82.0302,134.5759,74.528,89.8971
1992-01-01,86.3694,86.4741,65.6628,88.8292,95.6038,89.1786,87.681,110.543,99.6313,97.1475,82.0302,134.5759,74.528,89.8971
1992-01-02,85.8831,88.1475,65.7664,87.1446,95.2236,88.0979,89.0931,105.5072,101.7477,95.9655,81.5061,133.2459,75.775,90.52
1992-01-03,85.4697,86.9264,65.9218,87.4633,94.5584,88.218,89.0258,103.1735,101.3352,95.459,81.6371,132.8303,76.0627,90.8998
1992-01-06,85.178,86.8359,65.2486,87.4633,94.9385,89.4988,88.9137,104.2789,100.8509,96.7535,81.9429,132.4978,75.2954,91.31
1992-01-07,85.2266,84.3032,65.2486,86.6438,95.0336,89.3387,88.3534,102.6822,97.4073,96.5847,82.4233,131.7497,76.4944,91.8114
1992-01-08,85.4697,80.9112,66.2843,86.0974,96.174,90.5395,88.981,103.542,93.7306,98.0481,83.0785,134.4928,76.0148,90.3073
1992-01-09,86.9223,81.0469,63.7468,85.9153,96.0789,90.6996,93.0826,103.9104,92.8517,97.5415,83.3843,133.2459,76.1586,87.7093
1992-01-10,86.7863,83.1273,62.0379,86.5527,96.0789,90.2994,92.0068,105.1387,96.5823,98.0481,82.5981,133.994,76.1107,87.8156
1992-01-13,86.2046,85.4791,62.1415,86.3251,97.4094,90.7396,91.6033,103.6648,98.4296,98.6672,82.467,136.8202,75.3433,85.9469
1992-01-14,86.3934,84.1675,62.4004,86.234,98.5498,89.739,91.8947,101.9452,97.4791,96.8661,82.9038,137.3189,74.7199,86.4938
1992-01-15,86.2725,85.9314,65.2486,87.2812,99.5002,91.4601,93.2395,101.3311,98.6987,98.3295,85.0004,138.5658,74.7678,86.3419
1992-01-16,86.8045,86.1123,66.0771,88.3739,98.4548,91.5402,97.2291,102.068,100.1156,98.4983,84.9568,137.3189,75.6791,85.567
1992-01-17,86.2,87.243,62.504,88.6016,98.6449,92.7009,96.1533,105.5072,101.2455,99.5115,85.0878,139.6464,74.528,85.6278
1992-01-20,86.2,87.243,62.504,88.6016,98.6449,92.7009,96.1533,105.5072,101.2455,99.5115,85.0878,139.6464,74.528,85.6278
1992-01-21,87.143,84.665,61.6237,88.2828,98.6449,92.5809,96.0412,103.2963,97.3894,99.6803,85.8304,140.9763,75.1035,84.6403
1992-01-22,87.1188,85.66,59.8112,88.8747,99.12,92.3007,96.2205,105.8756,98.9856,99.3989,85.1752,142.0569,75.1035,85.719
1992-01-23,86.2967,84.665,58.3094,88.3284,99.2151,91.7003,94.6964,105.9985,96.9948,99.0612,84.3889,145.465,72.9934,85.7038
1992-01-24,86.2483,85.9314,60.4844,90.0585,100.2604,93.1012,93.3068,105.9985,98.7704,100.412,85.3499,145.3818,72.6097,84.3212
1992-01-27,86.3209,87.5595,63.0736,89.6032,99.5952,92.3407,93.4188,105.1387,101.1558,99.7929,84.6073,146.0468,72.0342,82.3157
