"","GC","CL","NG","HG","C","S","SI","SB","XBW","SM","BO","W","KC","CT"
"1993-04-01",0,-0.037542090814119,0.0179298456952241,0.0420051531859241,0,0.0507595476840136,0,-0.0226688118072278,-0.0326644995243785,0,0,-0.0433775387183151,0.0173395333997281,0
"1993-04-02",0,-0.037542090814119,0.0179298456952241,0.0420051531859241,0,0.0507595476840136,0,-0.0226688118072278,-0.0326644995243785,0,0,-0.0433775387183151,0.0173395333997281,0
"1993-04-05",0,-0.037542090814119,0.0179298456952241,0.0420051531859241,0,0.0507595476840136,0,-0.0226688118072278,-0.0326644995243785,0,0,-0.0433775387183151,0.0173395333997281,0
"1993-04-06",0,0,-0.018001633336652,0.0397164373690879,-0.0474863134482367,0.0474863134482367,0,-0.0202874895667828,-0.0312162908695075,0,0.043693846145169,0,0.0163642120489601,0
"1993-04-07",0,0,-0.018001633336652,0.0397164373690879,-0.0474863134482367,0.0474863134482367,0,-0.0202874895667828,-0.0312162908695075,0,0.043693846145169,0,0.0163642120489601,0
"1993-04-08",0,0,-0.018001633336652,0.0397164373690879,-0.0474863134482367,0.0474863134482367,0,-0.0202874895667828,-0.0312162908695075,0,0.043693846145169,0,0.0163642120489601,0
"1993-04-09",0,0,-0.018001633336652,0.0397164373690879,-0.0474863134482367,0.0474863134482367,0,-0.0202874895667828,-0.0312162908695075,0,0.043693846145169,0,0.0163642120489601,0
"1993-04-12",0,0,-0.018001633336652,0.0397164373690879,-0.0474863134482367,0.0474863134482367,0,-0.0202874895667828,-0.0312162908695075,0,0.043693846145169,0,0.0163642120489601,0
"1993-04-13",0,-0.0332456998597776,-0.0168502008535795,0.0342037160948486,0,0.0443634865881894,0,-0.0183385650763201,0,0,0.0399670968182974,0,0.0152423617952662,-0.0329268337965233
"1993-04-14",0,-0.0332456998597776,-0.0168502008535795,0.0342037160948486,0,0.0443634865881894,0,-0.0183385650763201,0,0,0.0399670968182974,0,0.0152423617952662,-0.0329268337965233
"1993-04-15",0,-0.0332456998597776,-0.0168502008535795,0.0342037160948486,0,0.0443634865881894,0,-0.0183385650763201,0,0,0.0399670968182974,0,0.0152423617952662,-0.0329268337965233
"1993-04-16",0,-0.0332456998597776,-0.0168502008535795,0.0342037160948486,0,0.0443634865881894,0,-0.0183385650763201,0,0,0.0399670968182974,0,0.0152423617952662,-0.0329268337965233
"1993-04-19",0,-0.0332456998597776,-0.0168502008535795,0.0342037160948486,0,0.0443634865881894,0,-0.0183385650763201,0,0,0.0399670968182974,0,0.0152423617952662,-0.0329268337965233
"1993-04-20",0,-0.0358901853566308,-0.0172232001733197,0.032941790945917,0,0,0,-0.0182988571105274,0,0.0456715231432613,0.0427843584203705,0,0.015719375861727,-0.0331708052355804
"1993-04-21",0,-0.0358901853566308,-0.0172232001733197,0.032941790945917,0,0,0,-0.0182988571105274,0,0.0456715231432613,0.0427843584203705,0,0.015719375861727,-0.0331708052355804
"1993-04-22",0,-0.0358901853566308,-0.0172232001733197,0.032941790945917,0,0,0,-0.0182988571105274,0,0.0456715231432613,0.0427843584203705,0,0.015719375861727,-0.0331708052355804
