,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
1995-11-30,1.5950 ,2.5310 ,4.6920 ,1.9800 ,6.3230 ,13.4520 ,NA,49.5760 ,NA,4.3950 
1995-12-29,1.5620 ,2.4470 ,4.7360 ,2.1060 ,6.0090 ,12.1420 ,NA,44.8310 ,NA,4.4030 
1996-01-31,1.4970 ,2.6240 ,4.3440 ,1.9980 ,5.7950 ,16.1680 ,NA,44.0810 ,NA,4.2260 
1996-02-29,1.5900 ,2.6020 ,4.5580 ,2.0110 ,5.9260 ,21.2360 ,NA,40.9530 ,NA,4.2880 
1996-03-29,1.6000 ,2.6840 ,4.6630 ,1.9130 ,6.1970 ,21.4340 ,NA,47.5560 ,NA,4.5350 
1996-04-30,1.8850 ,2.6390 ,4.6720 ,2.0080 ,6.1560 ,18.5830 ,NA,47.2400 ,NA,4.6890 
1996-05-31,1.9300 ,2.2910 ,4.6040 ,1.8790 ,5.8850 ,21.3460 ,NA,51.8900 ,NA,4.6130 
1996-06-28,1.5220 ,2.3520 ,4.9550 ,1.9510 ,6.2130 ,9.9580 ,NA,51.0420 ,NA,4.6750 
1996-07-31,1.4160 ,2.4180 ,4.1250 ,1.9790 ,5.8600 ,8.4600 ,NA,51.3730 ,NA,4.6420 
1996-08-30,1.3990 ,2.2840 ,5.0480 ,2.0520 ,6.2660 ,9.6630 ,NA,51.6640 ,NA,4.8230 
1996-09-30,1.3860 ,2.3270 ,5.0880 ,1.9490 ,6.2080 ,10.1140 ,NA,54.6000 ,NA,4.7750 
1996-10-31,1.2820 ,2.1200 ,4.8190 ,2.1030 ,6.2850 ,10.1430 ,NA,54.4950 ,NA,4.8610 
1996-11-29,1.4960 ,2.2140 ,5.1640 ,1.9440 ,6.0400 ,10.7190 ,NA,53.0000 ,NA,5.2180 
1996-12-31,1.5170 ,2.3280 ,5.0280 ,2.1510 ,6.1060 ,10.6390 ,NA,56.3320 ,NA,5.3060 
1997-01-31,1.3610 ,2.2530 ,5.0740 ,2.0010 ,5.9490 ,10.8640 ,NA,53.6780 ,NA,4.9950 
1997-02-28,1.5520 ,2.1380 ,5.2320 ,2.1200 ,6.0200 ,11.1070 ,NA,53.5500 ,NA,5.0610 
1997-03-31,1.3950 ,2.4450 ,4.3040 ,1.8430 ,6.0070 ,11.1500 ,NA,41.9590 ,NA,5.2310 
1997-04-30,1.4810 ,2.3590 ,5.1650 ,2.1810 ,6.2250 ,11.3660 ,NA,57.4000 ,NA,5.2730 
1997-05-30,1.0550 ,2.3950 ,5.3860 ,2.1170 ,6.3280 ,13.0730 ,NA,81.7050 ,NA,5.0910 
1997-06-30,1.2790 ,1.9950 ,6.5440 ,2.3080 ,6.3540 ,13.8740 ,NA,80.1600 ,NA,5.4960 
1997-07-31,1.4780 ,2.2710 ,6.8010 ,2.2660 ,6.3680 ,15.0120 ,NA,83.7920 ,NA,5.3360 
1997-08-29,1.3020 ,2.1380 ,6.8120 ,1.9960 ,5.5600 ,10.9980 ,NA,72.2220 ,NA,5.0110 
1997-09-30,1.1130 ,2.1530 ,6.6710 ,2.1990 ,6.3710 ,14.8000 ,NA,83.6760 ,NA,5.1820 
1997-10-31,1.2810 ,1.7990 ,6.2720 ,2.1210 ,5.2560 ,13.9110 ,NA,66.7730 ,NA,4.6390 
1997-11-28,1.1710 ,2.0570 ,7.0550 ,2.2550 ,6.7240 ,12.7350 ,NA,81.5660 ,NA,5.2340 
1997-12-31,1.3050 ,1.9080 ,7.3830 ,2.3620 ,7.3040 ,15.4600 ,NA,80.0120 ,NA,5.3400 
1998-01-30,0.9920 ,2.5540 ,6.3600 ,2.1850 ,6.5350 ,19.5850 ,NA,77.7210 ,NA,5.8770 
1998-02-27,1.1770 ,2.2820 ,5.3350 ,2.5510 ,6.5390 ,16.1400 ,NA,79.8690 ,NA,5.1330 
1998-03-31,0.7290 ,1.8960 ,5.1790 ,2.3590 ,6.4530 ,15.3710 ,NA,75.2060 ,1.2900 ,5.0250 
1998-04-30,0.6690 ,1.5820 ,5.5090 ,2.3650 ,6.1470 ,15.3700 ,NA,72.5120 ,1.2690 ,4.7190 
1998-05-29,0.7950 ,1.5950 ,5.8760 ,2.3700 ,5.9280 ,14.6750 ,NA,67.6900 ,18.1570 ,4.8910 
1998-06-30,0.7460 ,1.5240 ,5.9990 ,2.4150 ,6.3020 ,14.8950 ,NA,70.5940 ,1.6420 ,4.8980 
1998-07-31,0.7360 ,1.5310 ,5.9830 ,2.4220 ,6.2750 ,9.8370 ,NA,87.2810 ,1.0840 ,5.0450 
1998-08-31,0.6580 ,1.6420 ,6.1820 ,2.4160 ,6.8920 ,9.9740 ,NA,86.4550 ,1.0110 ,5.2250 
1998-09-30,0.7930 ,1.8480 ,5.8310 ,2.1360 ,6.1770 ,9.1850 ,NA,84.4070 ,0.3330 ,5.4630 
1998-10-30,0.7650 ,1.6980 ,5.7980 ,1.9950 ,6.0910 ,9.2010 ,NA,84.0780 ,0.6260 ,5.3220 
1998-11-30,0.8490 ,1.6990 ,5.8480 ,2.1180 ,5.7920 ,9.3370 ,NA,85.4770 ,0.4600 ,5.0800 
1998-12-31,0.7890 ,1.8150 ,5.8280 ,2.0540 ,5.3370 ,6.8620 ,NA,84.7270 ,0.4530 ,5.4160 
1999-01-29,0.8530 ,1.8470 ,6.2700 ,2.0990 ,5.0740 ,6.7570 ,NA,88.4560 ,0.5470 ,5.4370 
1999-02-26,0.7850 ,1.7890 ,6.1980 ,2.1360 ,4.6100 ,6.8180 ,NA,87.4270 ,0.4210 ,5.5530 
1999-03-31,0.8350 ,1.5600 ,6.2430 ,2.1490 ,4.3990 ,7.6260 ,NA,88.2640 ,0.4470 ,6.3420 
1999-04-30,0.9430 ,1.6270 ,6.4330 ,2.0700 ,4.0040 ,7.9750 ,NA,89.7340 ,0.1410 ,5.7710 
1999-05-31,0.8240 ,1.6170 ,6.0710 ,1.7570 ,3.8270 ,7.6640 ,NA,98.3790 ,3.9440 ,6.0910 
1999-06-30,0.8020 ,1.8380 ,6.2330 ,2.1560 ,3.8490 ,7.8830 ,NA,92.1390 ,4.2180 ,5.4150 
1999-07-30,0.8280 ,1.8110 ,6.3600 ,2.3350 ,3.9110 ,9.2020 ,NA,91.4620 ,2.5910 ,5.4580 
1999-08-31,0.8150 ,1.8410 ,6.6910 ,2.2230 ,3.9360 ,8.7990 ,NA,92.6100 ,0.5650 ,5.9080 
1999-09-30,0.8170 ,1.7930 ,6.8770 ,2.3490 ,3.9820 ,8.3560 ,NA,104.4770 ,4.6640 ,5.9030 
1999-10-29,0.8310 ,1.8370 ,7.0810 ,2.4640 ,4.0520 ,8.9220 ,NA,102.3140 ,4.7570 ,6.2310 
1999-11-30,0.8270 ,1.7990 ,7.3290 ,2.4700 ,3.9750 ,8.8360 ,NA,101.8650 ,3.9890 ,6.2820 
1999-12-31,0.8240 ,1.7810 ,7.6780 ,2.4760 ,3.9550 ,8.3790 ,NA,97.7610 ,4.5720 ,6.4270 
2000-01-31,0.8170 ,1.7410 ,8.0650 ,2.5230 ,3.6930 ,8.3690 ,NA,101.7890 ,3.6090 ,6.3120 
2000-02-29,0.7160 ,1.7080 ,8.2660 ,2.5230 ,4.2640 ,8.7890 ,NA,104.4390 ,4.7360 ,6.5180 
2000-03-31,0.8570 ,1.9010 ,8.2710 ,2.9870 ,4.3990 ,8.6890 ,NA,102.5700 ,5.1240 ,6.5930 
2000-04-28,0.8420 ,2.7850 ,6.9400 ,2.5160 ,4.5910 ,12.4120 ,NA,109.0010 ,21.3960 ,6.4880 
2000-05-31,0.8900 ,3.0810 ,6.8100 ,2.6200 ,4.6430 ,11.9090 ,NA,106.8640 ,1.7690 ,6.4260 
2000-06-30,0.1250 ,2.3590 ,7.7300 ,2.6250 ,4.5010 ,11.1380 ,NA,109.2590 ,8.0470 ,5.7930 
2000-07-31,0.1240 ,2.3920 ,7.4670 ,2.5060 ,4.7570 ,13.6860 ,NA,112.0580 ,13.0180 ,5.6290 
2000-08-31,0.1300 ,2.4760 ,7.5730 ,2.5410 ,4.6770 ,13.6740 ,NA,111.2450 ,8.2780 ,5.3770 
2000-09-29,0.0790 ,2.4560 ,7.4970 ,2.4320 ,4.6700 ,13.7200 ,NA,109.1070 ,9.7550 ,6.9390 
2000-10-31,0.1220 ,2.4940 ,6.5500 ,2.5000 ,4.8510 ,13.6560 ,NA,109.1290 ,8.4600 ,6.2720 
2000-11-30,0.1680 ,2.4090 ,6.5150 ,2.5220 ,5.2780 ,13.5170 ,NA,109.3620 ,6.2060 ,6.4710 
2000-12-29,0.0970 ,2.4010 ,6.2440 ,2.4580 ,5.5300 ,14.7380 ,NA,109.0490 ,5.4180 ,6.6380 
2001-01-31,0.1890 ,2.6020 ,6.4720 ,2.8240 ,5.4500 ,13.6970 ,NA,109.0560 ,5.7800 ,6.5960 
2001-02-28,0.2750 ,2.6780 ,6.2090 ,2.7630 ,5.4810 ,14.0730 ,NA,150.7930 ,5.7580 ,5.9120 
2001-03-30,0.2290 ,2.9210 ,5.7400 ,2.7390 ,5.3600 ,14.2480 ,NA,149.1790 ,5.8180 ,5.6460 
2001-04-30,0.2960 ,3.1720 ,5.2800 ,2.8620 ,5.6870 ,14.3310 ,NA,148.6830 ,10.9720 ,7.1090 
2001-05-31,0.3110 ,3.0870 ,5.3050 ,2.7840 ,5.6290 ,14.4440 ,NA,138.9780 ,2.4440 ,8.3680 
2001-06-29,0.3180 ,2.8200 ,5.7330 ,2.7060 ,5.9630 ,13.8730 ,NA,145.2570 ,2.1360 ,6.5420 
2001-07-31,0.3200 ,2.8250 ,5.6010 ,2.9110 ,5.6290 ,13.2220 ,NA,144.6220 ,16.7920 ,6.5140 
2001-08-31,0.3220 ,2.9790 ,6.0780 ,2.8560 ,5.6430 ,13.0260 ,NA,141.0140 ,15.8690 ,6.7100 
2001-09-28,0.2950 ,2.6980 ,6.0360 ,2.9320 ,5.1160 ,12.5110 ,NA,135.4010 ,0.9950 ,7.2820 
2001-10-31,0.1030 ,2.4130 ,6.3770 ,2.7560 ,5.7730 ,14.3880 ,NA,146.5270 ,14.0500 ,8.5610 
2001-11-30,0.1030 ,2.7220 ,6.6120 ,2.5910 ,5.7930 ,11.9290 ,NA,180.1330 ,17.5680 ,6.5990 
2001-12-31,0.2050 ,3.3010 ,6.0890 ,2.6380 ,6.0370 ,12.7420 ,NA,189.6400 ,17.2340 ,6.0790 
2002-01-31,0.2010 ,2.4620 ,5.9980 ,2.6380 ,5.8640 ,14.1390 ,NA,169.1870 ,4.5440 ,6.1220 
2002-02-28,0.2040 ,3.2090 ,4.8270 ,2.4790 ,5.6950 ,14.1010 ,NA,186.2990 ,5.0640 ,6.4020 
2002-03-29,0.2320 ,2.5570 ,7.3550 ,2.5850 ,5.9060 ,14.0560 ,NA,187.2240 ,0.9800 ,7.3620 
2002-04-30,0.3720 ,2.6880 ,6.9430 ,3.0290 ,6.1660 ,17.1380 ,NA,175.4700 ,6.1920 ,7.2130 
2002-05-31,0.3390 ,2.4540 ,3.6650 ,2.7960 ,5.6470 ,12.4550 ,NA,184.1790 ,10.5910 ,7.1450 
2002-06-28,0.3990 ,2.3920 ,4.2700 ,2.2460 ,5.6500 ,14.3630 ,NA,195.7100 ,9.1710 ,6.4030 
2002-07-31,0.3890 ,2.1930 ,3.6880 ,2.2640 ,5.6650 ,10.9480 ,NA,192.9500 ,8.7560 ,6.3260 
2002-08-30,0.4600 ,2.3940 ,3.7520 ,2.7150 ,6.2930 ,20.5890 ,NA,189.2990 ,3.5900 ,6.7410 
2002-09-30,0.4020 ,2.3580 ,3.6100 ,2.6720 ,6.2730 ,19.7320 ,NA,185.6600 ,4.9410 ,7.6560 
2002-10-31,0.4030 ,2.4400 ,3.5680 ,2.6230 ,6.3130 ,19.6230 ,NA,171.0700 ,4.9230 ,7.5750 
2002-11-29,0.4030 ,2.3110 ,3.6040 ,2.6830 ,6.3440 ,19.5650 ,NA,187.8430 ,9.8000 ,7.3300 
2002-12-31,0.4020 ,2.3710 ,3.6520 ,2.7690 ,6.4770 ,19.4890 ,NA,189.0210 ,18.0790 ,9.9630 
2003-01-31,0.4030 ,2.3350 ,3.4230 ,2.8180 ,6.4280 ,19.1390 ,NA,188.8910 ,12.7460 ,7.2570 
2003-02-28,0.4040 ,3.6190 ,3.5860 ,2.8210 ,7.6140 ,19.1160 ,NA,190.1890 ,5.3790 ,7.2150 
2003-03-31,0.5100 ,4.1510 ,3.6210 ,2.8000 ,7.4500 ,19.1430 ,NA,197.5650 ,16.3730 ,7.5390 
2003-04-30,0.4980 ,4.1450 ,3.6200 ,2.7530 ,7.5710 ,19.0400 ,NA,196.0840 ,11.2010 ,7.5450 
2003-05-30,0.5800 ,4.1250 ,6.4540 ,3.3580 ,7.5780 ,26.3030 ,NA,180.2470 ,5.6110 ,7.5610 
2003-06-30,0.5040 ,3.3580 ,4.5920 ,3.2370 ,7.9940 ,28.0840 ,NA,178.6060 ,6.5520 ,7.9690 
2003-07-31,0.5090 ,3.3370 ,4.4290 ,3.2650 ,7.9100 ,24.9350 ,NA,178.2440 ,4.9660 ,7.9920 
2003-08-29,0.5570 ,3.4740 ,4.3790 ,3.1910 ,8.0830 ,27.9210 ,NA,178.5600 ,11.7630 ,7.5430 
2003-09-30,0.5890 ,4.2570 ,6.5160 ,3.5950 ,8.5900 ,29.1320 ,NA,177.5690 ,17.1770 ,7.2100 
2003-10-31,0.5910 ,4.2620 ,6.5660 ,3.6010 ,8.8430 ,29.1580 ,NA,176.7630 ,17.2740 ,7.3000 
2003-11-28,0.5920 ,4.3270 ,6.5820 ,3.6320 ,8.9410 ,29.0900 ,NA,175.6040 ,12.4140 ,7.2940 
2003-12-31,0.5910 ,4.3070 ,6.5840 ,3.6160 ,9.0560 ,29.5460 ,NA,176.9820 ,12.3980 ,7.2510 
2004-01-30,0.5880 ,4.7770 ,6.5990 ,3.6790 ,9.1350 ,29.8480 ,NA,176.8170 ,18.4650 ,7.2490 
2004-02-27,0.5850 ,5.0250 ,7.2300 ,3.7890 ,9.2140 ,30.6780 ,NA,179.8810 ,6.5540 ,6.3510 
2004-03-31,0.8310 ,4.8670 ,6.2790 ,3.7920 ,8.5990 ,33.0360 ,NA,194.4190 ,11.4260 ,6.5130 
2004-04-30,0.9710 ,4.8620 ,7.3000 ,4.0490 ,8.9240 ,33.2820 ,NA,245.8600 ,10.9820 ,6.5480 
2004-05-31,0.8620 ,4.8560 ,8.0320 ,4.2170 ,9.0620 ,37.2780 ,NA,253.3080 ,6.4890 ,6.8130 
2004-06-30,0.6620 ,4.8690 ,8.0460 ,4.3620 ,8.8260 ,39.3960 ,NA,256.0680 ,6.9810 ,7.2240 
2004-07-30,0.6580 ,4.9000 ,8.1490 ,4.5300 ,8.8030 ,38.7290 ,NA,256.4840 ,6.9650 ,7.2930 
2004-08-31,0.6750 ,5.8300 ,8.1110 ,4.2500 ,8.8940 ,37.7230 ,NA,256.3100 ,6.3940 ,6.9590 
2004-09-30,0.7160 ,5.8100 ,8.0550 ,4.2340 ,9.6360 ,37.7270 ,NA,255.9050 ,6.3890 ,7.0240 
2004-10-29,0.6990 ,5.8200 ,7.9250 ,4.4430 ,9.4860 ,48.0990 ,NA,257.3680 ,6.4370 ,7.0880 
2004-11-30,0.7030 ,5.8210 ,7.8680 ,4.4630 ,9.4860 ,45.7870 ,NA,260.4860 ,6.4250 ,7.1580 
2004-12-31,0.7010 ,5.8500 ,8.0280 ,4.4630 ,9.6430 ,48.8990 ,NA,266.2310 ,6.0460 ,8.7370 
2005-01-31,0.7010 ,6.0060 ,8.0160 ,4.5720 ,10.3260 ,48.7680 ,NA,266.2410 ,7.9270 ,9.0290 
2005-02-28,0.7020 ,6.9210 ,7.7780 ,4.5180 ,10.2550 ,48.7640 ,NA,266.1170 ,5.2450 ,9.1170 
2005-03-31,0.7280 ,7.1970 ,9.8780 ,4.5340 ,12.3880 ,49.3750 ,NA,268.4130 ,5.2320 ,9.6450 
2005-04-29,0.8460 ,7.1900 ,10.2670 ,4.5210 ,12.4160 ,49.3640 ,NA,265.1190 ,5.2170 ,9.7110 
2005-05-31,0.8490 ,7.2110 ,10.7040 ,4.7070 ,12.5500 ,49.5940 ,NA,268.8180 ,7.0930 ,9.7940 
2005-06-30,0.7660 ,7.2760 ,10.0660 ,4.5590 ,12.3020 ,49.2360 ,NA,304.7310 ,8.7280 ,10.4860 
2005-07-29,0.7550 ,7.2680 ,9.9100 ,5.0490 ,12.1380 ,48.2600 ,NA,313.7390 ,16.5290 ,10.8050 
2005-08-31,0.7920 ,6.4500 ,10.0540 ,4.8430 ,12.0440 ,48.2480 ,NA,365.2430 ,8.9820 ,10.8280 
2005-09-30,0.8360 ,6.4440 ,10.0960 ,4.8390 ,11.8690 ,48.5660 ,NA,365.5530 ,9.0580 ,11.4250 
2005-10-31,0.8480 ,6.5140 ,10.1500 ,7.6700 ,11.7920 ,48.6210 ,NA,304.2230 ,8.3470 ,11.4730 
2005-11-30,0.8550 ,6.4470 ,10.0560 ,4.7720 ,11.8310 ,48.4590 ,NA,328.5280 ,8.3410 ,11.4020 
2005-12-30,0.8510 ,6.4590 ,10.0000 ,4.7890 ,12.6960 ,49.1470 ,NA,325.4610 ,8.8550 ,11.6030 
2006-01-31,0.8590 ,6.2400 ,10.0260 ,4.9930 ,12.7380 ,48.9720 ,NA,325.4940 ,13.7790 ,11.6620 
2006-02-28,0.8760 ,6.3280 ,10.0300 ,5.0830 ,13.2370 ,48.9710 ,NA,331.7600 ,13.5470 ,12.6730 
2006-03-31,0.9100 ,6.2690 ,9.9580 ,5.2040 ,14.2120 ,48.9780 ,NA,334.1690 ,13.7240 ,13.4110 
2006-04-28,0.8880 ,6.3570 ,9.8760 ,5.3940 ,14.2700 ,48.9940 ,NA,340.7060 ,13.6680 ,13.3300 
2006-05-31,0.8790 ,6.5470 ,9.9110 ,5.6140 ,13.9700 ,50.8110 ,NA,253.7530 ,14.5370 ,13.6620 
2006-06-30,0.8460 ,6.3660 ,10.1490 ,5.5790 ,13.9110 ,46.3340 ,NA,351.2300 ,11.4750 ,13.7220 
2006-07-31,0.8440 ,6.3560 ,10.9580 ,5.5830 ,14.1010 ,51.4720 ,NA,440.1730 ,10.5790 ,13.7960 
2006-08-31,0.8740 ,6.3550 ,11.1460 ,5.5720 ,15.0240 ,52.6160 ,NA,440.6350 ,10.5200 ,14.6850 
2006-09-29,0.8800 ,6.3240 ,11.1960 ,5.5950 ,14.5970 ,52.7100 ,NA,438.5640 ,8.9650 ,15.4790 
