,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
1988-01-29,9.1200 ,10.2310 ,24.0900 ,6.6670 ,8.6370 ,3.5620 ,5.9680 ,10.7360 ,20.8410 ,12.5380 ,6.6790 ,10.6150 ,63.6580 ,1.8680 
1988-02-29,9.1580 ,10.3970 ,23.3090 ,8.0810 ,12.3390 ,3.2680 ,6.4450 ,10.4600 ,22.8470 ,11.1740 ,6.6010 ,11.0410 ,67.9990 ,1.7710 
1988-03-31,9.3280 ,10.7040 ,23.4250 ,6.8730 ,8.9400 ,2.9860 ,6.7440 ,10.1540 ,24.8310 ,11.0550 ,6.4170 ,13.2040 ,70.0300 ,1.9260 
1988-04-29,9.3530 ,10.1430 ,24.9950 ,6.9670 ,11.1670 ,3.1890 ,5.6470 ,9.6980 ,25.6250 ,11.1270 ,6.5940 ,12.0830 ,74.6780 ,1.8280 
1988-05-31,9.6870 ,11.0520 ,26.0130 ,7.1940 ,12.3890 ,3.1810 ,7.6040 ,8.9740 ,25.6970 ,10.4890 ,6.5880 ,12.1340 ,70.3200 ,1.7120 
1988-06-30,9.7270 ,9.3100 ,26.0610 ,7.4710 ,12.2380 ,3.2970 ,10.8830 ,8.6720 ,24.4840 ,11.4070 ,6.8840 ,11.1770 ,77.6820 ,1.8140 
1988-07-29,9.7010 ,8.7380 ,24.8810 ,7.2810 ,10.3100 ,3.1720 ,10.7710 ,8.0570 ,18.8790 ,11.4740 ,6.6850 ,11.9040 ,70.0990 ,1.8310 
1988-08-31,9.7890 ,9.1240 ,23.3500 ,7.2430 ,10.6500 ,3.5990 ,10.9860 ,7.7460 ,20.6010 ,10.3980 ,6.4620 ,11.5010 ,60.8980 ,1.8310 
1988-09-30,9.8080 ,9.1510 ,25.6770 ,7.8010 ,11.9750 ,3.8170 ,10.3930 ,6.3460 ,22.9740 ,11.0460 ,6.6550 ,11.8930 ,72.7990 ,1.9170 
1988-10-31,9.9820 ,9.4500 ,28.1940 ,7.6660 ,13.0690 ,4.0330 ,12.5230 ,6.9160 ,22.0270 ,12.3250 ,6.5050 ,13.2410 ,85.5930 ,1.9650 
1988-11-30,10.0280 ,9.5010 ,25.8210 ,7.1610 ,12.3480 ,4.1380 ,11.5620 ,11.0860 ,22.5270 ,11.8620 ,6.9030 ,12.0690 ,87.2070 ,2.1580 
1988-12-30,10.1040 ,9.6000 ,26.7390 ,7.7920 ,13.2130 ,4.2430 ,11.7680 ,8.1230 ,23.9370 ,12.3870 ,6.8430 ,14.4370 ,90.8640 ,2.1510 
1989-01-31,10.1950 ,10.0440 ,30.4860 ,7.5270 ,12.0640 ,4.2920 ,11.5870 ,8.2780 ,24.4650 ,13.0740 ,7.1260 ,14.9770 ,102.3970 ,2.4150 
1989-02-28,10.5630 ,9.8450 ,26.8410 ,7.2890 ,11.6230 ,4.7530 ,10.3090 ,8.1320 ,22.9200 ,11.7900 ,6.9140 ,13.5620 ,85.2620 ,2.1910 
1989-03-31,10.6740 ,10.0990 ,28.7390 ,7.6300 ,12.7800 ,4.9770 ,11.4270 ,10.5240 ,24.6430 ,12.9500 ,6.7470 ,14.7630 ,85.8510 ,2.3270 
1989-04-28,10.7690 ,10.2790 ,28.9800 ,7.8520 ,14.0450 ,5.0410 ,11.2750 ,10.5630 ,27.2670 ,12.9500 ,7.0430 ,16.2350 ,99.4940 ,2.4930 
1989-05-31,10.9310 ,10.3940 ,29.1920 ,7.8370 ,14.8830 ,5.1020 ,11.3970 ,10.6140 ,28.4590 ,13.6030 ,7.1370 ,15.4970 ,86.8590 ,2.6340 
1989-06-30,10.9320 ,10.0640 ,29.5520 ,8.3010 ,14.6920 ,5.6650 ,13.2270 ,9.5480 ,35.1760 ,13.6400 ,6.8610 ,15.5980 ,80.4660 ,2.5480 
1989-07-31,10.9820 ,10.2350 ,30.1370 ,8.1450 ,15.4530 ,5.0940 ,12.4480 ,10.1420 ,27.9160 ,14.1450 ,7.2150 ,16.4770 ,101.8200 ,2.5640 
1989-08-31,11.1410 ,10.0370 ,30.6930 ,8.1560 ,15.6290 ,5.0740 ,13.5930 ,10.6720 ,27.6340 ,14.8280 ,7.2700 ,15.9960 ,95.3220 ,2.5660 
1989-09-29,11.1790 ,9.9080 ,29.7140 ,7.9350 ,15.2510 ,4.6450 ,12.2120 ,9.8260 ,25.3140 ,13.5610 ,7.1940 ,14.8400 ,112.9790 ,2.7130 
1989-10-31,11.3020 ,9.5940 ,29.9430 ,7.3550 ,14.2110 ,4.5690 ,11.7720 ,10.5300 ,24.5500 ,13.3590 ,7.2750 ,14.6370 ,101.1640 ,2.7380 
1989-11-30,11.3810 ,9.9300 ,31.7180 ,8.4060 ,15.7660 ,5.0750 ,12.6390 ,8.6380 ,26.2540 ,14.4820 ,7.3650 ,15.3660 ,102.0540 ,3.2340 
1989-12-29,11.4710 ,9.9340 ,34.1960 ,8.9730 ,15.8620 ,4.8800 ,12.6770 ,8.9730 ,29.2760 ,14.4890 ,7.4980 ,17.6160 ,109.0590 ,3.4760 
1990-01-31,11.4210 ,9.9280 ,31.3660 ,8.4640 ,14.3020 ,4.5870 ,12.2770 ,8.7300 ,26.3990 ,13.5060 ,7.0250 ,17.4580 ,104.3170 ,3.3110 
1990-02-28,11.7170 ,10.3650 ,31.4940 ,7.8330 ,15.2990 ,4.6420 ,13.1000 ,9.5880 ,23.5480 ,13.5500 ,7.2480 ,16.2350 ,112.4840 ,3.2660 
1990-03-30,11.7800 ,9.6850 ,32.2550 ,9.1290 ,15.9170 ,4.9760 ,12.6180 ,9.9460 ,25.6530 ,15.2060 ,7.0800 ,17.1950 ,106.7760 ,3.2780 
