,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
1995-11-30,4.8450 ,15.8320 ,13.5270 ,9.6330 ,20.2530 ,77.5290 ,NA,284.7290 ,NA,15.4130 
1995-12-29,4.5500 ,15.4070 ,13.2830 ,10.3350 ,19.0730 ,49.1080 ,NA,271.6330 ,NA,15.5830 
1996-01-31,4.4250 ,17.2730 ,11.7780 ,10.4840 ,18.3880 ,48.6850 ,NA,225.0250 ,NA,15.4720 
1996-02-29,4.6640 ,17.0580 ,12.4840 ,10.5040 ,19.1720 ,48.3190 ,NA,255.2790 ,NA,14.9270 
1996-03-29,4.6360 ,17.1470 ,12.8470 ,11.1150 ,19.8390 ,51.6770 ,NA,308.4920 ,NA,15.6900 
1996-04-30,4.3800 ,17.6450 ,12.7520 ,11.7150 ,19.9480 ,49.0050 ,NA,283.1390 ,NA,16.3190 
1996-05-31,4.6910 ,14.8440 ,13.0730 ,10.7480 ,19.4090 ,52.7210 ,NA,283.0500 ,NA,16.1100 
1996-06-28,4.1280 ,14.1750 ,14.0760 ,11.0380 ,20.3750 ,45.9920 ,NA,288.0680 ,NA,16.2010 
1996-07-31,3.7650 ,13.0320 ,13.6320 ,11.2780 ,19.4810 ,42.3680 ,NA,291.5350 ,NA,16.3100 
1996-08-30,3.8040 ,12.0540 ,12.9860 ,11.6420 ,21.3170 ,44.6030 ,NA,298.2810 ,NA,16.6500 
1996-09-30,3.9600 ,12.7260 ,12.6060 ,11.1020 ,21.5220 ,46.8660 ,NA,280.9430 ,NA,16.4910 
1996-10-31,3.5540 ,11.2260 ,11.8780 ,11.9120 ,21.9470 ,47.2600 ,NA,287.3320 ,NA,16.5910 
1996-11-29,4.0140 ,11.4180 ,12.5100 ,11.1060 ,22.4550 ,51.9950 ,NA,285.7700 ,NA,17.0610 
1996-12-31,3.9990 ,11.7720 ,11.9310 ,12.0980 ,23.1710 ,52.4550 ,NA,299.0880 ,NA,17.7170 
1997-01-31,3.4260 ,12.6660 ,12.0710 ,11.3490 ,23.1790 ,54.7780 ,NA,301.7920 ,NA,16.8700 
1997-02-28,3.7770 ,9.4400 ,12.2680 ,11.9710 ,23.2820 ,56.5680 ,NA,305.3710 ,NA,17.1320 
1997-03-31,3.2400 ,10.4690 ,10.0670 ,10.4670 ,22.6120 ,57.2660 ,NA,274.2620 ,NA,17.0610 
1997-04-30,3.4960 ,9.0170 ,11.3770 ,12.0760 ,23.4560 ,61.0290 ,NA,292.7080 ,NA,17.1200 
1997-05-30,2.8690 ,8.8690 ,12.0290 ,11.7050 ,24.6890 ,62.8510 ,NA,301.4200 ,NA,16.5680 
1997-06-30,3.0240 ,7.5610 ,13.9190 ,12.0470 ,24.9970 ,65.0680 ,NA,322.0960 ,NA,17.4660 
1997-07-31,3.6110 ,8.9710 ,14.0120 ,11.7330 ,25.6820 ,65.5330 ,NA,334.5540 ,NA,17.5700 
1997-08-29,3.2010 ,9.0630 ,13.9840 ,10.2990 ,22.7170 ,48.1360 ,NA,299.1530 ,NA,16.6970 
1997-09-30,2.5770 ,9.3000 ,14.2480 ,11.3370 ,25.2490 ,65.4720 ,NA,356.5030 ,NA,17.2830 
1997-10-31,2.9270 ,8.0890 ,13.1970 ,11.1170 ,20.1280 ,59.2210 ,NA,285.5220 ,NA,15.6180 
1997-11-28,2.6500 ,9.2260 ,15.1090 ,11.7980 ,23.7040 ,56.2990 ,NA,353.8850 ,NA,17.2730 
1997-12-31,2.9940 ,8.5820 ,14.7390 ,12.3150 ,24.1560 ,64.2510 ,NA,353.4460 ,NA,17.8390 
1998-01-30,3.2090 ,10.5720 ,16.0470 ,11.3570 ,20.4870 ,76.8940 ,NA,326.8660 ,NA,20.0520 
1998-02-27,3.5880 ,7.1290 ,15.1730 ,12.6890 ,19.2440 ,59.6840 ,NA,344.7830 ,NA,17.8230 
1998-03-31,3.0900 ,5.8530 ,14.6170 ,11.7570 ,17.9460 ,52.7090 ,109.8220 ,342.5980 ,14.5700 ,17.2000 
1998-04-30,3.0220 ,5.7700 ,15.9750 ,11.9050 ,16.7130 ,48.2180 ,106.3040 ,343.7850 ,16.5590 ,17.2490 
1998-05-29,3.0740 ,5.4140 ,15.9060 ,11.5830 ,15.4220 ,37.4070 ,106.5800 ,347.3260 ,54.2550 ,17.6920 
1998-06-30,3.0230 ,5.0950 ,16.4200 ,12.4190 ,15.4900 ,21.2410 ,109.0420 ,349.3750 ,39.4920 ,17.2790 
1998-07-31,3.0160 ,4.8060 ,16.2830 ,12.3070 ,14.7130 ,23.8030 ,117.6490 ,347.2570 ,29.9370 ,17.7110 
1998-08-31,2.7270 ,5.3310 ,15.3630 ,12.2470 ,14.8640 ,32.5950 ,122.6300 ,352.2680 ,19.3760 ,19.0050 
1998-09-30,2.3980 ,5.6930 ,14.5340 ,11.6870 ,11.8150 ,34.6300 ,97.2430 ,345.5330 ,11.7870 ,19.3380 
1998-10-30,2.4060 ,6.0600 ,13.8780 ,11.7750 ,10.9490 ,38.0430 ,106.8200 ,349.8470 ,18.2440 ,19.2910 
1998-11-30,2.4200 ,5.8710 ,13.1320 ,11.6040 ,10.7520 ,30.0560 ,118.3510 ,356.5620 ,8.5370 ,18.9240 
1998-12-31,2.3520 ,5.6860 ,11.7740 ,11.8280 ,10.6880 ,-31.4570 ,115.0810 ,366.9780 ,10.5250 ,18.8740 
1999-01-29,2.2380 ,7.6090 ,12.8100 ,11.9390 ,10.3170 ,-37.5810 ,99.4270 ,389.7140 ,12.1000 ,19.2450 
1999-02-26,2.2370 ,9.0620 ,12.7960 ,11.8960 ,10.1060 ,-5.8080 ,64.5790 ,373.9430 ,7.1870 ,18.8520 
1999-03-31,2.2530 ,10.2200 ,12.0600 ,11.6910 ,9.9920 ,-0.6240 ,83.3430 ,400.1700 ,8.9490 ,19.2470 
