,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
1995-11-30,1.0620 ,4.1340 ,2.2100 ,1.4960 ,2.1200 ,14.2140 ,NA,66.7930 ,NA,1.1180 
1995-12-29,0.9030 ,3.8920 ,2.5750 ,1.3600 ,1.7780 ,7.8570 ,NA,70.3420 ,NA,1.2140 
1996-01-31,1.0100 ,4.3940 ,2.0880 ,1.3170 ,1.8490 ,6.6170 ,NA,533.9090 ,NA,1.3220 
1996-02-29,1.1060 ,4.3750 ,2.2700 ,1.1360 ,1.9640 ,6.9100 ,NA,50.8350 ,NA,1.2990 
1996-03-29,1.0300 ,4.3820 ,2.4350 ,1.0860 ,2.0080 ,6.9150 ,NA,78.3850 ,NA,1.3480 
1996-04-30,0.9640 ,4.0550 ,2.1720 ,1.1300 ,2.0030 ,6.1230 ,NA,69.0680 ,NA,1.2480 
1996-05-31,1.0530 ,3.9110 ,2.5750 ,1.1600 ,2.0150 ,6.2460 ,NA,74.7320 ,NA,1.4300 
1996-06-28,1.0260 ,3.2790 ,3.4960 ,1.2070 ,2.2540 ,5.0070 ,NA,70.8220 ,NA,1.8150 
1996-07-31,1.1490 ,4.1710 ,3.3220 ,1.1810 ,2.1010 ,4.6760 ,NA,71.5060 ,NA,1.8370 
1996-08-30,1.1690 ,3.8720 ,2.8850 ,1.3570 ,2.2990 ,4.8580 ,NA,75.5120 ,NA,1.6410 
1996-09-30,1.0570 ,4.3320 ,2.9450 ,1.2270 ,2.5750 ,4.4410 ,NA,68.0670 ,NA,1.7760 
1996-10-31,0.9180 ,3.5270 ,2.5460 ,1.2750 ,2.6840 ,4.5310 ,NA,69.4430 ,NA,1.7800 
1996-11-29,0.9580 ,3.7850 ,2.6570 ,1.2060 ,2.9700 ,4.8230 ,NA,64.5850 ,NA,1.6570 
1996-12-31,0.9300 ,3.9650 ,2.5180 ,1.3360 ,2.6660 ,4.7780 ,NA,69.7720 ,NA,1.6320 
1997-01-31,0.7800 ,3.8150 ,2.3920 ,1.3180 ,2.5490 ,5.0060 ,NA,58.9090 ,NA,1.6060 
1997-02-28,0.9720 ,2.4480 ,2.3590 ,1.4290 ,2.6000 ,5.1470 ,NA,78.0440 ,NA,1.6000 
1997-03-31,0.8680 ,3.0910 ,1.9430 ,1.2890 ,2.6300 ,5.2910 ,NA,64.2810 ,NA,1.7070 
1997-04-30,0.9610 ,2.9930 ,2.4330 ,1.5950 ,2.8310 ,6.1190 ,NA,64.9270 ,NA,1.7410 
1997-05-30,0.7340 ,2.9810 ,2.5050 ,1.6360 ,2.9600 ,6.3230 ,NA,70.5280 ,NA,1.5580 
1997-06-30,0.6610 ,2.5230 ,3.0240 ,1.5370 ,2.9700 ,7.5060 ,NA,80.2710 ,NA,1.7040 
1997-07-31,0.8100 ,2.8840 ,3.1540 ,1.4560 ,2.9530 ,6.9390 ,NA,87.8090 ,NA,1.7810 
1997-08-29,0.6950 ,2.6960 ,3.2780 ,1.2910 ,2.5920 ,5.1510 ,NA,74.6700 ,NA,1.6280 
1997-09-30,0.5970 ,2.7690 ,3.1030 ,1.3280 ,2.8710 ,7.5300 ,NA,77.0560 ,NA,1.5460 
1997-10-31,0.6520 ,2.3010 ,2.8060 ,1.2660 ,2.5620 ,8.4070 ,NA,59.9530 ,NA,1.4200 
1997-11-28,0.5460 ,2.7540 ,3.1600 ,1.3300 ,3.8040 ,8.2480 ,NA,69.6970 ,NA,1.4880 
1997-12-31,0.6810 ,2.6950 ,3.1520 ,1.5470 ,4.9480 ,12.3050 ,NA,67.2170 ,NA,1.3590 
1998-01-30,0.7650 ,3.1530 ,3.4640 ,1.4930 ,5.1460 ,17.5670 ,NA,52.9360 ,NA,1.6000 
1998-02-27,0.9340 ,4.1940 ,3.0390 ,1.7220 ,5.7000 ,20.2400 ,NA,70.6810 ,NA,1.7620 
1998-03-31,0.6460 ,4.2380 ,2.9220 ,1.5470 ,6.2450 ,29.1170 ,30.0960 ,68.8240 ,4.1920 ,2.1800 
1998-04-30,0.6500 ,4.6860 ,3.3170 ,1.5240 ,6.2040 ,36.1240 ,27.3640 ,71.0640 ,6.1180 ,1.6500 
1998-05-29,0.6860 ,4.6940 ,3.4390 ,1.3980 ,5.9310 ,47.8230 ,27.0440 ,67.1870 ,6.2850 ,1.5170 
1998-06-30,0.7080 ,4.8310 ,3.6080 ,1.5370 ,6.3430 ,74.3770 ,26.5240 ,75.0320 ,29.7830 ,1.8500 
1998-07-31,0.6510 ,4.4940 ,3.7720 ,1.5710 ,6.5000 ,90.6880 ,26.5630 ,74.0920 ,24.8270 ,1.8940 
1998-08-31,0.7360 ,5.5210 ,4.1490 ,1.5470 ,7.8180 ,109.5870 ,27.6840 ,71.1230 ,12.8340 ,2.4950 
