,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
1988-01-29,1.8270 ,4.5160 ,3.6980 ,1.0880 ,2.3350 ,5.4970 ,10.1600 ,0.4920 ,8.5180 ,2.0750 ,3.2410 ,4.0260 ,20.2200 ,0.5600 
1988-02-29,1.9310 ,4.5700 ,3.6800 ,1.9090 ,2.7760 ,6.5260 ,3.7760 ,2.0620 ,8.9540 ,2.2270 ,3.2530 ,4.4830 ,19.4610 ,0.5480 
1988-03-31,2.0610 ,4.2140 ,4.1570 ,1.5380 ,2.3670 ,4.4590 ,2.5030 ,1.7940 ,10.6000 ,2.1330 ,3.1950 ,5.1840 ,20.4160 ,0.6450 
1988-04-29,2.0780 ,4.4230 ,4.4980 ,1.5480 ,3.0680 ,4.4980 ,2.1700 ,1.7950 ,15.9670 ,1.9390 ,5.7250 ,5.2180 ,22.0000 ,0.6260 
1988-05-31,2.1720 ,4.5380 ,4.2310 ,0.9990 ,2.7890 ,4.4390 ,4.3890 ,1.8680 ,9.3670 ,1.7450 ,5.5710 ,4.4240 ,20.8210 ,0.6510 
1988-06-30,2.1650 ,4.5210 ,4.1370 ,1.4020 ,2.7470 ,3.8640 ,1.4190 ,1.5330 ,8.8860 ,2.1510 ,5.0300 ,4.4350 ,22.4700 ,0.6200 
1988-07-29,2.1910 ,4.5480 ,3.6780 ,1.1060 ,2.3590 ,2.9890 ,2.2200 ,1.0530 ,7.5110 ,2.1620 ,4.0370 ,4.0860 ,19.6710 ,0.6370 
1988-08-31,2.0820 ,4.6830 ,3.0060 ,1.3350 ,3.0850 ,3.1440 ,2.4050 ,1.1440 ,8.3650 ,2.3250 ,3.4470 ,4.2840 ,17.6840 ,0.8260 
1988-09-30,2.1020 ,4.6530 ,3.3390 ,1.4050 ,3.6110 ,3.7280 ,2.3690 ,1.7620 ,8.9490 ,2.2700 ,3.7720 ,4.2850 ,18.5950 ,0.8680 
1988-10-31,2.1470 ,4.6100 ,3.6440 ,1.3130 ,3.6070 ,1.9100 ,2.2680 ,3.0850 ,11.4680 ,1.9680 ,3.4270 ,4.8380 ,18.2300 ,0.8490 
