,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
1988-01-29,-140.0000 ,-51.0000 ,-139.0000 ,-167.0000 ,167.0000 ,-1000.0000 ,500.0000 ,-1000.0000 ,250.0000 ,333.0000 ,-17.0000 ,-407.0000 ,-150.0000 ,435.0000 
1988-02-29,-19.0000 ,-39.0000 ,-110.0000 ,745.0000 ,67.0000 ,-200.0000 ,333.0000 ,1000.0000 ,200.0000 ,0.0000 ,115.0000 ,-69.0000 ,143.0000 ,174.0000 
1988-03-31,26.0000 ,-182.0000 ,67.0000 ,-89.0000 ,419.0000 ,455.0000 ,200.0000 ,1000.0000 ,667.0000 ,0.0000 ,247.0000 ,-79.0000 ,138.0000 ,-43.0000 
1988-04-29,-8.0000 ,-197.0000 ,224.0000 ,244.0000 ,357.0000 ,417.0000 ,-200.0000 ,-500.0000 ,333.0000 ,333.0000 ,186.0000 ,66.0000 ,480.0000 ,185.0000 
1988-05-31,75.0000 ,64.0000 ,343.0000 ,22.0000 ,125.0000 ,0.0000 ,0.0000 ,-1000.0000 ,700.0000 ,667.0000 ,235.0000 ,-410.0000 ,0.0000 ,409.0000 
1988-06-30,68.0000 ,-111.0000 ,282.0000 ,152.0000 ,88.0000 ,214.0000 ,-143.0000 ,-1000.0000 ,417.0000 ,765.0000 ,477.0000 ,226.0000 ,40.0000 ,130.0000 
1988-07-29,85.0000 ,-136.0000 ,258.0000 ,182.0000 ,378.0000 ,368.0000 ,462.0000 ,600.0000 ,-250.0000 ,647.0000 ,364.0000 ,125.0000 ,37.0000 ,263.0000 
1988-08-31,52.0000 ,-62.0000 ,336.0000 ,619.0000 ,68.0000 ,53.0000 ,385.0000 ,235.0000 ,77.0000 ,368.0000 ,513.0000 ,333.0000 ,367.0000 ,326.0000 
1988-09-30,10.0000 ,-284.0000 ,163.0000 ,304.0000 ,-162.0000 ,263.0000 ,-154.0000 ,176.0000 ,143.0000 ,211.0000 ,278.0000 ,34.0000 ,167.0000 ,208.0000 
1988-10-31,-177.0000 ,-358.0000 ,67.0000 ,0.0000 ,264.0000 ,-263.0000 ,-154.0000 ,129.0000 ,313.0000 ,238.0000 ,68.0000 ,210.0000 ,406.0000 ,271.0000 
1988-11-30,-50.0000 ,-293.0000 ,83.0000 ,-167.0000 ,83.0000 ,-211.0000 ,375.0000 ,233.0000 ,438.0000 ,381.0000 ,13.0000 ,32.0000 ,188.0000 ,106.0000 
1988-12-30,-83.0000 ,-207.0000 ,-238.0000 ,214.0000 ,139.0000 ,650.0000 ,167.0000 ,-500.0000 ,133.0000 ,286.0000 ,168.0000 ,47.0000 ,375.0000 ,22.0000 
1989-01-31,-83.0000 ,-293.0000 ,-65.0000 ,1000.0000 ,879.0000 ,333.0000 ,0.0000 ,1000.0000 ,625.0000 ,200.0000 ,378.0000 ,-188.0000 ,143.0000 ,444.0000 
1989-02-28,77.0000 ,24.0000 ,351.0000 ,750.0000 ,409.0000 ,333.0000 ,200.0000 ,-1000.0000 ,375.0000 ,778.0000 ,59.0000 ,-94.0000 ,448.0000 ,255.0000 
1989-03-31,69.0000 ,-159.0000 ,-17.0000 ,333.0000 ,212.0000 ,667.0000 ,-200.0000 ,1000.0000 ,688.0000 ,333.0000 ,156.0000 ,-123.0000 ,667.0000 ,149.0000 
1989-04-28,-221.0000 ,-85.0000 ,323.0000 ,231.0000 ,409.0000 ,0.0000 ,0.0000 ,333.0000 ,625.0000 ,NA,507.0000 ,-63.0000 ,433.0000 ,306.0000 
1989-05-31,-102.0000 ,-207.0000 ,420.0000 ,77.0000 ,209.0000 ,556.0000 ,0.0000 ,800.0000 ,-63.0000 ,53.0000 ,-13.0000 ,-161.0000 ,258.0000 ,143.0000 
1989-06-30,-33.0000 ,-463.0000 ,133.0000 ,806.0000 ,493.0000 ,842.0000 ,600.0000 ,333.0000 ,438.0000 ,143.0000 ,386.0000 ,32.0000 ,97.0000 ,41.0000 
1989-07-31,-190.0000 ,-256.0000 ,85.0000 ,238.0000 ,197.0000 ,700.0000 ,222.0000 ,0.0000 ,529.0000 ,91.0000 ,386.0000 ,333.0000 ,-677.0000 ,220.0000 
1989-08-31,-169.0000 ,-301.0000 ,-87.0000 ,644.0000 ,239.0000 ,0.0000 ,-259.0000 ,257.0000 ,59.0000 ,0.0000 ,270.0000 ,-145.0000 ,-548.0000 ,140.0000 
1989-09-29,-184.0000 ,-195.0000 ,-70.0000 ,319.0000 ,57.0000 ,800.0000 ,310.0000 ,-111.0000 ,444.0000 ,304.0000 ,160.0000 ,-150.0000 ,65.0000 ,-20.0000 
1989-10-31,-306.0000 ,-169.0000 ,-179.0000 ,47.0000 ,-129.0000 ,400.0000 ,-321.0000 ,-389.0000 ,278.0000 ,652.0000 ,103.0000 ,-148.0000 ,-63.0000 ,255.0000 
1989-11-30,-379.0000 ,-434.0000 ,-310.0000 ,98.0000 ,-113.0000 ,400.0000 ,-207.0000 ,-243.0000 ,-118.0000 ,130.0000 ,-28.0000 ,-475.0000 ,-156.0000 ,60.0000 
1989-12-29,-330.0000 ,-518.0000 ,-270.0000 ,-220.0000 ,-39.0000 ,650.0000 ,-235.0000 ,-27.0000 ,-313.0000 ,-91.0000 ,-238.0000 ,-150.0000 ,-63.0000 ,-60.0000 
1990-01-31,-288.0000 ,-542.0000 ,-111.0000 ,500.0000 ,154.0000 ,NA,333.0000 ,NA,-333.0000 ,1000.0000 ,30.0000 ,-283.0000 ,161.0000 ,83.0000 
1990-02-28,-287.0000 ,-301.0000 ,-320.0000 ,600.0000 ,0.0000 ,1000.0000 ,333.0000 ,NA,500.0000 ,1000.0000 ,-22.0000 ,-383.0000 ,125.0000 ,375.0000 
1990-03-30,-245.0000 ,-386.0000 ,-309.0000 ,250.0000 ,111.0000 ,500.0000 ,333.0000 ,1000.0000 ,867.0000 ,579.0000 ,-122.0000 ,-410.0000 ,-94.0000 ,192.0000 
1990-04-30,-345.0000 ,-566.0000 ,347.0000 ,273.0000 ,217.0000 ,500.0000 ,455.0000 ,375.0000 ,-188.0000 ,-263.0000 ,-128.0000 ,-466.0000 ,161.0000 ,96.0000 
1990-05-31,-267.0000 ,-639.0000 ,-147.0000 ,467.0000 ,231.0000 ,333.0000 ,0.0000 ,591.0000 ,-400.0000 ,-48.0000 ,160.0000 ,-509.0000 ,94.0000 ,19.0000 
1990-06-29,-213.0000 ,-614.0000 ,-221.0000 ,-29.0000 ,365.0000 ,0.0000 ,524.0000 ,351.0000 ,0.0000 ,-364.0000 ,27.0000 ,-333.0000 ,-194.0000 ,200.0000 
1990-07-31,-317.0000 ,-663.0000 ,-305.0000 ,-209.0000 ,-348.0000 ,474.0000 ,-241.0000 ,-81.0000 ,0.0000 ,-273.0000 ,402.0000 ,-195.0000 ,65.0000 ,-94.0000 
1990-08-31,-317.0000 ,-506.0000 ,-600.0000 ,-289.0000 ,-286.0000 ,-300.0000 ,-91.0000 ,-108.0000 ,188.0000 ,-286.0000 ,-105.0000 ,-465.0000 ,258.0000 ,208.0000 
1990-09-28,-529.0000 ,-458.0000 ,-710.0000 ,-778.0000 ,-479.0000 ,-700.0000 ,-394.0000 ,-81.0000 ,-188.0000 ,-318.0000 ,-69.0000 ,-208.0000 ,-323.0000 ,-321.0000 
1990-10-31,-555.0000 ,-530.0000 ,-593.0000 ,-690.0000 ,-614.0000 ,-750.0000 ,-500.0000 ,-514.0000 ,-563.0000 ,-273.0000 ,-276.0000 ,-34.0000 ,-323.0000 ,-56.0000 
1990-11-30,-551.0000 ,-651.0000 ,-608.0000 ,-450.0000 ,-333.0000 ,-700.0000 ,-429.0000 ,-568.0000 ,-500.0000 ,-545.0000 ,-165.0000 ,-475.0000 ,-355.0000 ,-291.0000 
1990-12-31,-513.0000 ,-687.0000 ,-507.0000 ,-262.0000 ,-297.0000 ,-700.0000 ,-559.0000 ,-378.0000 ,-765.0000 ,-429.0000 ,-251.0000 ,-621.0000 ,-161.0000 ,-291.0000 
1991-01-31,-478.0000 ,-622.0000 ,-469.0000 ,-91.0000 ,238.0000 ,-1000.0000 ,-167.0000 ,278.0000 ,-71.0000 ,-429.0000 ,-64.0000 ,-500.0000 ,-379.0000 ,-283.0000 
1991-02-28,-418.0000 ,-651.0000 ,-441.0000 ,-333.0000 ,-50.0000 ,-1000.0000 ,-667.0000 ,-444.0000 ,0.0000 ,-571.0000 ,-86.0000 ,-552.0000 ,-333.0000 ,-453.0000 
1991-03-29,-387.0000 ,-494.0000 ,-472.0000 ,419.0000 ,0.0000 ,-333.0000 ,0.0000 ,-108.0000 ,-563.0000 ,667.0000 ,-27.0000 ,-776.0000 ,-161.0000 ,-510.0000 
1991-04-30,-482.0000 ,-627.0000 ,94.0000 ,-217.0000 ,243.0000 ,200.0000 ,538.0000 ,-105.0000 ,-353.0000 ,-409.0000 ,143.0000 ,-500.0000 ,-167.0000 ,-96.0000 
