,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
2007-12-17,1283.05,655.1,4824.8,8573.84,3988.2,6388.95,28104,9930.5,797.6,381.42,13298,5805.3,20320,301.34
2007-12-18,1291.26,655.35,4826,8604.45,3983.5,6342.56,28100,9905.3,793.49,380.66,13216,5725.3,20498,305.96
2007-12-19,1289.94,655.52,4834,8580.66,3971.7,6287.18,27909,9849.5,795.83,380.62,13133,5728,20747,303.13
2007-12-20,1298.52,658.26,4870.7,8601.75,3981.4,6293.17,27835,9803.4,791.07,383.68,13085,5698.6,20730,304.25
2007-12-21,1318.99,665.58,4944.1,8746.11,4047.6,6349.29,27990,9899.8,807.11,389.3,13316,5820.1,21356,307.97
2007-12-24,1326.48,671.41,4971.7,8746.11,4056.6,6349.29,27990,9899.8,807.11,390.43,13316,5835.7,21668,312.5
2007-12-25,1326.48,671.41,4971.7,8746.11,4056.6,6349.29,27990,9899.8,807.11,390.43,13625,5835.7,21668,312.5
2007-12-26,1329.34,671.41,4971.7,8746.11,4056.6,6349.29,27990,9899.8,807.11,390.43,13655,5835.7,21668,315.41
2007-12-27,1311.73,669.08,4993.9,8784.5,4063.1,6361.27,28118,9873.2,801.63,390.58,13586,5870.7,21340,315.63
2007-12-28,1307.99,677.73,4975.9,8807.21,4060.2,6338.07,28257,9805.7,805.93,389.6,13268,5865.2,20907,310.35
2007-12-31,1300.72,676.73,4937.3,8807.21,4047.6,6338.07,28257,9805.7,805.93,390.02,13268,5842.2,21370,316.45
2008-01-01,1300.72,676.73,4937.3,8807.21,4047.6,6338.07,28257,9805.7,805.93,390.02,13268,5842.2,21370,316.45
2008-01-02,1284.21,679.64,4921.6,8681.77,4001.5,6338.07,27884,9711,786.6,385.3,13268,5827.4,21185,314.44
2008-01-03,1284.43,685.38,4965.2,8626.62,3999.7,6227.32,27894,9585.7,781.58,384.51,13268,5825.6,20694,305.81
2008-01-04,1252.96,676.56,4857.7,8530.38,3927.4,6077.66,27426,9428,756.29,378.32,12776,5837.6,21181,310.35
