,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
1997-01-31,5.5750 ,2.7601 ,5.0144 ,0.1987 ,1.8326 ,3.3540 ,1.9155 ,2.4934 ,4.3567 ,6.0685 ,2.3598 ,2.9188 ,3.6270 ,12.1993 
1997-02-28,5.3951 ,2.8185 ,5.1486 ,1.2129 ,2.5361 ,3.3048 ,1.9064 ,2.7629 ,3.6945 ,6.8340 ,2.4035 ,2.6302 ,3.9501 ,10.4198 
1997-03-31,5.4441 ,2.8356 ,5.1744 ,1.2129 ,2.5361 ,3.3048 ,1.9064 ,2.7629 ,3.6945 ,6.8340 ,2.4102 ,2.6302 ,3.9501 ,10.4198 
1997-04-30,5.4547 ,2.8357 ,5.2184 ,1.2129 ,2.5361 ,3.3208 ,1.9064 ,2.7629 ,3.6876 ,6.8340 ,2.4313 ,2.6302 ,3.9501 ,10.4198 
1997-05-30,6.1886 ,2.8536 ,5.0459 ,1.2129 ,2.5413 ,3.3208 ,1.9064 ,2.7629 ,3.6876 ,6.8364 ,2.9583 ,2.6231 ,4.0752 ,10.3921 
1997-06-30,6.2441 ,2.8637 ,5.0572 ,1.2129 ,2.5436 ,3.3304 ,1.9064 ,2.7629 ,3.6876 ,6.8364 ,2.9676 ,2.6231 ,4.1126 ,10.3921 
1997-07-31,6.2557 ,2.8744 ,5.0597 ,1.2129 ,2.5436 ,3.3304 ,1.1790 ,2.7629 ,3.6876 ,6.8364 ,2.9676 ,2.3247 ,4.1126 ,10.3921 
1997-08-29,6.3683 ,2.9548 ,5.0740 ,1.2673 ,2.5436 ,3.3304 ,1.1826 ,2.7629 ,3.6876 ,6.8364 ,2.9676 ,2.3665 ,4.3061 ,11.5547 
1997-09-30,6.3821 ,3.0186 ,5.0807 ,1.2619 ,2.5436 ,3.3304 ,1.1845 ,2.7629 ,3.6876 ,6.8364 ,2.9709 ,2.3822 ,4.3061 ,11.2562 
1997-10-31,6.3734 ,3.0199 ,5.0807 ,1.2619 ,2.5425 ,3.3304 ,1.1845 ,2.7629 ,3.6876 ,6.8364 ,2.9709 ,2.3822 ,4.3061 ,11.3290 
1997-11-28,6.4965 ,3.0279 ,5.0713 ,1.2789 ,2.8504 ,3.3304 ,1.1845 ,2.7728 ,3.6876 ,6.8364 ,2.9711 ,2.3912 ,4.3589 ,11.0637 
1997-12-31,6.5134 ,3.0391 ,5.1432 ,1.2861 ,2.8499 ,3.3304 ,1.1845 ,2.7728 ,3.6876 ,6.8364 ,2.9709 ,2.9419 ,4.3589 ,11.0637 
1998-01-30,6.5207 ,3.0493 ,5.1432 ,1.2861 ,2.8443 ,3.3304 ,1.1845 ,2.7743 ,3.7155 ,6.8439 ,2.9728 ,2.9419 ,4.3589 ,11.0637 
1998-02-27,5.6332 ,3.2567 ,5.6781 ,1.7290 ,2.7238 ,3.9774 ,2.1275 ,2.9473 ,4.3881 ,6.8369 ,3.0067 ,2.9921 ,3.6878 ,9.1058 
1998-03-31,5.6746 ,3.2663 ,5.7260 ,1.7290 ,2.7238 ,3.9847 ,2.1275 ,2.9473 ,4.6955 ,6.8369 ,3.0063 ,2.9921 ,3.6878 ,8.5782 
1998-04-30,5.6763 ,3.2661 ,5.7177 ,1.7290 ,2.7238 ,4.0126 ,2.1275 ,2.9473 ,4.6955 ,6.8369 ,2.9911 ,2.9921 ,3.6878 ,8.5782 
1998-05-29,6.0979 ,3.2660 ,5.4328 ,1.7290 ,2.7256 ,4.0126 ,2.1275 ,2.9473 ,4.7184 ,6.9258 ,3.0606 ,3.0256 ,3.6936 ,8.6893 
1998-06-30,6.1343 ,3.2510 ,5.4185 ,1.7290 ,2.7595 ,4.0126 ,2.1275 ,2.9473 ,4.7184 ,6.8698 ,3.0606 ,3.0256 ,3.6936 ,8.6893 
1998-07-31,6.1614 ,3.3282 ,5.4296 ,1.7290 ,2.7595 ,4.0126 ,2.1275 ,2.9473 ,4.7184 ,6.8698 ,3.0606 ,2.4780 ,3.6936 ,8.6893 
