,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
1997-01-31,2.9039 ,1.3972 ,2.4250 ,0.7793 ,0.2663 ,1.4752 ,1.3662 ,1.3291 ,3.5108 ,2.1204 ,0.4046 ,2.5637 ,5.3690 ,1.9329 
1997-02-28,3.0973 ,1.3771 ,2.5461 ,0.9902 ,0.9223 ,0.5821 ,1.4514 ,1.2497 ,3.4192 ,1.8186 ,0.4192 ,2.3683 ,5.3591 ,2.0095 
1997-03-31,3.1126 ,1.3997 ,2.5472 ,0.9902 ,0.9223 ,0.5821 ,1.4514 ,1.2497 ,3.4192 ,1.8186 ,0.4192 ,2.3683 ,5.3591 ,2.0095 
1997-04-30,3.1036 ,1.3997 ,2.5494 ,0.9902 ,0.9223 ,0.5803 ,1.4514 ,1.2497 ,3.4192 ,1.8186 ,0.4177 ,2.3683 ,5.3591 ,2.0095 
1997-05-30,3.1333 ,1.4053 ,2.5305 ,0.9902 ,0.9275 ,0.5803 ,1.4514 ,1.2497 ,3.4192 ,1.8004 ,0.6762 ,2.3553 ,5.5870 ,2.0244 
1997-06-30,3.1384 ,1.4012 ,2.5265 ,0.9902 ,0.9252 ,0.5803 ,1.4514 ,1.2497 ,3.4192 ,1.8004 ,0.6847 ,2.3553 ,5.5080 ,2.0244 
1997-07-31,3.1639 ,1.3912 ,2.5282 ,0.9902 ,0.9397 ,0.5803 ,1.1703 ,1.2497 ,3.4192 ,1.8004 ,0.6847 ,2.3121 ,5.5080 ,2.0244 
1997-08-29,3.1684 ,1.4254 ,2.5325 ,0.9810 ,0.9371 ,0.5784 ,1.1692 ,1.2497 ,3.4674 ,1.8004 ,0.6847 ,2.1163 ,5.4645 ,2.0766 
1997-09-30,3.1719 ,1.4896 ,2.5343 ,0.9786 ,0.9369 ,0.5784 ,1.1678 ,1.2497 ,3.4674 ,1.8004 ,0.6851 ,2.1264 ,5.4645 ,2.0705 
1997-10-31,3.1723 ,1.4749 ,2.5255 ,0.9786 ,0.9351 ,0.5784 ,1.1678 ,1.2497 ,3.4674 ,1.8004 ,0.6850 ,2.1264 ,5.4645 ,2.0768 
1997-11-28,3.2088 ,1.4778 ,2.5317 ,0.9839 ,0.9314 ,0.5784 ,1.1678 ,1.2527 ,3.4674 ,1.8004 ,0.6854 ,2.0687 ,5.4596 ,2.0630 
1997-12-31,3.2083 ,1.3922 ,2.5084 ,0.9793 ,0.9688 ,0.5784 ,1.1678 ,1.2527 ,3.4674 ,1.8004 ,0.7213 ,2.2477 ,5.4596 ,2.0630 
