,BOND,CANA,BUND,GILT,JGB
33605,48.4063 ,51.4100 ,53.7500 ,49.7000 ,62.6400 
33606,48.2500 ,51.8200 ,53.7500 ,49.6700 ,62.6400 
33609,48.3438 ,51.8900 ,53.8800 ,49.8000 ,62.8300 
33610,48.5313 ,51.9900 ,53.9100 ,50.0400 ,62.9700 
33611,48.4219 ,52.0700 ,53.8300 ,49.9800 ,62.8700 
33612,48.3281 ,51.8800 ,54.1600 ,50.1400 ,62.8700 
33613,48.0938 ,51.7300 ,54.0500 ,49.6600 ,62.8100 
33616,47.8438 ,51.5400 ,54.0000 ,49.5100 ,62.7000 
33617,47.5000 ,51.2300 ,54.1500 ,49.7700 ,62.7300 
33618,47.4688 ,51.2100 ,54.2300 ,49.9800 ,62.7300 
33619,47.1719 ,51.0700 ,54.0900 ,50.0600 ,62.4800 
33620,47.3438 ,51.1800 ,54.1600 ,50.1500 ,62.7000 
33623,47.5313 ,51.3800 ,54.2200 ,50.2000 ,62.8400 
33624,47.7031 ,51.2100 ,54.3700 ,49.9800 ,62.8700 
33625,47.5625 ,50.9700 ,54.2100 ,49.9400 ,63.1500 
33626,47.2031 ,50.9200 ,54.2400 ,50.0900 ,63.0000 
33627,47.1250 ,50.5800 ,54.1500 ,49.9100 ,62.9300 
33630,47.1563 ,50.1600 ,54.0700 ,49.9100 ,62.9300 
33631,47.4688 ,50.8000 ,54.2400 ,50.1400 ,62.8200 
33632,47.0781 ,50.7500 ,54.2300 ,50.1200 ,62.9000 
33633,46.9375 ,50.5200 ,54.0900 ,50.0700 ,62.7900 
33634,47.0000 ,50.6300 ,54.0500 ,50.0700 ,62.5100 
33637,46.8438 ,50.5300 ,53.9200 ,50.0900 ,62.4900 
33638,47.1094 ,50.4300 ,53.9500 ,50.2500 ,62.1900 
33639,47.3594 ,50.5700 ,53.9200 ,50.3000 ,62.0600 
33640,47.3594 ,50.7200 ,54.0000 ,50.2800 ,62.2400 
33641,47.3906 ,50.7700 ,54.0900 ,50.1200 ,62.2600 
33644,47.3750 ,50.8400 ,54.0400 ,50.2500 ,62.0700 
33645,47.2969 ,50.7200 ,54.1200 ,50.2500 ,62.0700 
33646,47.1406 ,50.7900 ,54.0900 ,50.3600 ,61.9200 
33647,46.7656 ,50.4600 ,54.0800 ,50.3100 ,62.1900 
33648,46.7813 ,50.5900 ,53.8800 ,50.0100 ,61.9900 
33651,46.7813 ,50.2900 ,53.9100 ,50.2000 ,62.2800 
33652,46.5938 ,49.9800 ,53.9100 ,50.3000 ,62.3800 
33653,46.7656 ,50.1300 ,53.8300 ,50.2200 ,62.2000 
33654,46.7969 ,50.3400 ,53.8300 ,50.2700 ,62.3800 
33655,46.6875 ,50.2600 ,53.8100 ,50.0600 ,62.4800 
33658,46.6250 ,49.8900 ,53.8300 ,50.0700 ,62.3400 
33659,46.7656 ,50.1700 ,53.9900 ,50.3300 ,62.3000 
33660,47.1563 ,50.5400 ,54.1500 ,50.4600 ,62.3800 
33661,47.0469 ,50.4700 ,54.2000 ,50.5400 ,62.4600 
33662,47.2813 ,50.4700 ,54.1200 ,50.3300 ,62.4100 
33665,46.8906 ,50.2300 ,54.0800 ,50.2300 ,62.3800 
33666,46.7656 ,50.0500 ,54.1000 ,50.0600 ,62.1400 
33667,46.7969 ,50.0500 ,53.9800 ,49.5000 ,62.1700 
33668,46.5625 ,49.8900 ,53.9300 ,49.3200 ,62.3500 
33669,46.6875 ,49.7700 ,53.8800 ,49.3500 ,62.2700 
33672,46.8906 ,49.8000 ,53.9300 ,49.5000 ,62.3500 
33673,46.9063 ,49.3400 ,53.9300 ,49.2900 ,62.5300 
33674,46.6406 ,49.2500 ,53.8000 ,48.8700 ,62.4900 
