,BOND,CANA,BUND,GILT,JGB
1992-01-02,6.7820 ,8.0800 ,7.9880 ,9.5400 ,5.4200 
1992-01-03,6.8370 ,7.9860 ,8.0010 ,9.5700 ,5.4200 
1992-01-06,6.7980 ,7.9650 ,7.9650 ,9.5200 ,5.3700 
1992-01-07,6.7550 ,7.8900 ,7.9550 ,9.4500 ,5.3300 
1992-01-08,6.7510 ,7.8600 ,7.9620 ,9.4400 ,5.3500 
1992-01-09,6.7820 ,7.9300 ,7.8980 ,9.4000 ,5.3500 
1992-01-10,6.8520 ,8.0140 ,7.9120 ,9.5100 ,5.3700 
1992-01-13,6.9520 ,8.0490 ,7.9270 ,9.5800 ,5.3900 
1992-01-14,7.0280 ,8.1420 ,7.8780 ,9.5300 ,5.3800 
1992-01-15,7.0560 ,8.1600 ,7.8370 ,9.4800 ,5.3800 
1992-01-16,7.1530 ,8.2000 ,7.8930 ,9.4700 ,5.4400 
1992-01-17,7.0860 ,8.1420 ,7.8770 ,9.4200 ,5.3900 
1992-01-20,7.0660 ,8.0920 ,7.8550 ,9.4000 ,5.3600 
1992-01-21,7.0200 ,8.2070 ,7.8070 ,9.4500 ,5.3500 
1992-01-22,7.0930 ,8.2500 ,7.8450 ,9.4500 ,5.2800 
1992-01-23,7.2300 ,8.3230 ,7.8450 ,9.4200 ,5.3100 
1992-01-24,7.2380 ,8.5000 ,7.8650 ,9.4600 ,5.3300 
1992-01-27,7.2540 ,8.4340 ,7.8830 ,9.4500 ,5.3300 
1992-01-28,7.1650 ,8.3000 ,7.8460 ,9.4200 ,5.3500 
1992-01-29,7.2470 ,8.2900 ,7.8390 ,9.4100 ,5.3300 
1992-01-30,7.3070 ,8.3600 ,7.8590 ,9.4200 ,5.3600 
1992-01-31,7.2740 ,8.3450 ,7.8860 ,9.4100 ,5.4300 
1992-02-03,7.3480 ,8.3800 ,7.9170 ,9.4000 ,5.4400 
1992-02-04,7.2670 ,8.4000 ,7.9210 ,9.3600 ,5.5100 
1992-02-05,7.1860 ,8.3360 ,7.9160 ,9.3200 ,5.5500 
1992-02-06,7.2090 ,8.3150 ,7.9090 ,9.3300 ,5.4900 
1992-02-07,7.1770 ,8.3010 ,7.8680 ,9.3600 ,5.4900 
1992-02-10,7.1860 ,8.2790 ,7.8770 ,9.3200 ,5.5300 
1992-02-11,7.2170 ,8.3340 ,7.8600 ,9.3200 ,5.5300 
1992-02-12,7.2660 ,8.3450 ,7.8600 ,9.2900 ,5.5900 
1992-02-13,7.3880 ,8.4480 ,7.8670 ,9.2700 ,5.5000 
1992-02-14,7.3860 ,8.4100 ,7.9140 ,9.3600 ,5.5600 
1992-02-17,7.3880 ,8.4630 ,7.9130 ,9.3300 ,5.4700 
1992-02-18,7.4700 ,8.5500 ,7.9100 ,9.3000 ,5.4700 
1992-02-19,7.3970 ,8.4800 ,7.9350 ,9.3100 ,5.5100 
