,GC,CL,NG,HG,C,S,SI,SB,XBW,SM,BO,W,KC,CT,GC3,CL3,NG3,HG3,C3,S3,SI3,SB3,XBW3,SM3,BO3,W3,KC3,CT3
33603,86.3694 ,86.4741 ,65.6629 ,88.8292 ,95.6038 ,89.1786 ,87.6810 ,110.5430 ,99.6313 ,97.1475 ,82.0302 ,134.5759 ,74.5280 ,89.8971 ,86.1112 ,88.2580 ,74.7580 ,89.5920 ,99.3130 ,87.6880 ,87.2740 ,98.5830 ,98.5000 ,94.3187 ,84.0630 ,131.2600 ,76.4940 ,99.0730 
33610,85.2266 ,84.3032 ,65.2486 ,86.6438 ,95.0336 ,89.3387 ,88.3534 ,102.6822 ,97.4073 ,96.5847 ,82.4234 ,131.7497 ,76.4944 ,91.8114 ,84.9618 ,85.9170 ,75.0630 ,87.7530 ,98.8310 ,87.8050 ,87.9370 ,92.7840 ,96.9700 ,94.1544 ,84.3270 ,129.6240 ,78.2050 ,101.2280 
33617,86.3934 ,84.1675 ,62.4004 ,86.2340 ,98.5498 ,89.7390 ,91.8947 ,101.9452 ,97.4791 ,96.8661 ,82.9038 ,137.3189 ,74.7199 ,86.4938 ,86.0633 ,86.0260 ,73.6520 ,87.4290 ,102.1880 ,88.3640 ,91.4370 ,93.3410 ,96.6130 ,94.8728 ,84.8730 ,138.8380 ,76.7140 ,95.6050 
33624,87.1430 ,84.6650 ,61.6237 ,88.2828 ,98.6449 ,92.5809 ,96.0412 ,103.2963 ,97.3894 ,99.6803 ,85.8304 ,140.9763 ,75.1036 ,84.6403 ,86.8296 ,86.1630 ,72.7480 ,89.1580 ,102.4720 ,91.3160 ,95.4090 ,94.0100 ,96.7780 ,97.7494 ,87.6500 ,142.4850 ,76.9900 ,94.0520 
33631,86.5385 ,86.7002 ,61.1576 ,90.1496 ,100.4505 ,93.1012 ,93.8671 ,102.5593 ,99.3802 ,100.8060 ,85.0004 ,145.4650 ,71.0271 ,81.1003 ,86.2070 ,87.8030 ,73.2300 ,90.4030 ,104.2720 ,91.4690 ,93.2810 ,94.1210 ,98.1300 ,98.2922 ,86.9560 ,145.1020 ,73.3550 ,91.1210 
33638,86.5385 ,87.1525 ,62.0379 ,88.8292 ,101.9710 ,92.5008 ,93.5309 ,98.8746 ,105.9446 ,100.5246 ,82.9912 ,149.3717 ,67.8618 ,83.0298 ,86.2070 ,88.9880 ,75.3400 ,89.0670 ,105.8820 ,90.5490 ,92.9300 ,91.2220 ,101.9390 ,98.0751 ,84.8730 ,148.7490 ,70.5470 ,92.9950 
33645,86.5143 ,87.5254 ,58.7838 ,89.7858 ,99.4877 ,90.7998 ,93.7558 ,97.0407 ,102.8868 ,98.0180 ,81.8519 ,146.1264 ,67.7493 ,81.0165 ,86.1586 ,88.6690 ,72.6270 ,89.6160 ,103.8930 ,89.0540 ,93.0610 ,91.2220 ,100.1090 ,96.2840 ,84.0050 ,151.2730 ,70.5470 ,90.2410 
33652,85.7647 ,82.7988 ,56.2080 ,92.6825 ,100.3836 ,92.2762 ,91.0115 ,104.2774 ,101.0396 ,98.0041 ,84.1902 ,138.6512 ,64.1455 ,81.2483 ,85.4589 ,84.8420 ,70.2170 ,91.5830 ,105.1240 ,90.6260 ,90.4060 ,96.5750 ,98.1960 ,96.6097 ,86.1310 ,146.1310 ,66.9120 ,90.4490 
33659,84.7734 ,83.4720 ,59.1558 ,93.1872 ,99.3669 ,93.0287 ,91.2786 ,98.8210 ,99.1879 ,98.8408 ,86.1691 ,136.8693 ,62.6259 ,84.0424 ,84.5303 ,85.9810 ,72.6270 ,92.1320 ,103.7980 ,91.4310 ,90.7570 ,92.6720 ,97.4210 ,97.5866 ,88.1710 ,142.2980 ,65.3470 ,93.9240 
33666,84.9668 ,84.2798 ,58.4564 ,93.7378 ,101.6777 ,93.3851 ,92.0129 ,100.2760 ,100.8728 ,99.3428 ,86.1261 ,132.5417 ,67.1847 ,83.9248 ,84.7684 ,86.3450 ,71.9040 ,92.5530 ,106.4500 ,91.8530 ,91.4590 ,93.6750 ,99.0700 ,98.2922 ,88.1710 ,140.9890 ,69.3970 ,93.9560 
33673,84.5801 ,84.7734 ,60.7047 ,93.6461 ,102.0475 ,94.4544 ,92.8585 ,101.7311 ,99.1879 ,98.8408 ,90.0839 ,135.8510 ,65.2507 ,80.0572 ,84.3636 ,87.0830 ,73.6660 ,92.8750 ,106.1400 ,92.9950 ,92.2940 ,94.3780 ,99.1600 ,97.7701 ,92.3110 ,144.5410 ,67.3360 ,89.7030 
33680,82.3934 ,86.8378 ,62.1036 ,93.5084 ,99.8290 ,94.2960 ,90.5665 ,101.0035 ,101.9737 ,98.8408 ,88.4492 ,131.4386 ,67.0926 ,80.7925 ,82.1968 ,87.7650 ,75.5500 ,93.1260 ,104.1570 ,92.4480 ,90.0520 ,93.5170 ,99.9210 ,97.4972 ,90.7770 ,138.7350 ,68.4910 ,89.9540 
33687,82.1291 ,86.2544 ,64.0022 ,93.0496 ,100.3836 ,92.8307 ,91.3898 ,101.0035 ,99.2380 ,98.8408 ,85.3087 ,131.6084 ,68.0136 ,82.8807 ,81.9348 ,87.9920 ,75.2120 ,92.5290 ,103.8680 ,91.0280 ,90.8570 ,93.2960 ,99.5570 ,97.4972 ,87.7540 ,138.7350 ,69.4230 ,91.0860 
33694,83.0182 ,87.2417 ,67.7994 ,93.2790 ,97.7030 ,93.1871 ,92.1909 ,105.2474 ,101.0229 ,99.6775 ,85.3087 ,128.6385 ,63.0864 ,86.9100 ,82.7921 ,89.0830 ,78.0870 ,92.7130 ,101.4550 ,91.5510 ,91.6400 ,95.0610 ,101.4130 ,98.5308 ,87.7540 ,135.3080 ,64.9430 ,93.4560 
33701,81.7206 ,90.7870 ,64.2021 ,93.9673 ,95.1149 ,90.3753 ,90.8558 ,118.8277 ,103.9588 ,96.8885 ,83.8030 ,123.7169 ,64.2837 ,87.4100 ,81.4824 ,91.5840 ,77.2420 ,93.6780 ,99.2340 ,88.1900 ,90.2260 ,101.0160 ,104.1530 ,95.1841 ,86.0740 ,132.7150 ,66.4060 ,95.0560 
33708,81.8888 ,89.4134 ,62.7882 ,91.5620 ,93.8063 ,91.0785 ,91.4191 ,115.4505 ,98.7168 ,97.0293 ,83.8167 ,123.0452 ,60.4999 ,84.2230 ,81.5542 ,90.2660 ,75.5500 ,91.9680 ,98.6550 ,88.4880 ,90.7480 ,96.0530 ,101.5520 ,95.5286 ,85.8640 ,132.1590 ,62.5470 ,92.9270 
