,GC,CL,NG,HG,C,S,SI,SB,XBW,SM,BO,W,KC,CT
1991-12-31,-1.0377 ,0.0000 ,21.1244 ,0.1851 ,-3.8835 ,-1.8494 ,-1.4125 ,2.9193 ,-8.4223 ,0.3871 ,-2.7065 ,10.3893 ,-5.6971 ,-4.3459 
1992-01-31,-0.9860 ,-2.8947 ,-6.4834 ,0.4168 ,-3.7003 ,-1.5873 ,-1.2068 ,0.3953 ,-17.4616 ,-0.9427 ,-2.6482 ,7.4140 ,-7.0781 ,-6.1722 
1992-02-28,-1.0465 ,-2.8183 ,-0.5683 ,1.9464 ,-3.2173 ,-2.3506 ,-1.2190 ,-3.2065 ,-5.4798 ,-2.0915 ,-1.9281 ,5.7720 ,-5.3219 ,-4.6522 
1992-03-31,-1.0205 ,-2.5536 ,8.0741 ,0.8636 ,-2.9016 ,-2.1610 ,-1.2543 ,0.7590 ,-5.5464 ,-2.4952 ,-2.1755 ,7.7909 ,-5.2891 ,-3.7921 
1992-04-30,-0.9019 ,-0.5632 ,7.2150 ,-0.6502 ,0.9915 ,-1.9206 ,-1.2962 ,4.9794 ,-1.3549 ,-2.3325 ,-2.6216 ,-1.8342 ,-5.4759 ,-1.0466 
1992-05-29,-0.8534 ,0.1560 ,8.3213 ,-0.2429 ,-2.7943 ,-2.2319 ,-1.2137 ,7.7806 ,1.9512 ,-1.8720 ,-2.7316 ,-2.1981 ,-5.1912 ,-2.8763 
1992-06-30,-0.8386 ,0.4636 ,-2.3068 ,0.6579 ,-2.2318 ,-2.6851 ,-1.2183 ,1.4758 ,0.3179 ,-2.7293 ,-2.9847 ,-3.2521 ,-5.0524 ,2.1536 
1992-07-31,-0.8926 ,1.3920 ,2.9598 ,0.1548 ,-1.2333 ,1.0932 ,-1.1203 ,1.8865 ,7.8006 ,-27.4284 ,-2.6610 ,-3.4393 ,-4.6762 ,4.9998 
1992-08-31,-0.7941 ,1.8384 ,0.9497 ,0.2009 ,-4.1376 ,-2.0990 ,-1.1097 ,2.0997 ,11.1433 ,0.8637 ,-2.5587 ,-2.3415 ,-4.3800 ,5.3675 
1992-09-30,-0.7002 ,1.1931 ,8.1268 ,-0.8004 ,-4.4103 ,-1.9569 ,-1.0242 ,-0.9060 ,0.7348 ,0.3594 ,-2.9653 ,0.1571 ,-2.6943 ,-1.7758 
1992-10-30,-0.7192 ,-0.5189 ,5.6490 ,-0.8806 ,-5.2989 ,-1.7604 ,-1.0822 ,-1.7895 ,6.1901 ,-0.5473 ,-1.2003 ,1.5721 ,-3.1954 ,-0.9691 
1992-11-30,-0.6127 ,-0.1478 ,52.4755 ,-1.5362 ,-5.8286 ,-1.5839 ,-1.3154 ,-3.3261 ,-4.1346 ,-0.2708 ,-1.7398 ,7.1385 ,-6.3680 ,-2.4275 
1992-12-31,-0.5225 ,-1.7529 ,20.8371 ,-0.5805 ,-5.5866 ,-1.8563 ,-1.2524 ,-1.8652 ,-7.3473 ,0.2797 ,-1.5689 ,7.9007 ,-8.4659 ,-2.8520 
1993-01-29,-0.5927 ,-0.8792 ,0.4953 ,-0.8669 ,-6.0122 ,-0.5241 ,-1.1232 ,-5.0008 ,-13.9272 ,-0.1901 ,-1.8892 ,13.3190 ,-15.4345 ,-2.4066 
1993-02-26,-0.6452 ,-0.6683 ,10.6195 ,-1.3776 ,-4.5703 ,-1.2220 ,-0.6586 ,-2.1142 ,-6.3062 ,-1.8437 ,-1.8569 ,9.3297 ,-3.8219 ,-2.1026 
1993-03-31,-0.6849 ,-3.2300 ,15.3010 ,-1.2279 ,-3.7031 ,-1.4041 ,-1.0131 ,-5.3642 ,-2.6265 ,-0.9312 ,-2.2483 ,18.9299 ,-4.4750 ,-1.9777 
1993-04-30,-0.6507 ,-2.4155 ,6.4113 ,-1.3064 ,-2.7280 ,-0.4223 ,-1.0160 ,6.2778 ,0.1479 ,-1.0678 ,-1.7336 ,-1.3275 ,-3.8023 ,-2.0236 
1993-05-31,-0.7723 ,-3.4820 ,1.4071 ,-0.9837 ,-3.3419 ,0.6862 ,-1.1090 ,-2.5645 ,-0.7401 ,1.2210 ,-2.0136 ,-1.6614 ,-4.4426 ,2.5331 
1993-06-30,-0.8173 ,-4.3889 ,-9.1789 ,-0.3132 ,-4.3139 ,-0.5952 ,-1.1720 ,0.8342 ,-0.7952 ,-0.3071 ,-1.8267 ,-4.2771 ,-4.1922 ,-1.1434 
1993-07-30,-0.8104 ,-4.8183 ,-7.1985 ,0.0000 ,-2.7577 ,-0.3759 ,-1.1140 ,-2.1893 ,4.2718 ,3.6034 ,-2.2020 ,-3.0222 ,-3.5938 ,-3.2081 
1993-08-31,-0.7605 ,-4.6721 ,-9.5981 ,-0.3734 ,-3.6757 ,-1.3491 ,-1.0365 ,-2.3928 ,1.7182 ,-0.3139 ,-1.5522 ,-0.8545 ,-2.6629 ,-3.9624 
1993-09-30,-0.8312 ,-2.5502 ,-22.9050 ,-1.2323 ,-3.3883 ,-1.7141 ,-1.1049 ,-1.5798 ,-3.1759 ,-1.6594 ,-0.4216 ,-1.3679 ,-3.5208 ,-2.5320 
1993-10-29,-0.8503 ,-3.7685 ,-1.7810 ,-1.0383 ,-3.2969 ,-1.6910 ,-1.1083 ,-2.0155 ,-1.5300 ,0.3351 ,-1.2750 ,1.2080 ,-3.4401 ,-3.4013 
1993-11-30,-0.7769 ,-4.7862 ,14.7336 ,-1.0056 ,-1.5331 ,-1.5414 ,-1.1507 ,-3.1566 ,-9.3700 ,0.5670 ,-0.0626 ,7.5046 ,-3.5897 ,-2.3772 
1993-12-31,-0.7782 ,-6.8966 ,15.6087 ,-0.6187 ,-1.6739 ,-0.7228 ,-1.0715 ,-2.7397 ,-13.6537 ,-0.5069 ,3.1434 ,8.7105 ,-3.6558 ,-2.6264 
1994-01-31,-0.7949 ,0.0000 ,28.4141 ,1.7051 ,-2.7048 ,-0.7498 ,-1.1009 ,-5.7733 ,-19.1653 ,-0.2647 ,0.6581 ,8.7714 ,-3.8444 ,-0.5078 
1994-02-28,-0.8390 ,-3.7686 ,6.8488 ,-0.1859 ,-1.5293 ,-0.7045 ,-1.0996 ,-2.4234 ,-5.0422 ,-0.4988 ,0.1116 ,4.9049 ,-2.9024 ,-0.9307 
1994-03-31,-1.0566 ,-2.3070 ,-1.8548 ,-0.4635 ,-2.8821 ,-0.4276 ,-1.1626 ,-3.4317 ,-1.2469 ,-0.7459 ,0.3371 ,3.3063 ,-2.9851 ,-1.2686 
1994-04-29,-1.1445 ,3.7901 ,-6.7236 ,0.4349 ,3.4660 ,2.6257 ,-1.3159 ,1.7028 ,-1.7907 ,1.1147 ,4.1453 ,-1.6030 ,-0.7941 ,10.9084 
1994-05-31,-1.3366 ,7.3081 ,-11.9237 ,1.0782 ,3.4910 ,0.0811 ,-1.4172 ,-0.9841 ,2.2703 ,0.0000 ,0.3209 ,-2.9422 ,2.7555 ,7.1308 
1994-06-30,-1.3459 ,8.6902 ,0.4168 ,1.4398 ,1.2052 ,7.3821 ,-1.4788 ,1.3303 ,-0.4517 ,1.0455 ,-0.3786 ,-3.9898 ,22.6131 ,0.0915 
