,GC,CL,NG,HG,C,S,SI,SB,XBW,SM,BO,W,KC,CT
1992-06-30,-0.9744 ,1.3476 ,-0.0361 ,1.1204 ,-0.8643 ,-1.2723 ,-1.2807 ,1.5106 ,0.4583 ,-3.3618 ,-1.8018 ,1.2601 ,-5.3818 ,-0.0386 
1992-07-31,-0.8733 ,1.7598 ,3.3018 ,1.1442 ,-2.2807 ,-0.7670 ,-1.1340 ,1.3926 ,0.3355 ,-4.2221 ,-2.1158 ,-0.1503 ,-5.1471 ,-0.3834 
1992-08-31,-0.8222 ,1.4403 ,4.1357 ,1.0790 ,-2.6559 ,-1.3482 ,-1.1296 ,1.0159 ,0.8581 ,0.2323 ,-2.2859 ,-0.0823 ,-5.4131 ,-0.9807 
1992-09-30,-0.6805 ,1.3608 ,4.9657 ,-0.1068 ,-2.6521 ,-1.5758 ,-1.0303 ,-0.0624 ,-0.7248 ,-0.3361 ,-1.8355 ,1.3366 ,-4.0209 ,-1.5543 
1992-10-30,-0.7521 ,0.3919 ,0.0598 ,-0.6747 ,-3.5495 ,-1.4216 ,-1.1511 ,-0.6668 ,-0.8954 ,-1.0989 ,-1.1906 ,2.2196 ,-3.5172 ,-1.7419 
1992-11-30,-0.8621 ,0.2210 ,-1.5949 ,-0.9097 ,-3.2380 ,-1.4389 ,-1.2809 ,-1.1780 ,-2.4269 ,-1.4593 ,-1.2615 ,1.8107 ,-3.3549 ,-0.9817 
1992-12-31,-0.7519 ,-0.3605 ,-2.3739 ,-0.2230 ,-3.3038 ,-1.5633 ,-1.2473 ,-0.9083 ,0.2258 ,-0.9013 ,-1.0322 ,1.3938 ,-3.1123 ,-0.4532 
1993-01-29,-0.7436 ,-0.2406 ,-2.0090 ,-0.2904 ,-3.8551 ,-1.2308 ,-1.0924 ,-0.7967 ,1.6058 ,-1.4736 ,-0.9430 ,2.9002 ,-5.5760 ,-0.4138 
1993-02-26,-0.7947 ,0.0000 ,1.1860 ,-1.0278 ,-3.3699 ,-0.7634 ,-0.8195 ,3.3103 ,2.1696 ,-1.8313 ,-0.2697 ,0.0206 ,-4.0195 ,-0.2274 
1993-03-31,-0.7156 ,-0.1990 ,2.7619 ,-0.9750 ,-2.6227 ,-1.4030 ,-1.0232 ,2.9354 ,3.2583 ,-0.7296 ,-1.2999 ,2.0569 ,-3.7001 ,-0.6871 
1993-04-30,-0.6733 ,-0.2622 ,3.0062 ,-1.1525 ,-2.5036 ,-1.0179 ,-1.0642 ,4.1034 ,3.5982 ,-0.6886 ,-1.4355 ,-1.0471 ,-3.4761 ,-1.1795 
1993-05-31,-0.7117 ,-0.4322 ,0.6016 ,-0.8986 ,-2.9615 ,-0.5882 ,-1.1285 ,0.3351 ,-0.6546 ,0.0430 ,-1.4709 ,-1.8137 ,-3.5400 ,-0.0862 
1993-06-30,-0.7205 ,-1.4936 ,-1.7439 ,-0.3872 ,-1.9966 ,0.4224 ,-1.1447 ,0.9494 ,-1.3381 ,0.0807 ,-0.9285 ,-1.4936 ,-3.5727 ,-1.5006 
1993-07-30,-0.8184 ,-1.6689 ,-0.2771 ,-0.2002 ,-0.9467 ,1.7176 ,-1.1270 ,-1.2568 ,-2.0237 ,0.4253 ,-0.5295 ,-0.2345 ,-2.8392 ,-0.5317 
1993-08-31,-0.7414 ,-1.5852 ,0.1833 ,-0.3314 ,-0.7093 ,1.4483 ,-1.0442 ,-1.7794 ,-1.8875 ,0.8816 ,0.7981 ,0.2520 ,-3.0586 ,-2.1626 
1993-09-30,-0.7847 ,-0.9024 ,-0.9637 ,-1.1391 ,-0.3795 ,0.2525 ,-1.0611 ,-0.2081 ,-2.2739 ,-0.7710 ,1.3250 ,-0.3605 ,-2.9369 ,-1.2898 
1993-10-29,-0.7800 ,-2.2596 ,-0.9870 ,-1.1135 ,0.5558 ,-0.1245 ,-1.0875 ,0.2342 ,-4.1884 ,-0.2954 ,0.4285 ,1.0053 ,-2.7773 ,-2.0901 
1993-11-30,-0.8356 ,-3.1854 ,-1.4766 ,-0.9826 ,2.2442 ,1.4439 ,-1.1295 ,-0.3910 ,-6.7812 ,0.9925 ,3.3982 ,0.9709 ,-2.9742 ,-0.5268 
1993-12-31,-0.8206 ,-4.3558 ,-1.7921 ,-0.7050 ,3.0607 ,2.1845 ,-1.0702 ,-0.1014 ,-7.9390 ,0.8323 ,5.3953 ,3.2009 ,-2.5522 ,0.1951 
1994-01-31,-0.8670 ,-2.3399 ,5.4874 ,0.0633 ,2.1031 ,1.3746 ,-1.0271 ,-0.9007 ,-6.3726 ,-0.3329 ,3.3834 ,2.6851 ,-2.6508 ,2.9032 
