,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
1993-01-29,-0.0877 ,NA,-0.6193 ,-1.6676 ,-3.6217 ,NA,NA,-2.8992 ,NA,-1.5264 ,-0.3532 ,NA,0.0530 ,NA
1993-02-26,-0.1237 ,NA,-0.5883 ,-1.5401 ,-3.1750 ,NA,NA,-1.3136 ,NA,-1.7572 ,-0.3230 ,NA,-0.4167 ,NA
1993-03-31,-0.1455 ,NA,-0.6966 ,-1.7539 ,-2.4213 ,NA,NA,-2.7074 ,NA,2.8947 ,-0.9017 ,NA,0.7604 ,NA
1993-04-30,-0.1501 ,NA,-0.9472 ,-1.6855 ,2.1947 ,NA,NA,-3.2634 ,NA,-1.0103 ,-0.8355 ,NA,-0.2749 ,NA
1993-05-31,-0.2071 ,NA,-0.8432 ,-1.8901 ,0.1791 ,NA,NA,0.0000 ,NA,-1.3987 ,-0.9031 ,NA,-0.9095 ,NA
1993-06-30,-0.2431 ,NA,-0.6925 ,-1.6040 ,-1.6280 ,NA,NA,-1.1961 ,NA,-1.2917 ,-0.6362 ,NA,-0.3874 ,NA
1993-07-30,-0.2203 ,NA,-0.6678 ,-1.4413 ,-0.9430 ,NA,NA,-2.6347 ,NA,1.1170 ,-0.5857 ,NA,0.3046 ,NA
1993-08-31,-0.2249 ,NA,-0.8075 ,-1.3470 ,-1.9319 ,NA,NA,-3.7037 ,NA,-0.9012 ,-0.5986 ,NA,0.4629 ,NA
1993-09-30,-0.2030 ,NA,-0.6265 ,-1.3497 ,-1.9672 ,NA,NA,-1.0738 ,NA,-0.9659 ,-0.6504 ,NA,0.1233 ,NA
1993-10-29,-0.2226 ,NA,-0.5493 ,-1.3554 ,-2.0472 ,NA,NA,-2.1552 ,NA,-1.6563 ,-0.6379 ,NA,0.3390 ,NA
1993-11-30,-0.2729 ,NA,-0.6005 ,-1.3930 ,-1.7453 ,NA,NA,-0.2623 ,NA,-1.3855 ,-0.6302 ,NA,0.0000 ,NA
1993-12-31,-0.2465 ,NA,-0.3517 ,-1.0525 ,-1.7908 ,NA,NA,-1.0958 ,NA,-1.0157 ,0.0000 ,NA,-1.1905 ,NA
1994-01-31,-0.2163 ,NA,-0.4549 ,-1.2237 ,-1.6423 ,NA,NA,-2.1114 ,NA,-1.3049 ,-0.1624 ,NA,-0.2606 ,NA
1994-02-28,-0.3056 ,NA,-0.4452 ,-1.2682 ,-1.6791 ,NA,NA,-2.0416 ,NA,-1.6698 ,-0.3269 ,NA,-0.3295 ,NA
1994-03-31,-0.4898 ,NA,-0.6412 ,-1.2801 ,-0.4490 ,NA,NA,-1.7541 ,NA,2.5671 ,-0.6550 ,NA,0.0697 ,NA
1994-04-29,-0.5221 ,NA,-0.6439 ,-1.1783 ,2.4726 ,NA,NA,0.1507 ,NA,-0.9568 ,-0.6638 ,NA,-0.1865 ,NA
1994-05-31,-0.5870 ,NA,-0.4623 ,-1.2476 ,0.4288 ,NA,NA,0.4576 ,NA,-1.1720 ,-0.7029 ,NA,-0.1788 ,NA
1994-06-30,-0.6138 ,NA,-0.3003 ,-1.0641 ,-1.6059 ,NA,NA,-0.7233 ,NA,-1.1133 ,-0.4754 ,NA,-0.6958 ,NA
1994-07-29,-0.5836 ,NA,-0.3715 ,-1.1059 ,-1.2723 ,NA,NA,-1.5786 ,NA,1.5655 ,-0.4522 ,NA,0.0000 ,NA
1994-08-31,-0.6108 ,NA,-0.4862 ,-1.1575 ,-1.5442 ,NA,NA,-1.0299 ,NA,-0.6738 ,-0.4507 ,NA,-0.6890 ,NA
1994-09-30,-0.7773 ,NA,-0.8602 ,-1.2656 ,-1.5003 ,NA,NA,-0.5640 ,NA,-1.1127 ,-0.6672 ,NA,-0.3302 ,NA
1994-10-31,-0.7393 ,NA,-0.7024 ,-1.2996 ,-3.4813 ,NA,NA,-0.8355 ,NA,-1.2339 ,-0.6556 ,NA,-0.5173 ,NA
1994-11-30,-0.7573 ,NA,-0.5302 ,-1.3443 ,-1.1751 ,NA,NA,0.9566 ,NA,-1.2094 ,-0.6028 ,NA,-1.0190 ,NA
1994-12-30,-1.0381 ,NA,-0.4248 ,-1.0681 ,-1.8807 ,NA,NA,-2.3396 ,NA,-1.3600 ,-0.3325 ,NA,-0.7897 ,NA
1995-01-31,-0.9116 ,NA,-0.3476 ,-1.0549 ,-1.4313 ,NA,NA,-1.4544 ,NA,-1.6477 ,-0.2630 ,NA,0.0000 ,NA
1995-02-28,-0.8924 ,NA,-0.2367 ,-1.0450 ,-1.3990 ,NA,NA,-1.6480 ,NA,-1.2097 ,-0.2572 ,NA,-0.8627 ,NA
1995-03-31,-0.9182 ,NA,-0.8294 ,-1.3009 ,0.4072 ,NA,NA,-1.6385 ,NA,5.4097 ,-0.6096 ,NA,0.0000 ,NA
