,GC,CL,NG,HG,C,S,SI,SB,XBW,SM,BO,W,KC,CT
1993-11-16,2.3260 ,0.1000 ,0.2360 ,-0.2550 ,12.5750 ,3.8290 ,3.8060 ,4.2290 ,NA,1.6860 ,3.7320 ,2.2080 ,1.6520 ,-0.7320 
1993-11-17,2.3260 ,0.1000 ,0.2360 ,-0.2550 ,12.5750 ,3.8290 ,3.8060 ,4.2290 ,NA,1.6860 ,3.7320 ,2.2080 ,1.6520 ,-0.7320 
1993-11-18,2.3260 ,0.1000 ,0.2360 ,-0.2550 ,12.5750 ,3.8290 ,3.8060 ,4.2290 ,NA,1.6860 ,3.7320 ,2.2080 ,1.6520 ,-0.7320 
1993-11-19,2.3260 ,0.1000 ,0.2360 ,-0.2550 ,12.5750 ,3.8290 ,3.8060 ,4.2290 ,NA,1.6860 ,3.7320 ,2.2080 ,1.6520 ,-0.7320 
1993-11-22,2.3260 ,0.1000 ,0.2360 ,-0.2550 ,12.5750 ,3.8290 ,3.8060 ,4.2290 ,NA,1.6860 ,3.7320 ,2.2080 ,1.6520 ,-0.7320 
1993-11-23,4.9770 ,-0.2400 ,-0.5680 ,-0.1820 ,8.1320 ,5.3030 ,6.5170 ,1.1020 ,NA,6.3310 ,10.4160 ,1.3770 ,1.1020 ,-0.2710 
1993-11-24,4.9770 ,-0.2400 ,-0.5680 ,-0.1820 ,8.1320 ,5.3030 ,6.5170 ,1.1020 ,NA,6.3310 ,10.4160 ,1.3770 ,1.1020 ,-0.2710 
1993-11-25,4.9770 ,-0.2400 ,-0.5680 ,-0.1820 ,8.1320 ,5.3030 ,6.5170 ,1.1020 ,NA,6.3310 ,10.4160 ,1.3770 ,1.1020 ,-0.2710 
1993-11-26,4.9770 ,-0.2400 ,-0.5680 ,-0.1820 ,8.1320 ,5.3030 ,6.5170 ,1.1020 ,NA,6.3310 ,10.4160 ,1.3770 ,1.1020 ,-0.2710 
1993-11-29,4.9770 ,-0.2400 ,-0.5680 ,-0.1820 ,8.1320 ,5.3030 ,6.5170 ,1.1020 ,NA,6.3310 ,10.4160 ,1.3770 ,1.1020 ,-0.2710 
