,GC,CL,NG,HG,C,S,SI,SB,XBW,SM,BO,W,KC,CT
1991-12-31,713.08,39.98,328.528,109.21,3600.5,324.9375,8.764,9.25,12.41,26.35,74.94,8209.6875,994.56,282.44
1992-01-01,713.08,39.98,328.528,109.21,3600.5,324.9375,8.764,9.25,12.41,26.35,74.94,8209.6875,994.56,282.44
1992-01-02,709.06,40.75,319.232,107.13,3586.1875,320.9375,8.905,8.83,12.69,26.03,74.47,8128.5625,1011.2,284.4
1992-01-03,705.65,40.21,317.764,107.53,3561.125,321.4375,8.898,8.63,12.65,25.9,74.59,8103.1875,1015.04,285.59
1992-01-06,703.24,40.17,312.627,107.53,3575.4375,326.125,8.887,8.72,12.63,26.25,74.86,8082.9375,1004.8,286.88
1992-01-07,703.64,39.08,318.988,106.52,3579,325.5,8.831,8.59,12.15,26.2,75.3,8037.25,1020.8,288.46
1992-01-08,705.65,37.36,315.563,105.85,3622,329.8125,8.894,8.66,11.67,26.6,75.9,8204.625,1014.4,283.73
1992-01-09,717.7,37.34,307.98,105.63,3618.375,330.4375,9.304,8.69,11.52,26.46,76.18,8128.5625,1016.32,275.57
1992-01-10,716.49,38.12,295.015,106.41,3618.375,329,9.196,8.8,11.94,26.6,75.46,8174.1875,1015.68,275.9
1992-01-13,711.67,39.29,301.864,106.13,3668.5,330.5625,9.156,8.67,12.15,26.77,75.34,8346.5625,1005.44,270.03
1992-01-14,713.08,38.62,305.044,106.02,3711.4375,326.9375,9.185,8.53,12.02,26.28,75.74,8377,997.12,271.75
1992-01-15,712.07,39.41,316.541,107.31,3747.25,333.1875,9.319,8.48,12.21,26.67,77.66,8453.0625,997.76,271.27
1992-01-16,716.69,39.54,330.24,108.65,3707.875,333.4375,9.718,8.54,12.46,26.72,77.62,8377,1009.92,268.84
1992-01-17,711.67,40.06,304.799,108.93,3715,337.75,9.611,8.83,12.61,26.99,77.74,8519,994.56,269.03
1992-01-20,719.1,39.54,300.151,108.76,3740.0625,334.625,9.581,8.63,12.4,26.95,77.22,8569.6875,1006.08,268.03
1992-01-21,719.5,38.88,300.151,108.53,3715,337.3125,9.599,8.64,12.13,27.04,78.42,8600.125,1002.24,265.93
1992-01-22,719.3,39.33,291.323,109.26,3732.9375,336.25,9.617,8.86,12.29,26.96,77.82,8666.0625,1002.24,269.32
1992-01-23,712.48,38.88,284.009,108.6,3736.5,334.0625,9.465,8.87,12.11,26.87,77.1,8873.9375,974.08,269.27
1992-01-24,712.07,39.46,294.602,110.72,3775.875,339.1875,9.326,8.87,12.29,27.24,77.98,8868.875,968.96,264.92
1992-01-27,712.68,40.21,307.214,110.16,3750.8125,336.375,9.337,8.8,12.55,27.07,77.3,8909.4375,961.28,258.62
1992-01-28,714.47,39.81,297.881,110.84,3783,339.1875,9.382,8.58,12.33,27.35,77.66,8873.9375,947.84,254.8
1992-01-29,715.07,39.23,297.629,110.94,3768.6875,336.125,9.517,8.57,12.47,26.99,77.26,8955.0625,945.28,257.53
1992-01-30,709.88,39.33,294.098,110.84,3772.3125,334.0625,9.286,8.56,12.61,26.75,77.34,8843.5625,954.88,257.19
1992-01-31,716.47,39.25,297.629,110.38,3783,333.6875,9.364,8.41,12.71,26.84,76.62,8929.75,923.52,253.28
