,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
41258,6710.4000 ,275.7900 ,239.4900 ,7972.2700 ,1541.2800 ,5304.0000 ,47.0080 ,48078.1400 ,24.3010 ,41678.0000 
41259,6710.4000 ,275.7900 ,239.4900 ,7972.2700 ,1541.2800 ,5304.0000 ,47.0080 ,48078.1400 ,24.3010 ,41678.0000 
41260,6787.7000 ,274.5400 ,237.4300 ,7937.9300 ,1537.0800 ,5319.0000 ,46.9213 ,48377.2900 ,24.4296 ,41678.0000 
41261,6779.1000 ,276.0000 ,237.0000 ,7989.7800 ,1553.4100 ,5345.0000 ,47.4814 ,48925.3600 ,24.7656 ,41914.0000 
41262,6744.8000 ,276.0000 ,237.2500 ,8016.7200 ,1557.6200 ,5289.0000 ,48.1286 ,48701.0000 ,24.5665 ,42209.0000 
41263,6779.1000 ,275.4300 ,233.9000 ,7985.7400 ,1562.2800 ,5273.0000 ,48.5218 ,48600.4200 ,24.8652 ,42257.0000 
41264,6731.9000 ,274.1700 ,232.0100 ,7879.3400 ,1554.3500 ,5253.0000 ,48.0238 ,48474.4300 ,24.5167 ,42200.0000 
41265,6731.9000 ,274.1700 ,232.0100 ,7879.3400 ,1554.3500 ,5253.0000 ,48.0238 ,48474.4300 ,24.5167 ,42200.0000 
41266,6731.9000 ,274.1700 ,232.0100 ,7879.3400 ,1554.3500 ,5253.0000 ,48.0238 ,48474.4300 ,24.5167 ,42200.0000 
41267,6723.3000 ,274.9000 ,232.7800 ,7893.4800 ,1564.6200 ,5253.0000 ,47.9015 ,48482.1700 ,24.4478 ,42273.0000 
41268,6933.8000 ,274.9000 ,236.9100 ,7893.4800 ,1564.6200 ,5253.0000 ,47.9015 ,48482.1700 ,24.4478 ,42273.0000 
41269,6929.5000 ,274.8500 ,235.4500 ,7969.5200 ,1569.7500 ,5273.0000 ,48.2073 ,48463.3800 ,24.6009 ,42273.0000 
41270,6925.3000 ,275.6300 ,235.2800 ,7914.8300 ,1563.6800 ,5294.0000 ,48.5480 ,48454.5400 ,24.9071 ,42437.0000 
41271,7006.4000 ,277.4600 ,236.5700 ,7946.8400 ,1572.5500 ,5355.0000 ,48.3904 ,48575.0000 ,25.0092 ,42356.0000 
41272,7006.4000 ,277.4600 ,236.5700 ,7946.8400 ,1572.5500 ,5355.0000 ,48.3904 ,48575.0000 ,25.0092 ,42356.0000 
41273,7006.4000 ,277.4600 ,236.5700 ,7946.8400 ,1572.5500 ,5355.0000 ,48.3904 ,48575.0000 ,25.0092 ,42356.0000 
41274,7113.1000 ,277.4600 ,236.9100 ,7941.5100 ,1569.2900 ,5355.0000 ,48.9859 ,48668.9500 ,25.4345 ,42393.0000 
41275,7113.1000 ,277.4600 ,236.9100 ,7941.5100 ,1569.2900 ,5355.0000 ,48.9859 ,48668.9500 ,25.4345 ,42393.0000 
41276,7147.3000 ,282.7800 ,240.0100 ,8059.5700 ,1568.8300 ,5391.0000 ,49.8791 ,49267.9700 ,26.0981 ,43266.0000 
41277,7147.3000 ,281.3200 ,242.0700 ,8062.9000 ,1581.4000 ,5422.0000 ,50.1958 ,49316.6000 ,25.9279 ,43443.0000 
41278,7249.7000 ,279.5400 ,240.2700 ,8060.9000 ,1583.2700 ,5468.0000 ,50.0717 ,49463.5900 ,26.0045 ,43354.0000 
41279,7249.7000 ,279.5400 ,240.2700 ,8060.9000 ,1583.2700 ,5468.0000 ,50.0717 ,49463.5900 ,26.0045 ,43354.0000 
41280,7249.7000 ,279.5400 ,240.2700 ,8060.9000 ,1583.2700 ,5468.0000 ,50.0717 ,49463.5900 ,26.0045 ,43354.0000 
41281,7262.6000 ,279.6500 ,238.9800 ,8016.8800 ,1568.8300 ,5422.0000 ,49.7875 ,49536.5400 ,25.6387 ,43256.0000 
41282,7181.4000 ,276.7300 ,237.6800 ,8065.5700 ,1573.4800 ,5427.0000 ,49.1260 ,49512.2200 ,25.3920 ,43170.0000 
41283,7151.5000 ,275.6300 ,238.5500 ,8004.2100 ,1580.9400 ,5391.0000 ,49.4237 ,49791.8400 ,25.3495 ,43431.0000 
41284,7155.8000 ,277.5600 ,241.5600 ,7999.5400 ,1573.9500 ,5289.0000 ,49.8966 ,49779.6800 ,25.5621 ,43425.0000 
41285,7053.3000 ,276.0500 ,240.6100 ,7966.8500 ,1568.3600 ,5340.0000 ,49.3975 ,49852.6300 ,25.3155 ,43385.0000 
41286,7053.3000 ,276.0500 ,240.6100 ,7966.8500 ,1568.3600 ,5340.0000 ,49.3975 ,49852.6300 ,25.3155 ,43385.0000 
41287,7053.3000 ,276.0500 ,240.6100 ,7966.8500 ,1568.3600 ,5340.0000 ,49.3975 ,49852.6300 ,25.3155 ,43385.0000 
41288,7296.7000 ,277.7700 ,241.3800 ,8092.9200 ,1575.8100 ,5397.0000 ,49.6339 ,49855.9400 ,25.6387 ,43253.0000 
41289,7305.2000 ,274.6400 ,238.2900 ,8110.9300 ,1571.6200 ,5432.0000 ,49.4763 ,49762.0000 ,25.4345 ,43072.0000 
41290,7202.8000 ,272.6100 ,237.0000 ,8024.8800 ,1563.7000 ,5371.0000 ,49.3274 ,49804.0000 ,25.4260 ,43011.0000 
41291,7155.8000 ,273.1300 ,235.4500 ,8076.2400 ,1569.2900 ,5427.0000 ,49.7828 ,49788.5200 ,25.6217 ,43096.0000 
41292,7271.1000 ,273.8600 ,238.8900 ,8105.5900 ,1567.4300 ,5540.0000 ,49.7740 ,50199.6600 ,25.8429 ,43293.0000 
41293,7271.1000 ,273.8600 ,238.8900 ,8105.5900 ,1567.4300 ,5540.0000 ,49.7740 ,50199.6600 ,25.8429 ,43293.0000 
41294,7271.1000 ,273.8600 ,238.8900 ,8105.5900 ,1567.4300 ,5540.0000 ,49.7740 ,50199.6600 ,25.8429 ,43293.0000 
41295,7322.3000 ,274.2300 ,238.5500 ,8137.6100 ,1513.4000 ,5479.0000 ,49.7740 ,50242.7600 ,25.8429 ,43094.0000 
41296,7335.1000 ,276.0500 ,239.6600 ,8080.2500 ,1510.1300 ,5412.0000 ,49.7565 ,50244.9700 ,25.7918 ,42936.0000 
41297,7347.9000 ,272.9800 ,238.7200 ,8104.2600 ,1518.5200 ,5458.0000 ,49.7740 ,50387.5500 ,25.8854 ,43289.0000 
41298,7322.3000 ,270.7300 ,237.4300 ,8036.2200 ,1518.5200 ,5458.0000 ,49.6514 ,50461.6000 ,25.9279 ,43755.0000 
41299,7275.4000 ,267.3400 ,236.3100 ,8106.9300 ,1520.3800 ,5489.0000 ,49.7127 ,50517.9600 ,26.3277 ,43629.0000 
41300,7275.4000 ,267.3400 ,236.3100 ,8106.9300 ,1520.3800 ,5489.0000 ,49.7127 ,50517.9600 ,26.3277 ,43629.0000 
41301,7275.4000 ,267.3400 ,236.3100 ,8106.9300 ,1520.3800 ,5489.0000 ,49.7127 ,50517.9600 ,26.3277 ,43629.0000 
41302,7470.6000 ,267.1400 ,238.8000 ,8104.2600 ,1520.3800 ,5443.0000 ,49.5726 ,50790.9500 ,26.3107 ,43697.0000 
41303,7602.2000 ,268.9100 ,241.3000 ,8085.0300 ,1519.4500 ,5494.0000 ,50.0893 ,50969.9900 ,26.3447 ,43815.0000 
41304,7678.6000 ,270.1600 ,240.8700 ,8087.0200 ,1509.6700 ,5479.0000 ,49.5376 ,50753.3700 ,26.0215 ,43656.0000 
41305,7644.6000 ,269.3300 ,242.5000 ,8053.8700 ,1512.4700 ,5499.0000 ,49.7127 ,50283.6600 ,26.2171 ,43682.0000 
41306,7831.4000 ,269.0700 ,242.5000 ,8007.4600 ,1512.4700 ,5535.0000 ,49.9842 ,50788.7400 ,26.3958 ,43813.0000 
41307,7831.4000 ,269.0700 ,242.5000 ,8007.4600 ,1512.4700 ,5535.0000 ,49.9842 ,50788.7400 ,26.3958 ,43813.0000 
41308,7831.4000 ,269.0700 ,242.5000 ,8007.4600 ,1512.4700 ,5535.0000 ,49.9842 ,50788.7400 ,26.3958 ,43813.0000 
41309,7848.4000 ,267.9700 ,245.0800 ,7946.4700 ,1525.0400 ,5561.0000 ,49.3011 ,50788.7400 ,25.9790 ,43700.0000 
41310,7818.7000 ,265.6800 ,243.8800 ,7911.9900 ,1515.7300 ,5494.0000 ,49.1435 ,50609.6900 ,26.1406 ,43825.0000 
41311,7878.1000 ,265.3600 ,244.0500 ,7918.6200 ,1490.1100 ,5566.0000 ,49.1348 ,50403.0200 ,26.0725 ,43646.0000 
41312,7750.8000 ,265.2100 ,244.2200 ,7908.0200 ,1500.3600 ,5576.0000 ,49.0209 ,49893.5200 ,25.7748 ,43839.0000 
41313,7750.8000 ,268.9100 ,244.2200 ,7832.4400 ,1505.4800 ,5571.0000 ,48.9859 ,49941.0400 ,25.8514 ,44012.0000 
41314,7750.8000 ,268.9100 ,244.2200 ,7832.4400 ,1505.4800 ,5571.0000 ,48.9859 ,49941.0400 ,25.8514 ,44012.0000 
41315,7750.8000 ,268.9100 ,244.2200 ,7832.4400 ,1505.4800 ,5571.0000 ,48.9859 ,49941.0400 ,25.8514 ,44012.0000 
41316,7742.3000 ,268.9100 ,244.2200 ,7839.0700 ,1505.4800 ,5597.0000 ,48.8896 ,49911.2000 ,25.7748 ,43965.0000 
41317,7742.3000 ,268.1800 ,244.2200 ,7872.8800 ,1505.4800 ,5658.0000 ,48.9509 ,49743.2100 ,25.7323 ,43797.0000 
41318,7742.3000 ,273.0300 ,244.2200 ,7879.5100 ,1516.1900 ,5679.0000 ,49.3975 ,48905.4600 ,26.0896 ,43909.0000 
41319,7742.3000 ,274.0200 ,244.2200 ,7801.9400 ,1510.1400 ,5720.0000 ,49.1698 ,48613.6900 ,25.7918 ,43793.0000 
41320,7742.3000 ,273.8100 ,244.2200 ,7797.9600 ,1506.8800 ,5730.0000 ,49.1873 ,48962.9300 ,25.5111 ,43757.0000 
41321,7742.3000 ,273.8100 ,244.2200 ,7797.9600 ,1506.8800 ,5730.0000 ,49.1873 ,48962.9300 ,25.5111 ,43757.0000 
41322,7742.3000 ,273.8100 ,244.2200 ,7797.9600 ,1506.8800 ,5730.0000 ,49.1873 ,48962.9300 ,25.5111 ,43757.0000 
41323,7682.9000 ,273.5000 ,246.2000 ,7821.8300 ,1504.5500 ,5725.0000 ,49.1873 ,48872.3100 ,25.5111 ,43536.0000 
