,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
1988-01-29,58.0970 ,69.1520 ,97.0100 ,56.9930 ,56.9930 ,62.9580 ,NA,NA,101.3770 ,NA,48.4120 ,68.3740 ,75.4960 ,57.1050 
1988-02-29,58.7010 ,70.4170 ,96.3510 ,56.6630 ,56.6630 ,62.1960 ,NA,NA,102.0090 ,NA,48.2180 ,69.0410 ,75.8230 ,57.8400 
1988-03-31,58.2450 ,71.3270 ,99.7450 ,56.6170 ,56.6170 ,61.8220 ,NA,NA,102.6050 ,NA,48.7310 ,70.5800 ,75.3080 ,57.5170 
1988-04-29,57.9430 ,72.0880 ,101.8640 ,56.5380 ,56.5380 ,61.7460 ,NA,NA,103.0540 ,NA,49.5050 ,71.4390 ,74.9020 ,57.5120 
1988-05-31,58.3150 ,72.1660 ,102.2560 ,56.3380 ,56.3380 ,61.0670 ,NA,NA,103.5690 ,NA,49.7000 ,74.3510 ,75.0230 ,57.4710 
1988-06-30,59.2440 ,73.8400 ,99.7200 ,55.9610 ,55.9610 ,60.7320 ,NA,NA,103.1930 ,NA,49.1620 ,78.5590 ,75.8620 ,57.6760 
1988-07-29,60.7490 ,75.2400 ,99.2610 ,55.3130 ,55.3130 ,60.2860 ,NA,NA,103.1210 ,NA,47.8230 ,80.0330 ,76.9930 ,58.3400 
1988-08-31,61.5950 ,74.5470 ,100.4760 ,54.9770 ,54.9770 ,59.4840 ,NA,NA,102.8310 ,NA,47.9300 ,81.4080 ,77.4750 ,58.9070 
1988-09-30,62.0810 ,74.5390 ,99.6050 ,55.4860 ,55.4860 ,59.6920 ,NA,NA,103.4450 ,NA,47.9270 ,80.3300 ,77.5720 ,59.1180 
1988-10-31,61.0960 ,75.4750 ,100.8540 ,55.8990 ,55.8990 ,59.9040 ,NA,NA,104.0280 ,NA,49.6820 ,80.5370 ,76.6620 ,58.8670 
1988-11-30,60.1120 ,74.1370 ,102.1430 ,56.4960 ,56.4960 ,60.9180 ,NA,NA,103.9500 ,NA,51.2700 ,82.7010 ,75.4890 ,59.6070 
1988-12-30,60.2380 ,75.6760 ,103.3970 ,56.5160 ,56.5160 ,60.5670 ,NA,NA,104.1710 ,NA,51.1610 ,83.8620 ,75.5710 ,60.2450 
1989-01-31,61.5790 ,76.6380 ,103.5510 ,56.0380 ,56.0380 ,59.3320 ,NA,NA,104.3700 ,NA,50.2510 ,86.5590 ,76.4420 ,61.2800 
1989-02-28,61.9250 ,76.9420 ,102.9790 ,56.0270 ,56.0270 ,59.2970 ,NA,NA,104.2550 ,NA,50.2660 ,85.4840 ,76.6240 ,61.8910 
1989-03-31,62.8630 ,76.8490 ,101.6300 ,56.2920 ,56.2920 ,58.5470 ,NA,NA,104.3400 ,NA,49.5100 ,82.3060 ,77.1180 ,62.0070 
1989-04-28,63.2550 ,77.4550 ,101.1030 ,56.6750 ,56.6750 ,57.4680 ,NA,NA,105.0170 ,NA,49.0360 ,81.4230 ,77.4010 ,61.8460 
1989-05-31,64.8200 ,77.8380 ,99.8510 ,56.3800 ,56.3800 ,56.6180 ,NA,NA,105.0990 ,NA,47.4990 ,80.1640 ,78.2970 ,62.5220 
1989-06-30,66.3890 ,78.0760 ,96.7410 ,56.5570 ,56.5570 ,58.5640 ,NA,NA,105.5170 ,NA,45.9570 ,80.2110 ,79.1250 ,63.5520 
1989-07-31,65.8080 ,78.3750 ,98.4500 ,57.6950 ,57.6950 ,59.5120 ,NA,NA,105.7680 ,NA,46.7920 ,79.1730 ,78.2490 ,62.6810 
1989-08-31,66.4450 ,79.6680 ,97.7550 ,57.5740 ,57.5740 ,59.2220 ,NA,NA,105.9360 ,NA,46.7900 ,80.2670 ,78.5610 ,63.0360 
1989-09-29,67.5620 ,79.5980 ,97.4950 ,57.6330 ,57.6330 ,59.0930 ,NA,NA,106.2970 ,NA,45.8940 ,82.3910 ,79.1410 ,63.1500 
1989-10-31,67.0660 ,79.9400 ,96.2140 ,58.7430 ,58.7430 ,59.6030 ,NA,NA,106.2470 ,NA,46.5840 ,81.7290 ,78.5750 ,63.0190 
