,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG,SPXV,TSXV,FTSEV,DAXV,CACV,SMIV,MIBV,IBEXV,OMXV,AEXV,NKYv,AS51V,HSIV,SGV
1988-01-29,NA,282.4100 ,1101.4200 ,206.2700 ,321.3800 ,228.1400 ,1013.7200 ,275.8800 ,643.4600 ,390.6500 ,551.1500 ,466.4100 ,1235.7800 ,363.8000 ,NA,417.0500 ,1404.7900 ,217.5300 ,492.7400 ,210.3900 ,358.1100 ,123.8500 ,1029.2800 ,438.4700 ,1015.5700 ,749.5800 ,1419.0400 ,596.0900 
1988-02-29,NA,296.9600 ,1082.8500 ,248.6400 ,391.8100 ,245.0900 ,1055.0000 ,276.9300 ,665.9800 ,417.0200 ,597.0200 ,454.8600 ,1261.5300 ,363.0900 ,NA,439.5300 ,1394.9900 ,245.3900 ,601.7400 ,228.0000 ,389.4800 ,124.7500 ,1054.0000 ,454.4600 ,1094.9800 ,756.6600 ,1452.3400 ,571.2700 
1988-03-31,NA,311.2200 ,1048.5600 ,245.5800 ,362.6300 ,238.1000 ,1078.1900 ,287.6400 ,677.1800 ,406.1900 ,615.5500 ,515.8800 ,1344.1600 ,379.3000 ,NA,439.0400 ,1391.9000 ,238.5300 ,555.0500 ,218.6300 ,401.0400 ,134.0900 ,1136.1000 ,468.9500 ,1147.8700 ,856.9900 ,1520.9900 ,600.4000 
1988-04-29,NA,316.9800 ,1076.9900 ,241.1200 ,394.3400 ,239.2900 ,1058.1300 ,290.8200 ,691.2500 ,410.8100 ,613.3500 ,536.1800 ,1377.2900 ,393.5800 ,NA,440.3100 ,1431.3300 ,238.5800 ,614.5400 ,222.5800 ,401.0400 ,132.5400 ,1170.8700 ,486.7500 ,1186.9900 ,884.3100 ,1553.0600 ,645.8900 
1988-05-31,NA,301.8400 ,1058.6900 ,241.5100 ,432.6500 ,235.1700 ,974.0400 ,311.0700 ,723.2300 ,399.8500 ,578.9100 ,579.6100 ,1338.4500 ,400.2900 ,NA,431.3100 ,1422.6000 ,246.8600 ,664.8200 ,225.4900 ,367.9000 ,135.1600 ,1224.2200 ,471.4600 ,1147.9700 ,959.8500 ,1498.2700 ,673.3100 
1988-06-30,NA,318.2600 ,1119.9000 ,253.1600 ,461.3100 ,247.8800 ,1057.7800 ,322.7400 ,725.5800 ,429.1100 ,581.5600 ,578.7900 ,1459.2100 ,429.3300 ,NA,460.2200 ,1455.7100 ,262.3100 ,711.4400 ,239.8400 ,407.7800 ,146.0600 ,1215.8600 ,499.2500 ,1202.5900 ,938.9900 ,1590.1600 ,763.5900 
1988-07-29,NA,311.8600 ,1112.4200 ,264.2200 ,460.9300 ,251.9100 ,1096.7600 ,316.8300 ,764.4700 ,448.4000 ,589.0300 ,591.8600 ,1491.7300 ,444.0200 ,NA,451.0500 ,1478.5100 ,268.7000 ,707.7100 ,240.5100 ,432.7500 ,141.6300 ,1255.9700 ,527.7900 ,1274.1500 ,982.7500 ,1593.2500 ,768.8200 
1988-08-31,NA,298.9100 ,1050.7400 ,261.3600 ,462.5100 ,249.2700 ,1097.5600 ,310.2500 ,723.4000 ,427.4500 ,571.6000 ,575.8100 ,1357.4900 ,409.7000 ,NA,440.8900 ,1404.2900 ,269.9300 ,685.4900 ,240.1800 ,413.7800 ,134.4100 ,1212.8700 ,506.3500 ,1192.8300 ,957.6400 ,1467.2100 ,695.1100 
1988-09-30,NA,295.5500 ,1096.2900 ,283.1600 ,509.0800 ,257.7700 ,1183.9300 ,309.2700 ,755.2800 ,447.6000 ,592.4900 ,562.2600 ,1372.8300 ,405.0500 ,NA,444.7600 ,1459.1400 ,286.5400 ,750.0600 ,249.0600 ,437.6600 ,133.1200 ,1283.9100 ,508.1900 ,1215.4100 ,959.6700 ,1467.5100 ,694.5100 
1988-10-31,NA,305.9700 ,1113.0600 ,294.8000 ,531.7000 ,266.0500 ,1228.0100 ,321.4100 ,794.3200 ,464.3600 ,607.5700 ,566.3200 ,1479.7400 ,421.4300 ,NA,460.1200 ,1498.9600 ,298.6800 ,797.6900 ,259.3200 ,466.3000 ,133.8400 ,1332.9700 ,508.4900 ,1202.4800 ,988.1800 ,1570.0800 ,697.4200 
