,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
1994-11-30,15.19 ,NA,21.51 ,19.23 ,21.02 ,10.81 ,NA,NA,NA,11.12 ,8.49 ,NA,23.20 ,NA
1994-12-30,10.48 ,NA,17.73 ,13.58 ,20.55 ,12.96 ,NA,NA,NA,9.72 ,11.14 ,NA,21.97 ,NA
1995-01-31,10.50 ,NA,17.17 ,13.64 ,13.83 ,12.06 ,NA,NA,NA,12.89 ,18.25 ,NA,36.22 ,NA
1995-02-28,10.81 ,NA,15.74 ,13.67 ,16.48 ,11.89 ,NA,NA,NA,12.26 ,24.90 ,NA,30.02 ,NA
1995-03-31,11.39 ,NA,14.62 ,20.83 ,23.04 ,13.53 ,NA,NA,NA,11.83 ,38.72 ,NA,29.06 ,NA
1995-04-28,10.69 ,NA,11.66 ,18.78 ,17.58 ,9.75 ,NA,NA,NA,9.19 ,15.91 ,NA,26.37 ,NA
1995-05-31,10.65 ,NA,13.57 ,15.09 ,19.92 ,12.27 ,NA,NA,NA,9.25 ,23.08 ,NA,29.54 ,NA
1995-06-30,8.16 ,NA,12.97 ,12.73 ,18.59 ,9.74 ,NA,NA,NA,8.04 ,32.77 ,NA,21.66 ,NA
1995-07-31,12.27 ,NA,13.75 ,12.44 ,14.99 ,9.59 ,NA,NA,NA,8.97 ,28.47 ,NA,20.18 ,NA
1995-08-31,10.81 ,NA,11.97 ,12.04 ,14.10 ,10.59 ,NA,NA,NA,4.94 ,22.69 ,NA,18.21 ,NA
1995-09-29,9.18 ,NA,13.41 ,13.99 ,17.08 ,12.03 ,NA,NA,NA,7.87 ,24.86 ,NA,31.31 ,NA
1995-10-31,12.73 ,NA,17.69 ,15.22 ,19.14 ,12.92 ,NA,NA,NA,10.12 ,26.65 ,NA,29.75 ,NA
1995-11-30,9.70 ,NA,15.51 ,14.92 ,18.31 ,10.36 ,NA,NA,NA,9.43 ,22.22 ,NA,23.50 ,NA
1995-12-29,8.50 ,NA,7.63 ,12.67 ,17.73 ,8.87 ,NA,NA,NA,8.04 ,17.68 ,NA,16.88 ,NA
1996-01-31,10.32 ,NA,10.85 ,12.73 ,16.21 ,16.21 ,NA,NA,NA,12.83 ,20.24 ,NA,19.27 ,NA
1996-02-29,13.32 ,NA,11.78 ,15.31 ,15.83 ,12.06 ,NA,NA,NA,11.27 ,20.56 ,NA,18.45 ,NA
1996-03-29,16.16 ,NA,11.61 ,11.27 ,9.87 ,9.81 ,NA,NA,NA,8.99 ,19.69 ,NA,19.22 ,NA
1996-04-30,13.35 ,NA,10.91 ,7.59 ,10.20 ,13.69 ,NA,NA,NA,11.65 ,16.18 ,NA,17.79 ,NA
1996-05-31,11.32 ,NA,8.46 ,6.29 ,8.65 ,12.14 ,NA,NA,NA,10.00 ,18.30 ,NA,20.06 ,NA
1996-06-28,12.34 ,NA,6.81 ,12.54 ,11.00 ,9.14 ,NA,NA,NA,9.75 ,15.53 ,NA,13.85 ,NA
1996-07-31,16.81 ,NA,10.56 ,16.43 ,15.04 ,16.36 ,NA,NA,NA,12.53 ,17.76 ,NA,11.00 ,NA
1996-08-30,12.70 ,NA,11.88 ,8.60 ,15.50 ,12.63 ,NA,NA,NA,12.26 ,17.63 ,NA,12.41 ,NA
1996-09-30,14.93 ,NA,11.45 ,9.67 ,11.63 ,13.51 ,NA,NA,NA,13.16 ,15.08 ,NA,11.88 ,NA
1996-10-31,16.63 ,NA,12.89 ,14.27 ,11.73 ,13.87 ,NA,NA,NA,15.24 ,17.26 ,NA,16.19 ,NA
1996-11-29,14.93 ,NA,10.41 ,10.56 ,11.49 ,10.95 ,NA,NA,NA,13.85 ,15.76 ,NA,19.37 ,NA
