,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
1994-12-30,70.5330 ,181.3790 ,300.8270 ,147.6680 ,342.1419 ,629.8550 ,23954577000.0000 ,2566.3650 ,100.0000 ,181.7140 
1995-01-31,60.7890 ,164.9380 ,263.9440 ,138.5510 ,307.8126 ,581.1350 ,21686876000.0000 ,2302.0470 ,78.0130 ,156.0070 
1995-02-28,67.7300 ,161.4700 ,272.6890 ,131.4340 ,348.7829 ,629.6160 ,18546764000.0000 ,1821.4140 ,62.4290 ,159.7170 
1995-03-31,67.8430 ,171.0610 ,271.1190 ,126.4120 ,346.7121 ,601.1050 ,17016938000.0000 ,2109.3240 ,67.8170 ,165.4660 
1995-04-28,60.6080 ,169.1260 ,241.8710 ,120.0890 ,333.7535 ,572.9360 ,20709060000.0000 ,2186.9240 ,51.3220 ,171.2080 
1995-05-31,70.2730 ,165.9350 ,236.8140 ,124.8040 ,370.3628 ,662.2520 ,20428968000.0000 ,2216.7370 ,67.6470 ,169.4840 
1995-06-30,69.3130 ,168.7380 ,226.6940 ,120.2420 ,359.9706 ,689.0880 ,20152488000.0000 ,2451.3970 ,96.8630 ,167.6990 
1995-07-31,72.7730 ,175.0590 ,219.8510 ,124.9420 ,370.4753 ,705.4110 ,21228500000.0000 ,2615.5280 ,96.8300 ,169.1970 
1995-08-31,68.5540 ,172.5970 ,206.3210 ,121.8770 ,354.5351 ,679.8070 ,22616263000.0000 ,2771.1090 ,83.9100 ,171.9880 
1995-09-29,65.3860 ,187.6380 ,213.2620 ,125.6910 ,349.8586 ,660.6630 ,23842820000.0000 ,2656.9440 ,79.7800 ,175.2370 
1995-10-31,61.3130 ,190.0830 ,204.1790 ,123.3470 ,334.6702 ,670.8730 ,21808007000.0000 ,2557.9530 ,67.3380 ,178.7200 
1995-11-30,56.9580 ,176.2510 ,201.9930 ,107.4990 ,334.1828 ,643.3490 ,21844468000.0000 ,2959.6210 ,64.5620 ,183.5200 
