,SPX,TSX,FTSE,DAX,CAC,SMI,MIB,IBEX,OMX,AEX,NKY,AS51,HSI,SG
1988-01-01,247.08,350.696,515.741,156.555,288.54,140.706,377.445,209.481,697.32,215.895,1022.333,259.261,1644.281,100
1988-01-04,255.94,358.44,526.968,148.349,285.421,138.339,375.132,208.362,688.349,215.579,1000.1,253.897,1631.372,101.157
1988-01-05,258.63,361.325,539.978,154.369,295.413,144.24,381.953,217.943,714.536,227.709,1010.134,257.913,1713.372,107.448
1988-01-06,258.89,364.341,539.48,156.029,299.087,146.262,381.952,217.943,714.535,227.618,1082.242,260.427,1751.465,111.32
1988-01-07,261.07,364.805,539.295,157.384,296.081,145.363,390.675,221.998,737.022,226.738,1078.979,258.952,1738.258,110.278
1988-01-08,243.4,350.399,535.844,159.492,297.142,147.866,389.337,226.186,727.305,229.013,1075.758,256.716,1736.824,108.452
1988-01-11,247.49,352.519,532.06,153.578,288.841,140.921,379.867,216.961,706.946,219.295,1059.861,247.971,1695.001,102.211
1988-01-12,245.42,349.137,526.048,153.413,287.141,141.513,380.267,217.495,712.796,217.135,1065.206,252.053,1728.738,105.839
1988-01-13,245.81,348.625,524.851,150.651,280.607,138.265,377.624,216.496,707.623,214.191,1048.403,249.451,1680.849,103.529
1988-01-14,245.88,347.6,527.73,151.559,282.152,138.752,376.258,218.821,708.705,215.045,1065.177,247.442,1700.763,104.628
1988-01-15,252.05,351.372,540.121,147.984,290.948,138.913,375.168,219.184,717.666,224.803,1065.177,250.501,1711.826,106.005
1988-01-18,251.88,352.489,541.779,155.472,285.73,143.168,387.688,228.246,725.688,224.553,1080.906,254.324,1763.777,111.501
1988-01-19,249.32,352.107,535.432,152.134,281.154,141.865,382.406,226.414,730.183,217.716,1077.271,255.733,1744.345,109.993
1988-01-20,242.63,345.834,530.983,149.19,272.485,140.111,376.773,224.746,734.597,218.059,1074.801,254.863,1731.795,110.971
1988-01-21,243.14,344.413,528.876,147.372,267.776,139.458,372.276,222.147,742.865,217.124,1070.033,251.068,1684.865,109.632
1988-01-22,246.5,343.206,536.189,150.105,265.028,140.908,371.797,224.726,763.147,219.015,1079.073,250.527,1693.443,108.597
1988-01-25,252.17,341.229,533.476,149.563,264.32,141.28,362.162,226.761,773.382,219.419,1117.514,250.527,1687.404,109.645
1988-01-26,249.57,338.921,535.333,150.422,266.317,140.737,362.985,228.473,781.801,220.338,1125.396,250.527,1700.34,109.141
1988-01-27,249.38,339.737,534.055,149.05,263.66,140.51,362.648,225.951,771.094,219.931,1113.99,249.678,1693.759,108.012
1988-01-28,253.29,338.346,539.432,146.064,261.093,140.767,363.452,225.692,778.698,220.604,1130.935,246.156,1690.089,108.748
1988-01-29,257.07,338.45,541.586,145.622,258.131,141.395,367.25,227.853,793.938,224.175,1132.871,247.327,1688.532,109.528
1988-02-01,255.04,336.027,537.042,147.94,262.294,143.675,362.005,228.793,791.742,228.124,1136.121,243.402,1654.26,108.026
1988-02-02,255.57,336.866,536.655,148.563,268.579,142.961,354.769,223.855,783.128,224.118,1128.884,244.045,1620.9,106.64
1988-02-03,252.21,330.137,534.488,150.987,275.21,143.194,345.163,224.699,795.92,225.028,1124.305,245.499,1655.528,107.712
1988-02-04,252.21,332.087,535.022,153.55,279.108,145.163,340.62,223.813,800.159,225.511,1131.682,240.954,1617.04,106.747
1988-02-05,250.96,332.17,526.344,152.012,282.958,146.481,346.096,224.664,806.552,225.672,1130.392,238.754,1615.565,105.649
1988-02-08,249.1,329.497,512.786,153.164,281.845,146.48,340.215,225.951,807.966,222.423,1134.265,235.332,1572.065,103.896
1988-02-09,251.72,332.582,516.221,152.606,281.048,145.245,333.763,223.367,797.796,224.678,1133.254,230.235,1572.871,103.131
1988-02-10,256.66,336.995,520.459,154.727,284.194,145.465,337.315,222.996,803.404,224.231,1139.461,227.893,1581.681,103.933
1988-02-11,255.95,337.088,524.086,158.859,292.519,146.467,341.369,224.691,818.102,226.183,1139.461,233.884,1601.052,104.846
1988-02-12,257.63,341.092,525.501,161.138,293.482,147.628,344.712,224.391,822.856,230.065,1149.009,234.538,1606.601,105.109
1988-02-15,257.63,345.698,527.56,163.535,295.878,150.102,356.795,223.681,829.931,230.943,1157.768,236.739,1615.135,106.173
1988-02-16,259.83,350.06,525.78,164.561,296.25,151.246,357.529,225.093,838.612,232.355,1168.344,237.837,1635.726,106.629
1988-02-17,259.21,348.675,529.924,164.662,300.854,151.854,365.966,226.531,832.639,234.81,1176.961,242.153,1635.726,106.629
1988-02-18,257.91,347.296,526.368,164.906,305.635,151.864,367.778,227.279,826.447,234.084,1187.313,244.196,1635.725,106.629
1988-02-19,261.61,349.162,523.813,164.071,310.61,150.888,369.57,226.638,819.809,233.747,1199.124,243.703,1635.725,107.473
1988-02-22,265.64,352.918,528.74,166.021,316.297,150.823,370.594,226.863,827.241,235.026,1202.948,244.767,1651.32,108.847
1988-02-23,265.02,351.526,532.197,167.446,312.283,151.86,377.892,227.707,828.107,235.857,1207.373,247.713,1636.726,108.368
1988-02-24,264.43,351.25,533.055,167.585,314.606,152.875,385.867,227.854,812.016,235.579,1209.395,246.681,1643.949,108.149
1988-02-25,261.58,351.866,539.379,170.834,320.173,154.38,381.986,227.231,813.861,237.224,1223.551,243.297,1662.309,108.116
1988-02-26,262.46,351.524,534.864,169.036,316.609,153.171,382.695,227.441,816.73,232.496,1222.521,242.452,1694.462,108.401
1988-02-29,267.82,355.826,535.596,169.736,315.012,152.566,391.337,230.086,818.02,234.301,1224.191,245.419,1725.855,109.231
1988-03-01,267.22,356.031,539.132,170.754,315.992,155.07,392.414,233.456,834.388,236.244,1231.295,251.314,1754.806,109.178
1988-03-02,267.98,357.184,547.779,169.55,311.37,156.273,390.204,234.983,837.62,237.779,1247.341,254.474,1751.922,109.266
1988-03-03,267.88,356.545,549.424,170.035,308.432,157.685,387.204,237.597,848.454,236.769,1243.754,256.431,1757.607,112.348
1988-03-04,267.3,357.998,555.838,169.141,307.248,156.41,382.389,236.521,850.657,235.603,1244.079,257.472,1765.754,113.334
1988-03-07,267.38,360.491,551.798,169.348,305.792,157.513,381.503,239.204,855.249,234.318,1244.325,262.916,1766.378,112.8
1988-03-08,269.43,364.119,550.382,169.667,303.531,155.766,389.349,238.795,847.496,237.952,1234.203,261.472,1785.069,113.03
1988-03-09,269.06,367.635,550.376,169.576,307.865,157.998,390.166,240.09,854.762,240.359,1238.778,266.304,1831.179,115.407
1988-03-10,263.84,364.91,555.877,170.251,307.699,159.052,390.25,239.44,878.47,240.591,1237.447,269.73,1853.911,116.611
1988-03-11,264.94,365.966,548.123,168.716,302.432,156.374,396.191,237.56,876.875,239.301,1230.485,268.295,1861.751,116.206
1988-03-14,266.37,365.397,550.873,168.575,303.026,156.395,394.74,237.589,871.335,240.378,1219.431,269.959,1853.373,117.663
1988-03-15,266.13,363.431,555.542,170.87,301.498,157.809,398.276,238.755,884.138,241.662,1224.631,269.065,1852.003,117.252
1988-03-16,268.65,363.489,552.143,172.399,302.676,158.013,412.03,240.33,879.712,242.824,1239.832,267.787,1837.636,117.09
1988-03-17,271.22,365.228,553.125,173.376,303.85,158.345,418.12,241.079,875.516,245.286,1250.682,274.261,1860.92,118.273
1988-03-18,271.12,365.155,561.456,176.97,308.173,159.469,425.158,242.775,882.965,249.259,1259.333,279.591,1873.427,118.557
1988-03-21,268.74,365.348,556.884,175.44,302.136,157.874,424.29,243.251,878.467,249.865,1259.332,284.986,1874.328,120.166
1988-03-22,268.84,365.519,555.551,174.31,299.554,156.267,408.569,241.552,872.04,248.805,1254.481,280.622,1862.063,118.064
1988-03-23,268.91,369.698,554.169,175.611,300.055,157.398,410.863,245.885,879.631,249.3,1259.404,282.56,1845.404,118.447
1988-03-24,263.35,364.829,539.126,172.836,300.679,156.677,411.634,247.36,880.542,245.852,1252.396,287.392,1828.766,117.724
1988-03-25,258.51,359.883,534.603,167.042,298.022,152.007,407.574,245.875,861.659,241.86,1240.733,281.477,1795.739,115.548
1988-03-28,258.06,358.759,528.141,162.337,290.391,144.704,395.337,242.119,842.965,234.57,1240.187,271.606,1772.308,112.732
1988-03-29,260.07,361.676,533.127,166.063,292.564,148.566,396.227,240.275,850.444,241.639,1256.059,275.037,1808.415,112.123
1988-03-30,258.07,362.627,530.516,166.837,291.873,148.504,400.979,243.391,858.42,240.903,1277.023,279.647,1821.682,114.263
1988-03-31,258.89,363.712,526.285,166.328,290.729,147.222,401.671,243.391,856.834,238.364,1272.93,278.393,1823.698,113.358
1988-04-01,258.89,363.712,526.285,166.328,290.729,147.222,401.67,243.391,856.834,238.364,1272.929,278.393,1823.697,113.358
1988-04-04,256.09,363.381,526.285,166.328,290.729,147.222,404.697,247.82,856.833,238.364,1269.304,278.392,1823.697,112.111
1988-04-05,258.51,365.46,524.639,166.38,291.077,148.219,401.826,244.729,857.003,240.651,1264.895,278.853,1819.83,113.102
1988-04-06,265.49,369.301,527.021,168.165,292.074,149.369,400.999,242.997,864.126,243.414,1273.538,277.278,1840.908,114.412
1988-04-07,266.16,370.229,531.445,169.523,294.568,149.952,408.189,245.399,878.668,246.826,1287.656,279.021,1887.903,115.884
1988-04-08,269.43,371.347,535.813,168.94,295.665,149.769,410.617,245.714,884.13,247.519,1292.975,282.1,1884.953,115.137
1988-04-11,270.16,372.506,544.583,170.507,303.138,151.154,411.488,248.423,895.766,251.751,1298.358,288.782,1902.596,115.292
1988-04-12,271.37,374.634,543.366,172.153,305.9,151.259,413.417,250.316,899.923,250.644,1298.994,287.111,1899.806,115.248
1988-04-13,271.57,373.612,544.347,171.534,312.999,152.473,410.35,250.307,903.233,251.419,1302.036,290.37,1908.915,116.281
1988-04-14,259.75,367.347,537.742,171.279,309.981,152.503,413.015,250.812,902.038,247.253,1305.322,291.016,1919.651,116.316
1988-04-15,259.77,367.508,535.642,167.963,308.874,150.622,404.955,244.113,873.917,244.278,1290.431,285.253,1852.937,112.825
1988-04-18,259.21,369.688,537.727,168.471,310.77,150.622,407.581,245.244,863.316,246.25,1276.091,288.739,1826.737,112.698
1988-04-19,257.92,369.792,540.75,169.836,309.958,150.002,407.465,244.408,857.144,247.815,1273.176,289.152,1855.44,112.086
1988-04-20,256.13,366.544,537.137,168.697,310.534,148.72,410.511,244.723,862.353,244.497,1279.438,287.474,1845.819,113.173
1988-04-21,256.42,364.542,538.896,167.481,313.081,148.628,400.669,242.947,863.575,245.421,1272.866,285.622,1825.719,113.889
1988-04-22,260.14,365.355,533.594,167.289,317.299,147.585,397.423,243.698,861.585,244.164,1271.763,284.653,1853.495,114.591
