,BOND,CANA,BUND,GILT
1997-01-31,3.4500 ,4.4000 ,3.6400 ,5.3000 
1997-02-28,3.5200 ,4.1400 ,3.9200 ,5.3400 
1997-03-31,4.1400 ,4.8500 ,4.3400 ,5.9400 
1997-04-30,4.2200 ,4.9400 ,4.3700 ,5.8300 
1997-05-30,4.4200 ,5.0500 ,4.3300 ,5.5900 
1997-06-30,4.2000 ,4.6500 ,4.1200 ,5.3800 
1997-07-31,3.7800 ,4.0800 ,3.2100 ,4.9600 
1997-08-29,4.1100 ,4.2000 ,3.2500 ,5.0700 
1997-09-30,3.9500 ,4.0600 ,3.3200 ,4.6500 
1997-10-31,3.7500 ,4.0300 ,3.5000 ,4.6400 
1997-11-28,4.0500 ,4.7300 ,3.2500 ,4.6000 
1997-12-31,4.0400 ,4.8300 ,3.2900 ,4.5900 
1998-01-30,3.9300 ,4.2800 ,3.8500 ,4.5400 
1998-02-27,4.1800 ,4.4800 ,3.6300 ,4.4900 
1998-03-31,4.2800 ,4.3800 ,3.7100 ,4.1800 
1998-04-30,4.2400 ,4.5000 ,3.5300 ,4.0300 
1998-05-29,3.8700 ,4.2100 ,3.5400 ,3.7000 
1998-06-30,3.7600 ,4.3600 ,3.4500 ,4.1600 
1998-07-31,3.8100 ,4.4700 ,3.7900 ,4.3700 
1998-08-31,3.3600 ,4.7500 ,3.7600 ,4.0300 
1998-09-30,2.9300 ,4.3000 ,3.4200 ,3.5000 
1998-10-30,3.1200 ,3.9900 ,3.6500 ,3.6600 
1998-11-30,3.1700 ,3.8000 ,3.5200 ,3.2800 
1998-12-31,3.0400 ,3.9100 ,3.5100 ,2.7600 
1999-01-29,2.9800 ,4.2300 ,3.3900 ,2.5000 
1999-02-26,3.6800 ,4.7200 ,3.8900 ,3.1300 
1999-03-31,3.5200 ,4.0900 ,3.7600 ,2.7900 
1999-04-30,3.0700 ,3.5300 ,3.2700 ,3.1100 
1999-05-31,3.5300 ,3.8800 ,3.6400 ,3.5700 
1999-06-30,3.8200 ,3.8300 ,4.0400 ,3.7600 
1999-07-30,3.7600 ,3.8600 ,4.2200 ,4.0400 
1999-08-31,3.7100 ,3.6400 ,4.1800 ,3.9800 
1999-09-30,3.2500 ,3.0900 ,4.3700 ,4.4200 
1999-10-29,3.4600 ,3.7600 ,4.4400 ,4.3100 
1999-11-30,3.5700 ,3.9400 ,4.1700 ,4.0300 
1999-12-31,3.7600 ,3.6300 ,4.1700 ,4.3800 
2000-01-31,3.9300 ,4.3500 ,3.9900 ,4.9400 
2000-02-29,3.1900 ,3.4000 ,3.9500 ,4.5500 
2000-03-31,2.2500 ,2.8800 ,3.6700 ,4.6400 
2000-04-28,3.1400 ,4.0100 ,4.2300 ,4.6100 
2000-05-31,3.0800 ,3.6600 ,4.2400 ,4.6800 
2000-06-30,2.3000 ,3.0600 ,3.9200 ,4.3700 
2000-07-31,2.3700 ,2.9900 ,3.9100 ,4.3200 
2000-08-31,2.3100 ,3.1100 ,4.1200 ,4.7400 
2000-09-29,2.3500 ,3.0700 ,3.5700 ,4.2000 
2000-10-31,2.3000 ,3.0400 ,3.5600 ,4.1600 
2000-11-30,2.0200 ,2.3000 ,3.4600 ,3.7800 
2000-12-29,1.7300 ,2.2000 ,2.8500 ,4.0800 
2001-01-31,1.3800 ,2.3900 ,3.3900 ,3.9400 
2001-02-28,1.3600 ,2.4700 ,2.8800 ,4.0000 
2001-03-30,2.0000 ,2.9800 ,2.8300 ,3.8800 
2001-04-30,2.0700 ,2.3000 ,2.6900 ,3.9200 
2001-05-31,1.7700 ,1.9200 ,2.3600 ,3.5300 
2001-06-29,2.1600 ,2.5500 ,2.6500 ,3.5900 
2001-07-31,2.3300 ,2.9500 ,2.7900 ,3.6100 
2001-08-31,2.1100 ,2.5400 ,2.6900 ,3.0700 
2001-09-28,1.9400 ,2.7300 ,2.9300 ,3.6100 
2001-10-31,2.1100 ,2.9900 ,2.5300 ,3.3300 
2001-11-30,2.8600 ,4.6100 ,3.0400 ,3.8500 
2001-12-31,3.5000 ,4.6300 ,3.3800 ,3.9500 
2002-01-31,3.8900 ,4.0900 ,2.8200 ,3.2900 
2002-02-28,3.7400 ,3.9000 ,3.1200 ,3.4900 
2002-03-29,3.9200 ,3.9300 ,3.1800 ,3.7900 
2002-04-30,3.4500 ,3.8800 ,3.6300 ,3.7900 
2002-05-31,3.8600 ,4.3900 ,3.9100 ,4.4500 
2002-06-28,3.7300 ,4.2200 ,3.8000 ,4.4100 
2002-07-31,2.9900 ,3.0900 ,3.6100 ,3.7600 
2002-08-30,2.3400 ,2.5400 ,3.3100 ,3.6200 
2002-09-30,2.0800 ,2.5700 ,3.0200 ,3.3700 
2002-10-31,1.8700 ,1.8800 ,3.2500 ,3.1600 
