,BOND,CANA,BUND,GILT
1998-05-29,5.80 ,5.00 ,3.30 ,3.50 
1998-06-30,5.80 ,4.30 ,3.30 ,3.50 
1998-07-31,5.80 ,4.30 ,3.30 ,3.50 
1998-08-31,5.20 ,3.60 ,1.50 ,3.00 
1998-09-30,5.20 ,2.50 ,1.50 ,3.00 
1998-10-30,5.20 ,3.40 ,1.50 ,3.00 
1998-11-30,5.20 ,3.50 ,1.50 ,3.10 
1998-12-31,5.20 ,3.50 ,1.50 ,3.10 
1999-01-29,5.20 ,3.90 ,1.50 ,3.10 
1999-02-26,6.10 ,3.90 ,0.70 ,2.90 
1999-03-31,6.10 ,3.90 ,0.70 ,2.90 
1999-04-30,6.10 ,4.80 ,0.70 ,2.90 
1999-05-31,6.30 ,4.00 ,0.70 ,3.00 
1999-06-30,6.30 ,4.70 ,0.70 ,3.00 
1999-07-30,6.30 ,5.10 ,0.70 ,3.00 
1999-08-31,6.30 ,5.80 ,1.30 ,2.50 
1999-09-30,6.30 ,5.80 ,1.30 ,2.50 
1999-10-29,6.30 ,6.00 ,1.30 ,2.50 
1999-11-30,6.20 ,6.30 ,2.10 ,3.50 
1999-12-31,6.20 ,6.30 ,2.10 ,3.50 
2000-01-31,6.20 ,6.70 ,2.10 ,3.50 
2000-02-29,6.40 ,6.40 ,3.40 ,3.90 
2000-03-31,6.40 ,6.50 ,3.40 ,3.90 
2000-04-28,6.40 ,6.00 ,3.40 ,3.90 
2000-05-31,6.20 ,6.80 ,3.50 ,4.20 
2000-06-30,6.20 ,6.80 ,3.50 ,4.20 
2000-07-31,6.20 ,6.30 ,3.50 ,4.20 
2000-08-31,7.50 ,5.90 ,4.40 ,4.90 
2000-09-29,7.50 ,5.60 ,4.40 ,4.90 
2000-10-31,7.50 ,5.40 ,4.40 ,4.90 
2000-11-30,6.60 ,5.40 ,3.10 ,3.40 
2000-12-29,6.60 ,4.70 ,3.10 ,3.40 
2001-01-31,6.60 ,3.90 ,3.10 ,3.40 
2001-02-28,5.50 ,3.90 ,2.00 ,2.20 
2001-03-30,5.50 ,3.00 ,2.00 ,2.20 
2001-04-30,5.50 ,2.90 ,2.00 ,2.20 
2001-05-31,4.80 ,2.90 ,2.60 ,2.30 
2001-06-29,4.80 ,2.10 ,2.60 ,2.30 
2001-07-31,4.80 ,1.90 ,2.60 ,2.30 
