,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
2001-01-01,26.5,150.672,250.153,193.606,312.299,624.578,90895452466,7884.334,161.497,300.691
2001-01-02,26.236,157.364,261.283,196.564,305.598,611.89,91336525148,7787.024,161.426,296.269
2001-01-03,25.49,157.562,257.303,198.02,300.459,595.612,97192021001,8197.806,144.586,289.923
2001-01-04,26.743,169.625,269.002,201.811,303.718,613.147,97374656537,8482.719,159.723,301.628
2001-01-05,27.003,178.288,277.644,206.015,307.37,638.136,96142345092,8290.003,164.243,302.469
2001-01-08,27.719,179.394,272.499,201.679,309.734,638.079,96335938022,8319.153,164.432,301.468
2001-01-09,27.886,179.38,282.64,202.035,309.264,638.229,98571926559,8289.41,168.082,301.031
2001-01-10,28.285,171.028,284.361,198.776,312.452,646.165,97889044206,8143.041,178.003,303.87
2001-01-11,27.36,171.121,280.609,196.396,309.888,633.37,98371822829,8334.945,183.783,307.563
2001-01-12,28.024,179.197,280.298,196.762,310.936,628.209,98140865125,8343.027,184.298,310.607
2001-01-15,28.734,181.338,283.699,197.085,312.453,638.54,98644114436,8388.152,189.685,314.722
2001-01-16,28.85,183.989,298.948,197.732,311.259,645.048,98187416005,8417.24,187.328,310.858
2001-01-17,28.349,183.031,305.413,198.227,311.19,643.853,1.00E+11,8481.478,196.985,313.861
2001-01-18,29.016,186.457,309.967,200.439,314.395,651.473,1.03E+11,8670.82,192.902,314.103
2001-01-19,29.996,191.995,309.967,205.802,319.42,644.083,1.03E+11,8767.34,195.625,315.32
2001-01-22,30.322,193.48,309.967,208.469,328.346,657.915,1.02E+11,8749.58,187.602,310.993
2001-01-23,30.273,193.48,309.967,208.308,328.346,649.793,1.04E+11,8914.479,191.927,312.23
2001-01-24,30.273,193.48,309.967,210.117,328.346,653.587,1.04E+11,8825.202,201.287,314.628
2001-01-25,30.273,193.48,309.967,210.484,328.346,655.287,1.04E+11,8775.232,202.644,318.78
2001-01-26,30.273,181.706,309.967,210.484,330.873,652.779,1.04E+11,8963.559,203.26,319.143
2001-01-29,30.316,182.069,300.467,206.376,332.179,645.288,1.04E+11,8984.457,193.608,323.617
2001-01-30,29.889,180.737,307.92,212.503,333.005,648.709,1.04E+11,9110.795,193.486,327.316
2001-01-31,30.339,190.922,317.483,210.337,337.115,672.905,1.04E+11,9142.815,192.849,327.122
2001-02-01,30.491,188.626,313.642,207.652,337.115,682.922,1.02E+11,9186.604,188.39,335.666
2001-02-02,30.41,187.247,319.315,210.955,340.845,735.098,1.01E+11,9126.117,190.248,334.573
2001-02-05,29.602,177.483,310.008,212.297,339.461,753.169,99677639408,9126.117,181.515,333.503
2001-02-06,29.708,180.14,305.007,213.167,339.935,731.22,1.01E+11,9055.162,186.982,335.173
2001-02-07,29.982,177.099,296.023,209.504,337.591,716.816,1.00E+11,8930.695,182.766,331.717
2001-02-08,29.689,182.168,298.264,213.526,333.027,713.875,1.02E+11,8959.191,187.794,333.927
2001-02-09,29.847,183.765,300.889,214.193,335.661,688.706,1.01E+11,8998.571,184.562,333.641
2001-02-12,29.509,184.576,301.514,214.639,336.48,685.882,1.00E+11,9102.264,185.433,336.042
2001-02-13,29.53,184.694,312.102,212.279,333.227,684.514,1.01E+11,8973.616,194.82,337.26
2001-02-14,29.398,186.94,303.784,211.954,331.605,679.579,1.02E+11,8946.551,195.345,331.697
2001-02-15,29.263,187.152,316.259,215.884,329.512,725.17,1.01E+11,8995.736,206.443,335.56
2001-02-16,28.933,188.104,313.138,210.14,331.145,704.49,97435816704,8973.163,195.923,332.989
2001-02-19,28.525,185.494,307.265,211.345,329.905,708.805,96453635480,9005.448,191.414,334.404
2001-02-20,28.888,189.184,308.868,211.412,330.779,708.593,96416829407,8814.555,189.362,333.699
2001-02-21,28.003,183.785,308.937,208.102,329.461,722.645,94939927137,8485.359,172.477,329.513
2001-02-22,27.349,179.468,298.334,205.388,330.816,719.987,96503825531,8498.119,179.997,328.623
2001-02-23,27.905,178.876,296.321,197.676,329.713,721.579,97293017949,8443.332,172.451,324.908
2001-02-26,27.567,179.499,295.681,197.411,329.101,706.194,97293017949,8561.498,179.037,326.913
2001-02-27,27.694,176.902,294.198,194.381,329.441,705.903,97293017949,8570.997,174.662,330.154
2001-02-28,27.574,176.947,294.198,203.383,329.343,693.425,96802258670,8538.29,176.674,326.518
2001-03-01,26.191,176.947,283.818,204.117,325.752,683.974,98816148289,8610.625,172.762,324.788
2001-03-02,24.326,171.523,283.641,194.968,326.729,686.239,99971215782,8683.854,173.641,322.608
2001-03-05,25.231,174.409,289.071,189.451,327.925,686.239,99579829720,8658.247,183.035,324.802
2001-03-06,25.689,175.166,291.136,189.451,327.925,692.241,98642350226,8844.674,193.397,329.339
